,Method,Metric,Mean,Error
0,orig,bal_acc,0.6077679383653268,0.026948830485994796
1,orig,disp_imp,0.8033465121328724,0.0974640011813072
2,orig,avg_odds_diff,0.2797460419140366,0.2514455117530159
3,orig,stat_par_diff,0.3131388856166407,0.2590550842017347
4,orig,eq_opp_diff,0.30126305180499185,0.23338483049750636
5,orig,theil_ind,0.1143976418574161,0.008017649768268272
6,orig,unpriv_fpr,0.2906620169896828,0.2777640349490751
7,orig,unpriv_fnr,0.48483163819259223,0.22710665870816477
8,orig,priv_fpr,0.03243298496660145,0.009917707128217748
9,orig,priv_fnr,0.7860946899975843,0.06182533407749848
10,transf,bal_acc,0.5983175032511479,0.028697502031953148
11,transf,disp_imp,0.5084138636982303,0.22949503420556353
12,transf,avg_odds_diff,0.06707514260008254,0.17343020612029175
13,transf,stat_par_diff,0.11298513863986415,0.17487433657125703
14,transf,eq_opp_diff,0.056018097315930736,0.19029977667984133
15,transf,theil_ind,0.12144954051390211,0.009456167326111105
16,transf,unpriv_fpr,0.16825893318581459,0.17981931617188163
17,transf,unpriv_fnr,0.6629736361465652,0.22853602308875065
18,transf,priv_fpr,0.0901267453015802,0.06264676638058798
19,transf,priv_fnr,0.718991733462496,0.07105067664758917
20,dir,bal_acc,0.6051588402040441,0.02645152368171707
21,dir,disp_imp,0.7754389028816004,0.11083844210177035
22,dir,avg_odds_diff,0.2525605851805766,0.26099948982099647
23,dir,stat_par_diff,0.2869691883987438,0.26761197403472525
24,dir,eq_opp_diff,0.26952036460010664,0.239056920337884
25,dir,theil_ind,0.11497826139142511,0.008611418931812054
26,dir,unpriv_fpr,0.26754777261099316,0.2876379806035962
27,dir,unpriv_fnr,0.5179511016525733,0.23534873680465998
28,dir,priv_fpr,0.03194696684994665,0.009237512505256448
29,dir,priv_fnr,0.7874714662526798,0.056240173218176
30,rew,bal_acc,0.6077679383653268,0.026948830485994796
31,rew,disp_imp,0.8033465121328724,0.0974640011813072
32,rew,avg_odds_diff,0.2797460419140366,0.2514455117530159
33,rew,stat_par_diff,0.3131388856166407,0.2590550842017347
34,rew,eq_opp_diff,0.30126305180499185,0.23338483049750636
35,rew,theil_ind,0.1143976418574161,0.008017649768268272
36,rew,unpriv_fpr,0.2906620169896828,0.2777640349490751
37,rew,unpriv_fnr,0.48483163819259223,0.22710665870816477
38,rew,priv_fpr,0.03243298496660145,0.009917707128217748
39,rew,priv_fnr,0.7860946899975843,0.06182533407749848
40,eg,bal_acc,0.5130668587711195,0.009229210417358328
41,eg,disp_imp,0.7370326440590398,0.23349948064038
42,eg,avg_odds_diff,0.021633428149368077,0.022827653413639452
43,eg,stat_par_diff,0.021558684650261277,0.018531761518950324
44,eg,eq_opp_diff,0.035998045186894395,0.043092530755479336
45,eg,theil_ind,0.1339442523375498,0.005639177590501245
46,eg,unpriv_fpr,0.009252234832836746,0.010855113550996212
47,eg,unpriv_fnr,0.9408956636620716,0.052116222306043514
48,eg,priv_fpr,0.0019834237209949875,0.001527104214123777
49,eg,priv_fnr,0.976893708848966,0.015877091481710903
