,Method,Metric,Mean,Error
0,orig,bal_acc,0.5780309571594927,0.02288437069302688
1,orig,disp_imp,0.5406926559047874,0.355505158948939
2,orig,avg_odds_diff,0.18608272290354527,0.21394817121851975
3,orig,stat_par_diff,0.19352673977633453,0.2090840937861733
4,orig,eq_opp_diff,0.22201693052554022,0.24649282998704286
5,orig,theil_ind,0.2841864771984305,0.10837129543612185
6,orig,unpriv_fpr,0.4322876671589483,0.21294143809459298
7,orig,unpriv_fnr,0.4120583642690999,0.20255368411315233
8,orig,priv_fpr,0.2821391518773979,0.2564317238656557
9,orig,priv_fnr,0.6340752947946403,0.31028139113245146
10,transf,bal_acc,0.5798951286919902,0.022498953075618035
11,transf,disp_imp,0.5328095233675915,0.362268581175819
12,transf,avg_odds_diff,0.1899412444439633,0.20760429223527438
13,transf,stat_par_diff,0.19718800502669961,0.20326736883052474
14,transf,eq_opp_diff,0.22842262447571815,0.23411774961450765
15,transf,theil_ind,0.28101161709479083,0.10681135435009606
16,transf,unpriv_fpr,0.4341804116384435,0.21168820942539487
17,transf,unpriv_fnr,0.40565267031892194,0.19701527928572699
18,transf,priv_fpr,0.28272054722623513,0.25663175880863
19,transf,priv_fnr,0.6340752947946403,0.31028139113245146
20,dir,bal_acc,0.5663246668015259,0.022717235972607046
21,dir,disp_imp,0.5452290795525464,0.37302345282092764
22,dir,avg_odds_diff,0.14133605912160915,0.19637713217182634
23,dir,stat_par_diff,0.14505597139433332,0.19093077860541421
24,dir,eq_opp_diff,0.18040416493501463,0.2205097683116419
25,dir,theil_ind,0.3250773835363865,0.1092680638264404
26,dir,unpriv_fpr,0.37226528398202174,0.19590855870536839
27,dir,unpriv_fnr,0.48991296312112276,0.1964556176156211
28,dir,priv_fpr,0.269997330673818,0.2584617901619661
29,dir,priv_fnr,0.6703171280561373,0.3147059142002464
30,rew,bal_acc,0.5780309571594927,0.02288437069302688
31,rew,disp_imp,0.5406926559047874,0.355505158948939
32,rew,avg_odds_diff,0.18608272290354527,0.21394817121851975
33,rew,stat_par_diff,0.19352673977633453,0.2090840937861733
34,rew,eq_opp_diff,0.22201693052554022,0.24649282998704286
35,rew,theil_ind,0.2841864771984305,0.10837129543612185
36,rew,unpriv_fpr,0.4322876671589483,0.21294143809459298
37,rew,unpriv_fnr,0.4120583642690999,0.20255368411315233
38,rew,priv_fpr,0.2821391518773979,0.2564317238656557
39,rew,priv_fnr,0.6340752947946403,0.31028139113245146
40,eg,bal_acc,0.5445337771364435,0.024243331974844386
41,eg,disp_imp,0.5772187560984499,0.30034891450877044
42,eg,avg_odds_diff,0.004515248954937364,0.20426164395658056
43,eg,stat_par_diff,0.007003011484979588,0.2057492387935095
44,eg,eq_opp_diff,0.036896292662435576,0.20141363255185324
45,eg,theil_ind,0.4410569492411159,0.11967556253049065
46,eg,unpriv_fpr,0.18330443142599423,0.1911426344559063
47,eg,unpriv_fnr,0.715970874132667,0.19953793108905324
48,eg,priv_fpr,0.21117022617855513,0.33100831125428193
49,eg,priv_fnr,0.7528671667951026,0.3240540200115269
