,Method,Metric,Mean,Error
0,orig,bal_acc,0.5317482814261721,0.037014518856044946
1,orig,disp_imp,0.18607059907841447,0.2177974072291288
2,orig,avg_odds_diff,0.008373774399658232,0.14372668178923523
3,orig,stat_par_diff,-0.0011165592617735523,0.13971198439645946
4,orig,eq_opp_diff,0.011820473666771464,0.16070852624901927
5,orig,theil_ind,0.2710766404652679,0.25331408738592287
6,orig,unpriv_fpr,0.6825986513486514,0.30779289813675087
7,orig,unpriv_fnr,0.24867052065581477,0.280374458346084
8,orig,priv_fpr,0.6776715762161064,0.32739393837420033
9,orig,priv_fnr,0.2604909943225862,0.2895842034436027
10,transf,bal_acc,0.5225526793021958,0.02617515417765876
11,transf,disp_imp,0.17902448207827473,0.27176113677072
12,transf,avg_odds_diff,-0.044929005292936565,0.11032498869387307
13,transf,stat_par_diff,-0.05197539887163336,0.11166357546187158
14,transf,eq_opp_diff,-0.03638500903124704,0.14228447829021032
15,transf,theil_ind,0.2655979147327523,0.3163568726288869
16,transf,unpriv_fpr,0.6872877122877122,0.36459185086025053
17,transf,unpriv_fnr,0.25783745666098606,0.34562280085117636
18,transf,priv_fpr,0.7407607138423383,0.32181989525427807
19,transf,priv_fnr,0.22145244762973898,0.30790132541469195
20,dir,bal_acc,0.5245390189228071,0.030069718233766324
21,dir,disp_imp,0.15796551825064337,0.26104220726761684
22,dir,avg_odds_diff,-0.023552824363588062,0.11290521103619369
23,dir,stat_par_diff,-0.024033347983059915,0.09936205014450838
24,dir,eq_opp_diff,-0.006050271131741944,0.08558485173543526
25,dir,theil_ind,0.22607271607710655,0.2544106542697528
26,dir,unpriv_fpr,0.7199925074925075,0.3599692433235922
27,dir,unpriv_fnr,0.2035426093514329,0.30058318675251555
28,dir,priv_fpr,0.7610478850879415,0.2983638937660747
29,dir,priv_fnr,0.19749233821969095,0.261783020985379
30,rew,bal_acc,0.5317482814261721,0.037014518856044946
31,rew,disp_imp,0.18607059907841447,0.2177974072291288
32,rew,avg_odds_diff,0.008373774399658232,0.14372668178923523
33,rew,stat_par_diff,-0.0011165592617735523,0.13971198439645946
34,rew,eq_opp_diff,0.011820473666771464,0.16070852624901927
35,rew,theil_ind,0.2710766404652679,0.25331408738592287
36,rew,unpriv_fpr,0.6825986513486514,0.30779289813675087
37,rew,unpriv_fnr,0.24867052065581477,0.280374458346084
38,rew,priv_fpr,0.6776715762161064,0.32739393837420033
39,rew,priv_fnr,0.2604909943225862,0.2895842034436027
40,eg,bal_acc,0.5099961884832547,0.020004762390711295
41,eg,disp_imp,0.21613000797701148,0.3494219468100128
42,eg,avg_odds_diff,-0.0003689896494583719,0.04875592861422209
43,eg,stat_par_diff,-0.006738879328007198,0.04678550399470449
44,eg,eq_opp_diff,-0.010571148220795353,0.03670754542288031
45,eg,theil_ind,0.3878049914481333,0.47840079234203814
46,eg,unpriv_fpr,0.6699155011655011,0.43952849401718713
47,eg,unpriv_fnr,0.3288410608998844,0.44008795245136806
48,eg,priv_fpr,0.6600823322436227,0.4360359160018551
49,eg,priv_fnr,0.31826991267908905,0.43743629142520063
