sex,age,age_cat,race,juv_fel_count,juv_misd_count,juv_other_count,priors_count,c_charge_degree,c_charge_desc,two_year_recid
0,69,1,0,0,0,0,0,0,15,0
0,34,0,0,0,0,0,0,0,150,1
0,24,2,0,0,0,1,4,0,282,1
0,44,0,0,0,0,0,0,1,38,0
0,41,0,1,0,0,0,14,0,261,1
0,43,0,0,0,0,0,3,0,388,0
1,39,0,1,0,0,0,0,1,38,0
0,27,0,1,0,0,0,0,0,221,0
0,23,2,0,0,0,0,3,1,38,1
1,37,0,1,0,0,0,0,1,38,0
0,41,0,0,0,0,0,0,0,250,0
1,47,1,1,0,0,0,1,0,388,1
0,31,0,0,0,0,0,7,0,154,1
0,37,0,0,0,0,0,0,1,38,0
0,25,0,0,0,0,0,3,0,166,0
0,31,0,1,0,0,0,6,0,124,1
0,31,0,1,0,0,0,5,0,274,1
0,64,1,0,0,0,0,13,0,388,1
0,21,2,0,0,0,0,1,0,44,1
0,27,0,1,0,0,0,0,1,275,1
1,21,2,1,0,0,0,0,0,177,0
0,24,2,0,0,0,0,1,0,187,1
0,43,0,1,0,0,0,1,1,336,0
0,32,0,0,0,0,0,0,1,38,0
0,27,0,0,0,0,0,8,0,65,1
0,26,0,0,0,0,1,5,0,219,1
0,33,0,0,0,0,0,0,0,340,1
0,30,0,1,0,0,0,9,0,150,1
0,32,0,0,0,0,0,4,0,31,1
0,55,1,1,0,0,0,0,0,388,0
0,49,1,0,0,0,0,7,0,4,1
1,33,0,1,0,0,0,4,1,38,1
0,24,2,1,0,0,0,1,1,38,1
0,34,0,0,2,1,3,21,0,243,1
0,29,0,1,0,0,0,0,1,253,0
1,21,2,0,0,0,0,2,0,388,0
0,51,1,0,0,0,0,2,1,368,0
0,29,0,1,0,0,0,2,1,380,1
1,51,1,0,0,0,0,7,0,282,0
0,29,0,0,0,0,0,0,0,100,1
0,25,0,1,0,0,0,9,1,38,1
0,35,0,0,1,0,4,13,0,378,1
0,49,1,1,0,0,0,0,1,91,0
0,29,0,0,0,0,0,0,0,340,0
0,29,0,1,0,0,0,1,0,290,1
1,28,0,0,0,0,0,0,0,166,0
0,31,0,0,0,0,1,15,0,32,0
0,24,2,0,0,0,0,2,0,240,1
0,30,0,0,0,0,0,0,1,253,0
0,49,1,0,0,0,0,4,1,38,0
0,53,1,1,0,0,0,8,0,388,0
0,35,0,0,0,0,0,5,0,124,0
0,27,0,0,1,1,2,15,0,124,1
0,38,0,1,0,0,0,4,1,38,1
0,22,2,0,0,0,1,1,0,230,1
0,29,0,0,0,0,0,4,0,388,1
0,62,1,0,0,0,0,0,1,367,0
0,27,0,0,0,1,0,6,0,19,1
0,33,0,0,0,0,0,0,1,38,0
1,56,1,0,0,0,0,0,1,38,0
0,45,1,0,0,0,0,6,0,282,1
0,22,2,0,0,0,0,1,0,58,0
0,39,0,0,0,0,0,1,1,388,0
0,29,0,0,0,0,0,5,0,142,1
