,Method,Metric,Mean,Error
0,orig,bal_acc,0.542875828258668,0.04141489666863117
1,orig,disp_imp,0.24783193962203526,0.30477573438572386
2,orig,avg_odds_diff,-0.0784440136774883,0.2010137405720299
3,orig,stat_par_diff,-0.0744548050632337,0.18655618336785337
4,orig,eq_opp_diff,-0.042558552173855825,0.18264543181935594
5,orig,theil_ind,0.2861132655336337,0.30750908775403246
6,orig,unpriv_fpr,0.5895183873144398,0.36569596772161067
7,orig,unpriv_fnr,0.278011407059361,0.31970507161061623
8,orig,priv_fpr,0.7038478624955607,0.3338311461616586
9,orig,priv_fnr,0.2354528548855052,0.2847785518460126
10,transf,bal_acc,0.5373725056923888,0.03686035150178794
11,transf,disp_imp,0.2580596405427248,0.28220844947658774
12,transf,avg_odds_diff,-0.06659462251645283,0.15653776885015036
13,transf,stat_par_diff,-0.06129899187707853,0.15032954788177622
14,transf,eq_opp_diff,-0.03816168709257348,0.14540738276998866
15,transf,theil_ind,0.3350189824707627,0.321035142227588
16,transf,unpriv_fpr,0.5633341767881241,0.33817186200671046
17,transf,unpriv_fnr,0.328659422345594,0.3198350314742025
18,transf,priv_fpr,0.6583617347284563,0.33072109706812797
19,transf,priv_fnr,0.2904977352530205,0.3051889044737563
20,dir,bal_acc,0.5362900597221489,0.03366002681115101
21,dir,disp_imp,0.20162944824817272,0.28429048136796553
22,dir,avg_odds_diff,-0.08615904939348608,0.1737714351769012
23,dir,stat_par_diff,-0.08991840263215284,0.1572941864723198
24,dir,eq_opp_diff,-0.06408586614659235,0.14165812506195796
25,dir,theil_ind,0.25382003937146674,0.36406868829669725
26,dir,unpriv_fpr,0.6692096828609986,0.3392753887372237
27,dir,unpriv_fnr,0.23930576466254214,0.3141401440029046
28,dir,priv_fpr,0.7774419155013783,0.3023999558454104
29,dir,priv_fnr,0.17521989851594982,0.2764919456394862
30,rew,bal_acc,0.542875828258668,0.04141489666863117
31,rew,disp_imp,0.24783193962203526,0.30477573438572386
32,rew,avg_odds_diff,-0.0784440136774883,0.2010137405720299
33,rew,stat_par_diff,-0.0744548050632337,0.18655618336785337
34,rew,eq_opp_diff,-0.042558552173855825,0.18264543181935594
35,rew,theil_ind,0.2861132655336337,0.30750908775403246
36,rew,unpriv_fpr,0.5895183873144398,0.36569596772161067
37,rew,unpriv_fnr,0.278011407059361,0.31970507161061623
38,rew,priv_fpr,0.7038478624955607,0.3338311461616586
39,rew,priv_fnr,0.2354528548855052,0.2847785518460126
40,eg,bal_acc,0.5046870301985924,0.009452357430220012
41,eg,disp_imp,0.11258107408644653,0.2923607487989631
42,eg,avg_odds_diff,-0.014159372154991884,0.04876316986009811
43,eg,stat_par_diff,-0.011939404650248014,0.045577504146245645
44,eg,eq_opp_diff,-0.005873689364928825,0.04055494175226865
45,eg,theil_ind,0.18930371104873908,0.3924105438007159
46,eg,unpriv_fpr,0.8684775641025642,0.30568984862824894
47,eg,unpriv_fnr,0.111996336996337,0.3067989425807717
48,eg,priv_fpr,0.8909226190476189,0.30550375687274417
49,eg,priv_fnr,0.10612264763140819,0.30622059414507274
