,Method,Metric,Mean,Error
0,orig,bal_acc,0.5050500056381437,0.00833017215222462
1,orig,disp_imp,0.34138212930511197,0.3601683262400535
2,orig,avg_odds_diff,-0.01345094055652597,0.03187558638628527
3,orig,stat_par_diff,-0.009846302271813401,0.041689550546002506
4,orig,eq_opp_diff,-0.020283697824242712,0.032183505167545
5,orig,theil_ind,0.20790177820534295,0.1560929561321836
6,orig,unpriv_fpr,0.4724330851653621,0.4900098611124152
7,orig,unpriv_fnr,0.5315705128205128,0.495282813857866
8,orig,priv_fpr,0.4790512684541712,0.4849210769161455
9,orig,priv_fnr,0.5112868149962702,0.476813310276573
10,transf,bal_acc,0.5010329477382504,0.0018867307049154486
11,transf,disp_imp,0.1079238239127204,0.2227716055014931
12,transf,avg_odds_diff,0.0007468585902902254,0.011076448505274106
13,transf,stat_par_diff,0.005496638635926367,0.015906588802803732
14,transf,eq_opp_diff,-0.005375279684477747,0.014772428975507962
15,transf,theil_ind,0.1185666170842941,0.13917382428598638
16,transf,unpriv_fpr,0.762220782883448,0.42274475738574036
17,transf,unpriv_fnr,0.24722222222222223,0.43947329512497707
18,transf,priv_fpr,0.7553517860183898,0.43475430573302815
19,transf,priv_fnr,0.24184694253774447,0.42977960402831494
20,dir,bal_acc,0.5066502752266684,0.006276464975547885
21,dir,disp_imp,0.22971276328764026,0.2327043121126284
22,dir,avg_odds_diff,0.012739174191596236,0.040921460580430384
23,dir,stat_par_diff,0.0027623868165416706,0.021746007324196525
24,dir,eq_opp_diff,0.02000970267884151,0.07348064743760557
25,dir,theil_ind,0.26968294283260447,0.13644719797730576
26,dir,unpriv_fpr,0.2905184108206505,0.4213988027095622
27,dir,unpriv_fnr,0.681377284995706,0.40773027360180086
28,dir,priv_fpr,0.2850497651162995,0.42515534205334166
29,dir,priv_fnr,0.7013869876745475,0.4176346108062539
30,rew,bal_acc,0.5050500056381437,0.00833017215222462
31,rew,disp_imp,0.34138212930511197,0.3601683262400535
32,rew,avg_odds_diff,-0.01345094055652597,0.03187558638628527
33,rew,stat_par_diff,-0.009846302271813401,0.041689550546002506
34,rew,eq_opp_diff,-0.020283697824242712,0.032183505167545
35,rew,theil_ind,0.20790177820534295,0.1560929561321836
36,rew,unpriv_fpr,0.4724330851653621,0.4900098611124152
37,rew,unpriv_fnr,0.5315705128205128,0.495282813857866
38,rew,priv_fpr,0.4790512684541712,0.4849210769161455
39,rew,priv_fnr,0.5112868149962702,0.476813310276573
40,eg,bal_acc,0.5,0.0
41,eg,disp_imp,0.0,0.0
42,eg,avg_odds_diff,0.0,0.0
43,eg,stat_par_diff,0.0,0.0
44,eg,eq_opp_diff,0.0,0.0
45,eg,theil_ind,0.04028664368132952,0.000605299241661151
46,eg,unpriv_fpr,1.0,0.0
47,eg,unpriv_fnr,0.0,0.0
48,eg,priv_fpr,1.0,0.0
49,eg,priv_fnr,0.0,0.0
