,Method,Metric,Mean,Error
0,orig,bal_acc,0.5024413307889937,0.005671849058378087
1,orig,disp_imp,0.28072283272175796,0.41571022060904445
2,orig,avg_odds_diff,-0.02874641773685973,0.08099686319861195
3,orig,stat_par_diff,-0.026776752538168358,0.07656759013521193
4,orig,eq_opp_diff,-0.033766582615211795,0.09243806216005672
5,orig,theil_ind,0.1471583311921947,0.15000305322838692
6,orig,unpriv_fpr,0.6547654515086183,0.48270764041278125
7,orig,unpriv_fnr,0.34638043209520647,0.4843152621509856
8,orig,priv_fpr,0.678491704367126,0.45362321828758223
9,orig,priv_fnr,0.31261384947999465,0.4438046124653683
10,transf,bal_acc,0.5061281196411959,0.008254476043221094
11,transf,disp_imp,0.4049761995652415,0.4905256072540835
12,transf,avg_odds_diff,0.18188790724861384,0.3955155461961705
13,transf,stat_par_diff,0.18104338298919914,0.38806556523862185
14,transf,eq_opp_diff,0.18385371787127908,0.41413961183048814
15,transf,theil_ind,0.15897751433167664,0.13846642308319823
16,transf,unpriv_fpr,0.7372825206334328,0.42852505635188776
17,transf,unpriv_fnr,0.24709014662696838,0.4352691012418488
18,transf,priv_fpr,0.5573604240074841,0.4895028919189118
19,transf,priv_fnr,0.43094386449824745,0.49063488664938687
20,dir,bal_acc,0.5007360522384742,0.001853133408518128
21,dir,disp_imp,0.14512006592735874,0.3025144191691092
22,dir,avg_odds_diff,-0.018784287591700356,0.060052575485106494
23,dir,stat_par_diff,-0.017351752834224177,0.05717168051927883
24,dir,eq_opp_diff,-0.022355780621440502,0.06767075771111473
25,dir,theil_ind,0.13209831888707285,0.14414967337750154
26,dir,unpriv_fpr,0.708779343152366,0.4564504877207896
27,dir,unpriv_fnr,0.2939457236644478,0.4606929793828717
28,dir,priv_fpr,0.7239921377143264,0.4355100153678889
29,dir,priv_fnr,0.2715899430430073,0.4294026138395699
30,rew,bal_acc,0.5024413307889937,0.005671849058378087
31,rew,disp_imp,0.28072283272175796,0.41571022060904445
32,rew,avg_odds_diff,-0.02874641773685973,0.08099686319861195
33,rew,stat_par_diff,-0.026776752538168358,0.07656759013521193
34,rew,eq_opp_diff,-0.033766582615211795,0.09243806216005672
35,rew,theil_ind,0.1471583311921947,0.15000305322838692
36,rew,unpriv_fpr,0.6547654515086183,0.48270764041278125
37,rew,unpriv_fnr,0.34638043209520647,0.4843152621509856
38,rew,priv_fpr,0.678491704367126,0.45362321828758223
39,rew,priv_fnr,0.31261384947999465,0.4438046124653683
40,eg,bal_acc,0.5,0.0
41,eg,disp_imp,0.0,0.0
42,eg,avg_odds_diff,0.0,0.0
43,eg,stat_par_diff,0.0,0.0
44,eg,eq_opp_diff,0.0,0.0
45,eg,theil_ind,0.04016011283277114,0.0009682497954346835
46,eg,unpriv_fpr,1.0,0.0
47,eg,unpriv_fnr,0.0,0.0
48,eg,priv_fpr,1.0,0.0
49,eg,priv_fnr,0.0,0.0
