,Method,Metric,Mean,Error
0,orig,bal_acc,0.6652014995676893,0.023898316977745387
1,orig,disp_imp,0.49903626964598613,0.14350507637816798
2,orig,avg_odds_diff,-0.0871852765886966,0.06437879324390294
3,orig,stat_par_diff,-0.1274933067242466,0.06157844179781534
4,orig,eq_opp_diff,-0.08903645659782466,0.06922923996988918
5,orig,theil_ind,0.1333437226856247,0.010136309183136889
6,orig,unpriv_fpr,0.07951872592742186,0.02857995844123216
7,orig,unpriv_fnr,0.6092064188650426,0.06686941562906643
8,orig,priv_fpr,0.16485282250699038,0.06358891249194971
9,orig,priv_fnr,0.520169962267218,0.07625994371958014
10,transf,bal_acc,0.6411586202228085,0.0387685806321053
11,transf,disp_imp,0.45937574250693886,0.1246743172132514
12,transf,avg_odds_diff,-0.058079935575241784,0.04753282532434684
13,transf,stat_par_diff,-0.09227877008613283,0.04574254382834179
14,transf,eq_opp_diff,-0.059944926224650405,0.0633964231448269
15,transf,theil_ind,0.14215938935165756,0.014656493284239354
16,transf,unpriv_fpr,0.06858020789499479,0.02466861246493483
17,transf,unpriv_fnr,0.6621277568376543,0.08787976635151845
18,transf,priv_fpr,0.12479515282082794,0.05067900705962715
19,transf,priv_fnr,0.6021828306130039,0.11775758622956882
20,dir,bal_acc,0.6595202433067656,0.029266865927171176
21,dir,disp_imp,0.49355243272798266,0.1331944197944876
22,dir,avg_odds_diff,-0.08234655316977843,0.07137816399230829
23,dir,stat_par_diff,-0.12097265645602147,0.06899114797077684
24,dir,eq_opp_diff,-0.08475620244637512,0.0770165279022273
25,dir,theil_ind,0.13568706479825232,0.012835406882917585
26,dir,unpriv_fpr,0.08014208619045769,0.02675892008360464
27,dir,unpriv_fnr,0.6191094084741453,0.07016417674029383
28,dir,priv_fpr,0.16007899008363946,0.06756008019044522
29,dir,priv_fnr,0.5343532060277703,0.09480447702400233
30,rew,bal_acc,0.6652014995676893,0.023898316977745387
31,rew,disp_imp,0.49903626964598613,0.14350507637816798
32,rew,avg_odds_diff,-0.0871852765886966,0.06437879324390294
33,rew,stat_par_diff,-0.1274933067242466,0.06157844179781534
34,rew,eq_opp_diff,-0.08903645659782466,0.06922923996988918
35,rew,theil_ind,0.1333437226856247,0.010136309183136889
36,rew,unpriv_fpr,0.07951872592742186,0.02857995844123216
37,rew,unpriv_fnr,0.6092064188650426,0.06686941562906643
38,rew,priv_fpr,0.16485282250699038,0.06358891249194971
39,rew,priv_fnr,0.520169962267218,0.07625994371958014
40,eg,bal_acc,0.500225940180932,0.0007400555747071561
41,eg,disp_imp,0.0875,0.2723557078141513
42,eg,avg_odds_diff,-0.0004326955019600027,0.001412822240664329
43,eg,stat_par_diff,-0.00022099180241353834,0.0007168098011883709
44,eg,eq_opp_diff,-0.0008653910039200053,0.002825644481328658
45,eg,theil_ind,0.04174604111018091,0.05146188133448624
46,eg,unpriv_fpr,0.9,0.30779350562554625
47,eg,unpriv_fnr,0.1,0.30779350562554625
48,eg,priv_fpr,0.9,0.30779350562554625
49,eg,priv_fnr,0.09913460899608,0.3051313457415418
