decile3,decile1,race,cluster,lsat,ugpa,dob_yr,fulltime,fam_inc,gender,pass_bar,tier,indxgrp,indxgrp2
10.0,10.0,0,1,44.0,3.5,69,1,5,0,1,4,6,8
4.0,5.0,0,2,29.0,3.5,69,1,4,0,1,2,5,5
7.0,8.0,0,1,37.0,3.4,68,1,3,1,1,4,6,7
7.0,8.0,0,1,43.0,3.3,67,1,4,0,1,4,6,8
2.0,3.0,0,4,41.0,3.3,64,1,4,0,1,5,6,7
1.0,1.0,0,3,24.5,2.2,66,1,4,1,1,3,1,1
4.0,4.0,0,3,34.0,3.3,68,1,4,0,1,3,6,6
3.0,2.0,0,2,35.0,3.2,64,1,4,1,0,2,6,6
5.0,5.0,0,1,40.0,2.4,56,1,3,0,1,4,6,6
9.0,8.0,0,1,35.0,2.9,62,1,3,0,1,4,5,5
1.0,3.0,0,3,28.0,2.4,53,1,3,0,1,3,3,3
3.0,3.0,0,4,32.5,3.2,69,1,4,0,1,5,5,5
9.0,9.0,0,6,32.5,2.4,66,1,3,1,1,1,4,4
8.0,8.0,0,6,23.0,2.8,64,1,3,0,1,1,2,2
3.0,5.0,0,3,37.0,2.8,69,1,3,0,1,3,6,6
9.0,9.0,0,5,41.0,3.9,64,1,3,0,1,6,6,8
4.0,3.0,0,5,40.0,2.8,65,1,4,0,1,6,6,6
7.0,8.0,0,3,30.0,3.3,68,1,4,0,1,3,5,5
7.0,8.0,0,1,40.0,3.7,70,1,4,1,1,4,6,8
2.0,1.0,0,3,22.0,2.7,68,1,4,1,1,3,1,1
9.0,10.0,0,4,48.0,3.7,69,1,4,0,1,5,6,8
2.0,3.0,0,3,36.0,2.9,68,1,4,0,1,3,6,6
2.0,3.0,1,1,36.0,3.1,68,1,3,0,1,4,6,6
2.0,3.0,0,3,36.0,3.5,65,1,1,1,1,3,6,7
5.0,8.0,0,1,45.0,3.0,68,1,3,1,1,4,6,8
10.0,10.0,0,6,35.0,2.6,62,1,3,1,1,1,5,5
1.0,3.0,0,4,36.0,3.4,67,1,2,1,1,5,6,6
8.0,9.0,0,1,46.0,3.8,69,1,4,0,1,4,6,8
8.0,9.0,0,4,39.0,3.1,59,0,3,1,1,5,6,7
5.0,4.0,0,3,39.0,2.7,69,1,3,0,1,3,6,6
10.0,10.0,0,4,39.0,4.0,66,1,3,0,1,5,6,8
7.0,6.0,0,3,38.0,3.0,68,1,3,0,1,3,6,6
10.0,10.0,0,1,32.0,4.0,59,1,3,1,1,4,6,6
4.0,7.0,0,3,39.0,3.5,58,1,4,1,1,3,6,7
1.0,2.0,0,4,29.0,2.5,64,1,3,1,1,5,3,3
8.0,9.0,0,4,48.0,3.5,68,1,4,1,1,5,6,8
2.0,1.0,1,3,27.0,2.5,68,1,3,0,1,3,2,2
1.0,2.0,0,1,31.0,2.6,69,1,4,1,1,4,4,4
10.0,10.0,0,1,45.0,3.7,68,1,3,0,1,4,6,8
5.0,4.0,0,5,36.0,3.9,68,1,4,1,1,6,6,7
2.0,2.0,0,1,34.0,2.5,67,1,4,1,0,4,4,4
2.0,6.0,0,1,35.0,3.8,67,1,3,1,1,4,6,7
4.0,3.0,1,4,35.0,3.1,68,1,3,1,1,5,6,6
