,Method,Metric,Mean,Error
0,orig,bal_acc,0.5780993656745548,0.02116555517852478
1,orig,disp_imp,0.4608887717129864,0.23687862960576678
2,orig,avg_odds_diff,0.18007484479232877,0.22146072426329988
3,orig,stat_par_diff,0.1892243453299132,0.22076877313184307
4,orig,eq_opp_diff,0.19948707818856168,0.2228767861144109
5,orig,theil_ind,0.2817187534517477,0.0874316979319049
6,orig,unpriv_fpr,0.4568585293556957,0.22040033854718286
7,orig,unpriv_fnr,0.387718754588979,0.17620994431983847
8,orig,priv_fpr,0.2961959179596,0.1969342774976174
9,orig,priv_fnr,0.5872058327775407,0.2315691676039272
10,transf,bal_acc,0.5780993656745548,0.02116555517852478
11,transf,disp_imp,0.4608887717129864,0.23687862960576678
12,transf,avg_odds_diff,0.18007484479232877,0.22146072426329988
13,transf,stat_par_diff,0.1892243453299132,0.22076877313184307
14,transf,eq_opp_diff,0.19948707818856168,0.2228767861144109
15,transf,theil_ind,0.2817187534517477,0.0874316979319049
16,transf,unpriv_fpr,0.4568585293556957,0.22040033854718286
17,transf,unpriv_fnr,0.387718754588979,0.17620994431983847
18,transf,priv_fpr,0.2961959179596,0.1969342774976174
19,transf,priv_fnr,0.5872058327775407,0.2315691676039272
20,dir,bal_acc,0.5645054986039885,0.022820508803434943
21,dir,disp_imp,0.4207723856846341,0.2966549046234637
22,dir,avg_odds_diff,0.17826112625537263,0.17281861914213884
23,dir,stat_par_diff,0.18462730174122605,0.16970829064275716
24,dir,eq_opp_diff,0.19532985654579255,0.1900969801682483
25,dir,theil_ind,0.30261269516105654,0.12182196399053925
26,dir,unpriv_fpr,0.4499347885564496,0.2589701684753802
27,dir,unpriv_fnr,0.4248540203829244,0.23328232521090386
28,dir,priv_fpr,0.28874239259149664,0.2355445451944058
29,dir,priv_fnr,0.6201838769287169,0.2609133656325262
30,rew,bal_acc,0.5780993656745548,0.02116555517852478
31,rew,disp_imp,0.4608887717129864,0.23687862960576678
32,rew,avg_odds_diff,0.18007484479232877,0.22146072426329988
33,rew,stat_par_diff,0.1892243453299132,0.22076877313184307
34,rew,eq_opp_diff,0.19948707818856168,0.2228767861144109
35,rew,theil_ind,0.2817187534517477,0.0874316979319049
36,rew,unpriv_fpr,0.4568585293556957,0.22040033854718286
37,rew,unpriv_fnr,0.387718754588979,0.17620994431983847
38,rew,priv_fpr,0.2961959179596,0.1969342774976174
39,rew,priv_fnr,0.5872058327775407,0.2315691676039272
40,eg,bal_acc,0.5465473062449738,0.027337972783890933
41,eg,disp_imp,0.7015785776181911,0.26861838609957583
42,eg,avg_odds_diff,0.15983438891509233,0.12513148408881186
43,eg,stat_par_diff,0.16105270292690757,0.12413978261440041
44,eg,eq_opp_diff,0.1914857399321204,0.14095250121919736
45,eg,theil_ind,0.4385081425735778,0.1214656258054681
46,eg,unpriv_fpr,0.22285468949234613,0.22561704411549274
47,eg,unpriv_fnr,0.6736436070987074,0.22991705534192722
48,eg,priv_fpr,0.09467165159428173,0.22020382661381543
49,eg,priv_fnr,0.8651293470308277,0.2202439105093172
