,Method,Metric,Mean,Error
0,orig,bal_acc,0.8382697312315937,0.019275462220905974
1,orig,disp_imp,0.5783467769455315,0.05387066239175345
2,orig,avg_odds_diff,0.2061128610073053,0.03427700253042205
3,orig,stat_par_diff,0.40654157446184824,0.03765826964525812
4,orig,eq_opp_diff,0.05536550687741566,0.03934853771044776
5,orig,theil_ind,0.06005955430368124,0.0030951683317946435
6,orig,unpriv_fpr,0.5761698393958397,0.07311102911656463
7,orig,unpriv_fnr,0.041693306697966837,0.028042886096846877
8,orig,priv_fpr,0.2193096242586448,0.05914210787653967
9,orig,priv_fnr,0.09705881357538251,0.03635365117723121
10,transf,bal_acc,0.8371768709448656,0.014136500158443945
11,transf,disp_imp,0.5048714316709455,0.06287060066930193
12,transf,avg_odds_diff,0.12183424389179594,0.0588706512546561
13,transf,stat_par_diff,0.31725687616403353,0.06700458864520431
14,transf,eq_opp_diff,-0.010011130890241887,0.0504597572306962
15,transf,theil_ind,0.06060839994252447,0.0026070889737680575
16,transf,unpriv_fpr,0.4807467755688342,0.09974262509852246
17,transf,unpriv_fnr,0.09630650821597349,0.059795049409169236
18,transf,priv_fpr,0.22706715689500045,0.044149989751038586
19,transf,priv_fnr,0.08629537732573159,0.031115011651471222
20,dir,bal_acc,0.8353384821693481,0.01598820989781869
21,dir,disp_imp,0.44056173859086123,0.08704275028097269
22,dir,avg_odds_diff,0.048055519117392004,0.08200366083541456
23,dir,stat_par_diff,0.24166890972408067,0.08208163468291226
24,dir,eq_opp_diff,-0.07971308801140162,0.08800597054004672
25,dir,theil_ind,0.06157839263586168,0.003235653117520414
26,dir,unpriv_fpr,0.3916807384567268,0.09486748948867303
27,dir,unpriv_fnr,0.1737030263276843,0.08154227090797936
28,dir,priv_fpr,0.2158566122105412,0.04101534324191272
29,dir,priv_fnr,0.09398993831628269,0.02690481994523186
30,rew,bal_acc,0.846119338510262,0.009629384359028234
31,rew,disp_imp,0.589613431972673,0.03977076962067021
32,rew,avg_odds_diff,0.19145311920784638,0.028423486771790477
33,rew,stat_par_diff,0.39490603256224704,0.03226385207409763
34,rew,eq_opp_diff,0.043305182771629244,0.03404934203583952
35,rew,theil_ind,0.05895657077454497,0.002488260500389748
36,rew,unpriv_fpr,0.5340901479840122,0.05261638261873319
37,rew,unpriv_fnr,0.061805817724854065,0.03728978188248839
38,rew,priv_fpr,0.1944890923399487,0.03648761937197772
39,rew,priv_fnr,0.1051110004964833,0.039405150660219074
40,eg,bal_acc,0.7087861733553042,0.019714824907207176
41,eg,disp_imp,0.6958596474353228,0.04764674491520293
42,eg,avg_odds_diff,0.10602068740930903,0.04068233021601186
43,eg,stat_par_diff,0.1947023004341817,0.03833389210722281
44,eg,eq_opp_diff,0.10903142966364321,0.0658185349151197
45,eg,theil_ind,0.08549023617644821,0.005920005866863688
46,eg,unpriv_fpr,0.13930894242607472,0.03171952469052975
47,eg,unpriv_fnr,0.4490403972637945,0.06241187639460702
48,eg,priv_fpr,0.03629899727109982,0.005338981299120841
49,eg,priv_fnr,0.5580718269274378,0.04542390172173956
