,Method,Metric,Mean,Error
0,orig,bal_acc,0.5064821852389899,0.012605881184242915
1,orig,disp_imp,0.2257622607478104,0.30735775522833914
2,orig,avg_odds_diff,-0.02065039059727166,0.05052801290114186
3,orig,stat_par_diff,-0.01987755710783679,0.0528556452720829
4,orig,eq_opp_diff,-0.02507149789501072,0.05774774965630535
5,orig,theil_ind,0.1586545582571606,0.14987513682493978
6,orig,unpriv_fpr,0.6191184091165374,0.4787650289269787
7,orig,unpriv_fnr,0.37799908424908424,0.4766505502742335
8,orig,priv_fpr,0.6353476924160699,0.4603176960297687
9,orig,priv_fnr,0.35292758635407356,0.447456595445556
10,transf,bal_acc,0.5040255602761674,0.00765555682838468
11,transf,disp_imp,0.17537791503789268,0.24830484585663523
12,transf,avg_odds_diff,0.05048677054382211,0.13027248841440137
13,transf,stat_par_diff,0.06088647200122528,0.13757775697608202
14,transf,eq_opp_diff,0.03456441482423489,0.11711960265761844
15,transf,theil_ind,0.1432043638933211,0.13869357380537756
16,transf,unpriv_fpr,0.7435924736893262,0.4191442828079191
17,transf,unpriv_fnr,0.27414529914529917,0.44002411633520794
18,transf,priv_fpr,0.677183347425917,0.431694178206456
19,transf,priv_fnr,0.30870971396953406,0.42314421324897317
20,dir,bal_acc,0.507218519721636,0.006350315354898253
21,dir,disp_imp,0.21294610667126862,0.2074637321550656
22,dir,avg_odds_diff,0.01752241740604609,0.055458728528656145
23,dir,stat_par_diff,0.005412005265239115,0.02490399612225748
24,dir,eq_opp_diff,0.02679548113981527,0.09815000094241834
25,dir,theil_ind,0.26934547943849185,0.13622756048529386
26,dir,unpriv_fpr,0.2917847243781445,0.420197049223681
27,dir,unpriv_fnr,0.6747800627734838,0.40734240823617396
28,dir,priv_fpr,0.28353537070586765,0.42608248637532387
29,dir,priv_fnr,0.7015755439132991,0.41771866742613933
30,rew,bal_acc,0.5064821852389899,0.012605881184242915
31,rew,disp_imp,0.2257622607478104,0.30735775522833914
32,rew,avg_odds_diff,-0.02065039059727166,0.05052801290114186
33,rew,stat_par_diff,-0.01987755710783679,0.0528556452720829
34,rew,eq_opp_diff,-0.02507149789501072,0.05774774965630535
35,rew,theil_ind,0.1586545582571606,0.14987513682493978
36,rew,unpriv_fpr,0.6191184091165374,0.4787650289269787
37,rew,unpriv_fnr,0.37799908424908424,0.4766505502742335
38,rew,priv_fpr,0.6353476924160699,0.4603176960297687
39,rew,priv_fnr,0.35292758635407356,0.447456595445556
40,eg,bal_acc,0.5,0.0
41,eg,disp_imp,0.0,0.0
42,eg,avg_odds_diff,0.0,0.0
43,eg,stat_par_diff,0.0,0.0
44,eg,eq_opp_diff,0.0,0.0
45,eg,theil_ind,0.04028664368132952,0.000605299241661151
46,eg,unpriv_fpr,1.0,0.0
47,eg,unpriv_fnr,0.0,0.0
48,eg,priv_fpr,1.0,0.0
49,eg,priv_fnr,0.0,0.0
