decile1b,decile3,decile1,sex,cluster,lsat,ugpa,zfygpa,dob_yr,zgpa,fulltime,fam_inc,age,parttime,pass_bar,bar,tier,index604,indxgrp,indxgrp2
10.0,10.0,10.0,0,1,44.0,3.5,1.33,69,1.88,1,5,62,0,1.0,a Passed 1st time,4,886.842082,g 700+,8
5.0,4.0,5.0,0,2,29.0,3.5,-0.11,69,-0.57,1,4,62,0,1.0,a Passed 1st time,2,649.9999869999999,f 640-700,5
8.0,7.0,8.0,1,1,37.0,3.4,0.63,68,0.37,1,3,61,0,1.0,a Passed 1st time,4,766.3157709999999,g 700+,7
8.0,7.0,8.0,0,1,43.0,3.3,0.67,67,0.34,1,4,60,0,1.0,a Passed 1st time,4,851.052609,g 700+,8
3.0,2.0,3.0,0,4,41.0,3.3,-0.67,64,-1.3,1,4,57,0,1.0,a Passed 1st time,5,819.473663,g 700+,7
1.0,1.0,1.0,1,3,24.5,2.2,-1.73,66,-1.34,1,4,59,0,1.0,b Passed 2nd time,3,448.9473585,b 400-460,1
4.0,4.0,4.0,0,3,34.0,3.3,-0.32,68,-0.38,1,4,61,0,1.0,b Passed 2nd time,3,708.9473519999999,g 700+,6
2.0,3.0,2.0,1,2,35.0,3.2,-0.92,64,-0.72,1,4,62,0,0.0,c Failed,2,714.736825,g 700+,6
5.0,5.0,5.0,0,1,40.0,2.4,-0.05,56,-0.03,1,3,49,0,1.0,b Passed 2nd time,4,713.68419,g 700+,6
8.0,9.0,8.0,0,1,35.0,2.9,0.73,62,0.94,1,3,55,0,1.0,a Passed 1st time,4,684.736825,f 640-700,5
3.0,1.0,3.0,0,3,28.0,2.4,-0.59,53,-1.49,1,3,46,0,1.0,a Passed 1st time,3,524.210514,d 520-580,3
2.0,3.0,3.0,0,4,32.5,3.2,-0.76,69,-0.56,1,4,62,0,1.0,a Passed 1st time,5,675.2631425,f 640-700,5
9.0,9.0,9.0,1,6,32.5,2.4,1.04,66,1.09,1,3,59,0,1.0,a Passed 1st time,1,595.2631425,e 580-640,4
7.0,8.0,8.0,0,6,23.0,2.8,0.56,64,0.87,1,3,57,0,1.0,a Passed 1st time,1,485.263149,c 460-520,2
4.0,3.0,5.0,0,3,37.0,2.8,-0.23,69,-0.72,1,3,62,0,1.0,a Passed 1st time,3,706.3157709999999,g 700+,6
9.0,9.0,9.0,0,5,41.0,3.9,1.08,64,0.88,1,3,57,0,1.0,a Passed 1st time,6,879.473663,g 700+,8
3.0,4.0,3.0,0,5,40.0,2.8,-0.69,65,-0.45,1,4,58,0,1.0,a Passed 1st time,6,753.68419,g 700+,6
8.0,7.0,8.0,0,3,30.0,3.3,0.58,68,0.53,1,4,61,0,1.0,a Passed 1st time,3,645.78946,f 640-700,5
8.0,7.0,8.0,1,1,40.0,3.7,0.67,70,0.4,1,4,63,0,1.0,a Passed 1st time,4,843.6841900000001,g 700+,8
1.0,2.0,1.0,1,3,22.0,2.7,-1.8,68,-1.13,1,4,61,0,1.0,a Passed 1st time,3,459.473676,b 400-460,1
