decile3,decile1,race,cluster,lsat,ugpa,dob_yr,fulltime,fam_inc,age,gender,race2,other,asian,black,hisp,pass_bar,tier,indxgrp,indxgrp2
7.0,7.0,7,1,47.0,2.6,63,1,4,-61,1,1,0,0,0,0,1,4,6,8
10.0,9.0,7,1,42.0,3.1,59,1,3,-57,1,1,0,0,0,0,1,4,6,7
5.0,5.0,2,5,38.0,3.3,69,1,4,-62,1,2,0,1,0,0,1,6,6,7
7.0,6.0,7,4,41.0,3.0,65,1,4,-58,1,1,0,0,0,0,1,5,6,7
5.0,7.0,7,3,40.0,3.2,48,1,4,-41,1,1,0,0,0,0,1,3,6,7
9.0,8.0,7,4,36.0,3.3,69,1,4,-62,1,1,0,0,0,0,1,5,6,6
2.0,1.0,7,3,33.0,3.1,67,1,3,-60,1,1,0,0,0,0,1,3,5,5
1.0,3.0,7,3,39.0,3.4,67,1,4,-60,1,1,0,0,0,0,1,3,6,7
1.0,2.0,7,3,32.0,2.9,64,1,4,-57,1,1,0,0,0,0,1,3,4,4
7.0,6.0,7,5,39.0,3.7,68,1,3,-61,1,1,0,0,0,0,1,6,6,8
6.0,6.0,7,1,37.0,3.4,59,1,3,-52,1,1,0,0,0,0,1,4,6,7
3.0,4.0,7,3,35.0,2.9,67,1,3,-60,0,1,0,0,0,0,1,3,5,5
6.0,3.0,7,1,36.0,3.9,69,1,4,-62,0,1,0,0,0,0,1,4,6,7
7.0,8.0,7,2,27.5,3.4,69,1,5,-62,1,1,0,0,0,0,1,2,4,4
2.0,2.0,7,1,41.0,3.5,69,1,4,-62,1,1,0,0,0,0,1,4,6,8
3.0,4.0,7,1,32.0,3.9,57,1,3,-50,0,1,0,0,0,0,1,4,6,6
8.0,8.0,7,3,41.0,3.3,69,1,3,-62,0,1,0,0,0,0,1,3,6,7
9.0,9.0,7,5,42.0,3.7,69,1,3,-62,1,1,0,0,0,0,1,6,6,8
2.0,9.0,7,5,34.0,2.8,69,1,3,-62,1,1,0,0,0,0,1,6,5,5
10.0,10.0,7,3,41.0,4.0,69,1,4,-62,0,1,0,0,0,0,1,3,6,8
10.0,9.0,7,1,42.0,2.8,65,1,3,-58,1,1,0,0,0,0,1,4,6,7
1.0,1.0,3,4,37.0,2.5,68,1,1,-61,1,0,0,0,1,0,1,5,5,5
9.0,8.0,7,1,36.0,3.5,68,1,4,-61,1,1,0,0,0,0,1,4,6,7
10.0,10.0,7,1,43.0,4.0,69,1,3,-62,1,1,0,0,0,0,1,4,6,8
8.0,9.0,7,3,41.0,3.2,64,1,2,-57,1,1,0,0,0,0,1,3,6,7
10.0,10.0,7,1,35.0,3.5,69,1,3,-62,1,1,0,0,0,0,1,4,6,6
5.0,3.0,7,4,42.0,3.8,70,1,3,-63,0,1,0,0,0,0,1,5,6,8
10.0,10.0,7,3,44.0,1.5,58,0,3,-51,1,1,0,0,0,0,1,3,5,5
5.0,5.0,1,2,29.0,3.1,39,1,2,-37,0,2,1,0,0,1,1,2,4,4
5.0,5.0,8,1,28.0,3.1,70,1,4,-63,1,2,1,0,0,0,1,4,4,4
4.0,7.0,7,3,41.0,2.4,53,1,3,-46,1,1,0,0,0,0,1,3,6,6
1.0,2.0,7,3,31.0,2.7,67,1,5,-60,1,1,0,0,0,0,1,3,4,4
10.0,7.0,7,4,41.0,3.8,69,1,4,-62,1,1,0,0,0,0,1,5,6,8
7.0,6.0,7,3,40.0,3.4,62,1,3,-55,0,1,0,0,0,0,1,3,6,7
10.0,10.0,7,2,32.0,2.9,68,1,3,-61,1,1,0,0,0,0,1,2,4,4
3.0,5.0,7,5,39.0,3.4,69,1,4,-62,0,1,0,0,0,0,1,6,6,7
9.0,9.0,7,3,33.0,3.5,69,1,3,-62,1,1,0,0,0,0,1,3,6,6
6.0,9.0,7,3,39.0,2.5,64,1,4,-57,1,1,0,0,0,0,1,3,6,6
6.0,3.0,7,2,31.0,2.8,68,1,3,-61,0,1,0,0,0,0,1,2,4,4
7.0,7.0,7,3,36.0,2.9,66,0,4,-59,1,1,0,0,0,0,1,3,6,6
10.0,9.0,7,1,42.0,3.4,69,1,3,-62,1,1,0,0,0,0,1,4,6,8
1.0,1.0,3,1,26.0,2.8,68,0,3,-61,0,0,0,0,1,0,1,4,3,3
2.0,3.0,4,1,36.0,3.1,68,1,3,-61,0,2,0,0,0,0,1,4,6,6
7.0,7.0,7,3,32.0,3.2,63,1,3,-56,1,1,0,0,0,0,1,3,5,5
6.0,6.0,7,3,37.0,2.8,67,1,4,-65,1,1,0,0,0,0,1,3,6,6
10.0,9.0,7,5,47.0,3.7,69,1,4,-62,1,1,0,0,0,0,1,6,6,8
9.0,9.0,7,4,42.5,3.7,67,1,4,-60,1,1,0,0,0,0,1,5,6,8
3.0,3.0,7,1,34.0,3.3,67,1,4,-60,0,1,0,0,0,0,1,4,6,6
8.0,10.0,7,3,38.0,3.2,68,1,4,-61,1,1,0,0,0,0,1,3,6,7
10.0,10.0,7,5,33.0,3.2,67,1,1,-60,1,1,0,0,0,0,1,6,5,5
1.0,1.0,6,4,27.0,2.5,67,1,3,-60,0,2,0,0,0,0,0,5,2,2
3.0,6.0,7,2,27.5,3.1,68,1,4,-61,1,1,0,0,0,0,1,2,4,4
2.0,2.0,7,3,29.3,3.2,66,1,4,-59,0,1,0,0,0,0,1,3,4,4
10.0,10.0,7,1,36.0,3.7,69,1,4,-62,0,1,0,0,0,0,1,4,6,7
3.0,6.0,7,3,34.0,2.7,48,0,2,-46,1,1,0,0,0,0,1,3,5,5
10.0,9.0,7,3,36.0,3.5,69,1,4,-62,0,1,0,0,0,0,1,3,6,7
2.0,2.0,7,4,36.0,2.9,69,1,2,-62,0,1,0,0,0,0,1,5,6,6
8.0,6.0,7,1,31.0,3.8,62,1,4,-55,0,1,0,0,0,0,1,4,6,6
8.0,7.0,7,3,35.0,3.2,68,1,3,-61,1,1,0,0,0,0,1,3,6,6
7.0,5.0,7,3,31.5,3.2,62,1,4,-60,1,1,0,0,0,0,1,3,5,5
9.0,7.0,7,2,29.0,3.8,63,1,3,-56,1,1,0,0,0,0,1,2,5,5
9.0,8.0,7,1,40.0,2.6,53,1,3,-46,1,1,0,0,0,0,1,4,6,6
8.0,10.0,7,3,40.0,3.7,68,1,3,-61,0,1,0,0,0,0,1,3,6,8
1.0,1.0,1,1,26.0,2.1,62,1,2,-60,0,2,1,0,0,1,0,4,2,2
7.0,9.0,7,3,32.0,3.4,69,1,1,-62,0,1,0,0,0,0,1,3,5,5
