decile3,decile1,sex,cluster,lsat,ugpa,zfygpa,bar1,bar1_yr,bar2,bar2_yr,fulltime,fam_inc,age,parttime,pass_bar,bar,tier,index604,indxgrp
10.0,10.0,0,1,44.0,3.5,1.33,P,7,P,94,1,5,62,0,1.0,a Passed 1st time,4,886.842082,g 700+
4.0,5.0,0,2,29.0,3.5,-0.11,P,7,P,94,1,4,62,0,1.0,a Passed 1st time,2,649.9999869999999,f 640-700
7.0,8.0,1,1,37.0,3.4,0.63,P,7,P,94,1,3,61,0,1.0,a Passed 1st time,4,766.3157709999999,g 700+
7.0,8.0,0,1,43.0,3.3,0.67,P,7,P,94,1,4,60,0,1.0,a Passed 1st time,4,851.052609,g 700+
2.0,3.0,0,4,41.0,3.3,-0.67,P,7,P,94,1,4,57,0,1.0,a Passed 1st time,5,819.473663,g 700+
1.0,1.0,1,3,24.5,2.2,-1.73,F,7,P,96,1,4,59,0,1.0,b Passed 2nd time,3,448.9473585,b 400-460
4.0,4.0,0,3,34.0,3.3,-0.32,F,7,P,95,1,4,61,0,1.0,b Passed 2nd time,3,708.9473519999999,g 700+
3.0,2.0,1,2,35.0,3.2,-0.92,F,2,F,96,1,4,62,0,0.0,c Failed,2,714.736825,g 700+
5.0,5.0,0,1,40.0,2.4,-0.05,F,7,P,95,1,3,49,0,1.0,b Passed 2nd time,4,713.68419,g 700+
9.0,8.0,0,1,35.0,2.9,0.73,P,7,P,94,1,3,55,0,1.0,a Passed 1st time,4,684.736825,f 640-700
1.0,3.0,0,3,28.0,2.4,-0.59,P,7,P,95,1,3,46,0,1.0,a Passed 1st time,3,524.210514,d 520-580
3.0,3.0,0,4,32.5,3.2,-0.76,P,7,P,94,1,4,62,0,1.0,a Passed 1st time,5,675.2631425,f 640-700
9.0,9.0,1,6,32.5,2.4,1.04,P,7,P,94,1,3,59,0,1.0,a Passed 1st time,1,595.2631425,e 580-640
8.0,8.0,0,6,23.0,2.8,0.56,P,7,P,94,1,3,57,0,1.0,a Passed 1st time,1,485.263149,c 460-520
3.0,5.0,0,3,37.0,2.8,-0.23,P,7,P,94,1,3,62,0,1.0,a Passed 1st time,3,706.3157709999999,g 700+
9.0,9.0,0,5,41.0,3.9,1.08,P,7,P,94,1,3,57,0,1.0,a Passed 1st time,6,879.473663,g 700+
4.0,3.0,0,5,40.0,2.8,-0.69,P,7,P,94,1,4,58,0,1.0,a Passed 1st time,6,753.68419,g 700+
7.0,8.0,0,3,30.0,3.3,0.58,P,7,P,94,1,4,61,0,1.0,a Passed 1st time,3,645.78946,f 640-700
7.0,8.0,1,1,40.0,3.7,0.67,P,7,P,94,1,4,63,0,1.0,a Passed 1st time,4,843.6841900000001,g 700+
2.0,1.0,1,3,22.0,2.7,-1.8,P,7,P,94,1,4,61,0,1.0,a Passed 1st time,3,459.473676,b 400-460
9.0,10.0,0,4,48.0,3.7,1.94,P,7,P,94,1,4,62,0,1.0,a Passed 1st time,5,969.999974,g 700+
2.0,3.0,0,3,36.0,2.9,-0.53,F,7,P,95,1,4,61,0,1.0,b Passed 2nd time,3,700.526298,g 700+
2.0,3.0,0,1,36.0,3.1,-0.67,P,7,P,94,1,3,61,0,1.0,a Passed 1st time,4,720.526298,g 700+
2.0,3.0,1,3,36.0,3.5,-0.64,P,7,P,94,1,1,58,0,1.0,a Passed 1st time,3,760.526298,g 700+
