iter	RMSEWithUncertainty
0	2.051635847
1	2.051605345
2	2.051567258
3	2.051462036
4	2.051434515
5	2.051396975
6	2.051376232
7	2.051351478
8	2.051319979
9	2.051292498
10	2.051244756
11	2.051186409
12	2.051115685
13	2.05108866
14	2.051050394
15	2.050989818
16	2.050954461
17	2.050915884
18	2.050890663
19	2.050834022
20	2.050794454
21	2.050768561
22	2.050727849
23	2.050660375
24	2.050629925
25	2.050579505
26	2.05053577
27	2.050473157
28	2.050445443
29	2.050387972
30	2.050338412
31	2.050290741
32	2.050269373
33	2.050219698
34	2.050199088
35	2.050140508
36	2.050121545
37	2.050100763
38	2.050049226
39	2.050019493
40	2.049883797
41	2.049834555
e+13
34	1.024188042e+13
35	1.133444254e+14
36	9.276340129e+13
37	4.49624242e+13
38	2.410019306e+14
39	2.136679725e+14
40	1.46501395e+14
41	1.004485259e+14
42	1.389488236e+14
43	1.341141638e+14
44	4.98793303e+14
45	5.773340891e+14
46	4.441559717e+14
47	1.163650153e+15
48	8.763523236e+14
49	6.785049185e+29
50	2.321020465e+29
51	2.364715343e+29
52	1.623997443e+29
53	1.115434388e+29
54	1.168874482e+29
55	5.856256832e+28
56	4.72093813e+28
57	1.478006654e+28
58	1.014018411e+28
59	6.956833489e+27
60	4.772812573e+27
61	3.274426996e+27
62	1.887008806e+27
63	1.284794236e+27
64	4.23489915e+27
65	7.574129303e+27
66	5.991911332e+27
67	7.703937624e+27
68	4.505538666e+27
69	6.216223781e+27
70	4.571050964e+27
71	5.607547599e+27
72	4.398477245e+27
73	3.009071951e+27
74	2.057699515e+27
75	2.235659652e+27
76	1.924862257e+27
77	1.315399557e+27
78	1.389933829e+27
79	1.227048521e+27
80	8.38844273e+26
81	5.73159808e+26
82	3.913929784e+26
83	2.670894434e+26
84	1.192198225e+30
85	1.151223076e+44
86	7.898414285e+43
87	5.419312879e+43
88	3.337899359e+43
89	2.24968294e+43
90	1.546322039e+43
91	1.05834865e+43
92	7.30912696e+42
93	6.697074271e+42
94	4.600165144e+42
95	2.884610925e+42
96	6.125707148e+42
97	5.119584611e+42
98	3.50135886e+42
99	2.393732551e+42
100	1.667631725e+42
101	1.139136302e+42
102	7.777088607e+41
103	5.306312156e+41
104	3.3854078e+41
105	2.305474296e+41
106	1.443332055e+41
107	9.802210242e+40
108	3.480212034e+41
109	1.445713906e+41
110	9.881262679e+40
111	6.64933142e+40
112	4.473952794e+40
113	1.229847384e+41
