,,g0-,g0-,g1-,g1-,g0+,g0+,g1+,g1+
,,Utility,Privacy,Utility,Privacy,Utility,Privacy,Utility,Privacy
Dataset,Mitigator,,,,,,,,
Bank (age),dir,11.039641,✓,3.040794,✓,-44.909952*,✓,-40.362131*,✓
Bank (age),eg,13.419917,✓,3.464338,✓,-54.622159*,✓,-43.117678*,✓
Bank (age),orig,14.003261,✓,3.387275,✓,-55.466023*,✓,-42.632363*,✓
Bank (age),rew,12.462697,✓,3.403164,✓,-51.927325*,✓,-42.940962*,✓
Bank (age),transf,10.944329,✓,2.906284,✓,-48.495927*,✓,-38.406352*,✓
COMPAS (race),dir,11.581015,✓,13.194933,✓,-37.417789,✓,-33.999715,✓
COMPAS (race),eg,22.150670,✓,21.663235,✓,-53.319880*,✓,-45.513526*,✓
COMPAS (race),orig,11.574446,✓,9.509698,✓,-34.823212,✓,-28.134951,✓
COMPAS (race),rew,10.166079,✓,11.796222,✓,-33.487860,✓,-31.746635,✓
COMPAS (race),transf,11.574446,✓,9.509698,✓,-34.823212,✓,-28.134951,✓
COMPAS (sex),dir,10.289962,✓,9.699637,✓,-31.633901,✓,-39.496951,✓
COMPAS (sex),eg,20.357866,✓,15.110213,✓,-49.396802,✓,-45.077915,✓
COMPAS (sex),orig,11.226031,✓,10.550822,✓,-33.546564,✓,-39.100248,✓
COMPAS (sex),rew,10.285767,✓,13.756903,✓,-31.875555,✓,-42.162267,✓
COMPAS (sex),transf,11.194485,✓,10.550822,✓,-33.368628,✓,-39.100248,✓
German (age),dir,-18.548743,,-4.673426,,3.354880,,-3.367042,
German (age),eg,19.677198,,24.097323,,-31.623055,,-36.678531,
German (age),orig,-10.300949,,-8.405461,,3.107935,,-5.357676,
German (age),rew,-11.210040,,-9.503520,,0.743591,,-5.693895,
German (age),transf,-15.277500,,-16.900128,,3.120708,,0.786381,
German (sex),dir,-7.622003,,-12.189310,,-9.431890,,0.704464,
German (sex),eg,-4.520714,,4.391751,,-19.821222,,-20.996538,
German (sex),orig,-4.985340,,-12.592653,,-11.423776,,-2.897679,
German (sex),rew,-4.500438,,-11.633461,,-11.525837,,-2.663883,
German (sex),transf,0.866430,,-6.856545,,-19.405617,,-12.449969,
Law (race),dir,0.000000,✓,0.000000,✓,0.000000*,✓,0.000000*,✓
Law (race),eg,0.000000,✓,0.003038,✓,0.000000*,✓,0.000000*,✓
Law (race),orig,0.000000,✓,0.003038,✓,0.000000*,✓,0.000000*,✓
Law (race),rew,0.026596,✓,0.011910,✓,0.000000*,✓,-0.012376*,✓
Law (race),transf,0.127551,✓,0.005967,✓,0.000000*,✓,0.000000*,✓
Law (sex),dir,-6.590728*,✓,-6.002772*,✓,0.323718,✓,0.345131,✓
Law (sex),eg,-4.473134*,✓,-4.999004*,✓,0.310315,✓,0.247415,✓
Law (sex),orig,-7.754125*,✓,-5.961962*,✓,0.396337,✓,0.333138,✓
Law (sex),rew,-7.584276*,✓,-5.600783*,✓,0.430771,✓,0.311003,✓
Law (sex),transf,-5.883714*,✓,-4.793426*,✓,0.266188,✓,0.228247,✓
LawSchoolGPA (gender),dir,0.000000,✓,0.000000,✓,0.000000*,✓,0.000000*,✓
LawSchoolGPA (gender),eg,0.252717,✓,0.389547,✓,-0.672760*,✓,-0.793780*,✓
LawSchoolGPA (gender),orig,0.035488,✓,0.061319,✓,-0.075360*,✓,-0.171348*,✓
LawSchoolGPA (gender),rew,0.018267,✓,0.061216,✓,-0.059880*,✓,-0.103504*,✓
LawSchoolGPA (gender),transf,0.071846,✓,0.109175,✓,-0.210299*,✓,-0.361908*,✓
LawSchoolGPA (race),dir,0.000000,✓,0.000000,✓,0.000000*,✓,0.000000*,✓
LawSchoolGPA (race),eg,0.000000,✓,0.003038,✓,0.000000*,✓,0.000000*,✓
LawSchoolGPA (race),orig,0.000000,✓,0.003038,✓,0.000000*,✓,0.000000*,✓
LawSchoolGPA (race),rew,0.026596,✓,0.011910,✓,0.000000*,✓,-0.012376*,✓
LawSchoolGPA (race),transf,0.127551,✓,0.005967,✓,0.000000*,✓,0.000000*,✓
MEPS19,dir,3.114296,✓,6.246004,✓,-31.108911*,✓,-36.772895*,✓
MEPS19,eg,3.275204,✓,6.148496,✓,-30.958917*,✓,-38.010451*,✓
MEPS19,orig,3.260738,✓,6.505179,✓,-31.663851*,✓,-38.477757*,✓
MEPS19,rew,3.313159,✓,6.098485,✓,-32.105401*,✓,-37.880329*,✓
MEPS19,transf,4.019546,✓,7.145104,✓,-34.579746*,✓,-39.791602*,✓
