Unnamed: 0,sex,age,age_cat,race,juv_fel_count,juv_misd_count,juv_other_count,priors_count,c_charge_degree,c_charge_desc,two_year_recid
0,0,69,1,0,0,0,0,0,0,15,0
1,0,34,0,0,0,0,0,0,0,150,1
2,0,24,2,0,0,0,1,4,0,282,1
5,0,44,0,0,0,0,0,0,1,38,0
6,0,41,0,1,0,0,0,14,0,261,1
7,0,43,0,0,0,0,0,3,0,388,0
8,1,39,0,1,0,0,0,0,1,38,0
10,0,27,0,1,0,0,0,0,0,221,0
11,0,23,2,0,0,0,0,3,1,38,1
12,1,37,0,1,0,0,0,0,1,38,0
13,0,41,0,0,0,0,0,0,0,250,0
14,1,47,1,1,0,0,0,1,0,388,1
15,0,31,0,0,0,0,0,7,0,154,1
16,0,37,0,0,0,0,0,0,1,38,0
17,0,25,0,0,0,0,0,3,0,166,0
18,0,31,0,1,0,0,0,6,0,124,1
19,0,31,0,1,0,0,0,5,0,274,1
20,0,64,1,0,0,0,0,13,0,388,1
21,0,21,2,0,0,0,0,1,0,44,1
22,0,27,0,1,0,0,0,0,1,275,1
23,1,21,2,1,0,0,0,0,0,177,0
24,0,24,2,0,0,0,0,1,0,187,1
25,0,43,0,1,0,0,0,1,1,336,0
26,0,32,0,0,0,0,0,0,1,38,0
27,0,27,0,0,0,0,0,8,0,65,1
29,0,26,0,0,0,0,1,5,0,219,1
30,0,33,0,0,0,0,0,0,0,340,1
31,0,30,0,1,0,0,0,9,0,150,1
32,0,32,0,0,0,0,0,4,0,31,1
33,0,55,1,1,0,0,0,0,0,388,0
34,0,49,1,0,0,0,0,7,0,4,1
36,1,33,0,1,0,0,0,4,1,38,1
37,0,24,2,1,0,0,0,1,1,38,1
38,0,34,0,0,2,1,3,21,0,243,1
39,0,29,0,1,0,0,0,0,1,253,0
40,1,21,2,0,0,0,0,2,0,388,0
41,0,51,1,0,0,0,0,2,1,368,0
42,0,29,0,1,0,0,0,2,1,380,1
43,1,51,1,0,0,0,0,7,0,282,0
44,0,29,0,0,0,0,0,0,0,100,1
45,0,25,0,1,0,0,0,9,1,38,1
46,0,35,0,0,1,0,4,13,0,378,1
47,0,49,1,1,0,0,0,0,1,91,0
49,0,29,0,0,0,0,0,0,0,340,0
50,0,29,0,1,0,0,0,1,0,290,1
51,1,28,0,0,0,0,0,0,0,166,0
54,0,31,0,0,0,0,1,15,0,32,0
55,0,24,2,0,0,0,0,2,0,240,1
56,0,30,0,0,0,0,0,0,1,253,0
57,0,49,1,0,0,0,0,4,1,38,0
58,0,53,1,1,0,0,0,8,0,388,0
59,0,35,0,0,0,0,0,5,0,124,0
61,0,27,0,0,1,1,2,15,0,124,1
62,0,38,0,1,0,0,0,4,1,38,1
63,0,22,2,0,0,0,1,1,0,230,1
65,0,29,0,0,0,0,0,4,0,388,1
66,0,62,1,0,0,0,0,0,1,367,0
67,0,27,0,0,0,1,0,6,0,19,1
68,0,33,0,0,0,0,0,0,1,38,0
69,1,56,1,0,0,0,0,0,1,38,0
70,0,45,1,0,0,0,0,6,0,282,1
71,0,22,2,0,0,0,0,1,0,58,0
72,0,39,0,0,0,0,0,1,1,388,0
73,0,29,0,0,0,0,0,5,0,142,1
74,0,27,0,1,0,0,1,1,0,388,1
75,0,40,0,0,0,0,0,2,0,388,0
76,0,22,2,0,0,0,0,1,1,38,1
77,0,22,2,1,0,0,0,0,0,166,0
78,1,26,0,0,0,0,0,1,0,225,1
80,0,32,0,0,0,0,0,0,0,149,0
81,0,41,0,0,0,0,0,1,1,388,0
82,0,30,0,0,0,0,0,8,1,253,1
83,0,50,1,0,0,0,0,0,0,388,1
84,0,25,0,0,1,6,1,14,0,388,1
85,0,20,2,0,0,0,0,0,0,340,1
86,0,22,2,0,1,0,0,2,0,34,1
88,1,35,0,0,0,0,0,1,1,388,0
89,0,36,0,0,0,0,0,9,0,109,1
90,0,26,0,1,0,0,0,7,0,261,1
91,0,21,2,0,0,0,0,1,0,166,1
92,0,25,0,1,0,0,0,9,0,219,1
94,1,20,2,1,0,0,0,0,0,250,0
95,0,39,0,1,0,0,0,2,0,265,1
97,1,54,1,1,0,0,0,0,1,91,0
98,1,44,0,0,0,0,0,0,1,38,0
99,0,19,2,0,0,0,0,1,1,38,1
101,0,30,0,0,0,0,0,1,0,134,0
102,1,39,0,1,0,0,0,0,0,12,1
103,0,24,2,1,0,1,2,8,0,143,1
104,0,30,0,1,0,0,0,0,0,275,0
105,0,31,0,1,0,0,0,0,1,38,0
106,1,39,0,1,0,0,0,1,0,289,0
108,0,43,0,1,0,0,0,1,0,282,0
109,0,21,2,0,0,0,0,3,0,166,1
110,0,38,0,1,0,0,0,5,1,253,1
111,0,34,0,1,0,0,0,0,0,15,0
112,0,33,0,0,0,0,0,5,0,226,1
113,0,37,0,0,0,0,0,3,0,250,0
114,0,42,0,1,0,0,0,1,0,10,1
115,0,41,0,0,0,1,0,10,0,282,1
116,0,22,2,0,0,0,0,0,0,378,1
117,0,33,0,0,0,12,2,28,0,124,1
118,0,31,0,0,0,0,0,1,1,38,0
119,1,30,0,0,0,0,0,1,0,77,0
120,0,31,0,1,0,0,0,13,0,388,1
121,0,27,0,0,0,0,0,3,0,282,1
123,0,52,1,1,0,0,0,3,1,38,0
