,Method,Metric,Mean,Error
0,orig,bal_acc,0.6179796316629532,0.01828509235067819
1,orig,avg_odds_diff,-7.138866628829746e-05,0.22133989147774738
2,orig,disp_imp,0.3089820191752608,0.18922889368485887
3,orig,stat_par_diff,0.01648508200078635,0.22286798671169156
4,orig,eq_opp_diff,0.040112299342057144,0.22089966819312792
5,orig,theil_ind,0.26468826777782967,0.0389517806487635
6,orig,unpriv_fpr,0.33487632312718574,0.08415351680778863
7,orig,unpriv_fnr,0.4136597213893351,0.07436606661355515
8,orig,priv_fpr,0.3751313998018195,0.22647024010819505
9,orig,priv_fnr,0.45377202073139217,0.22292043638466105
10,transf,bal_acc,0.617831263710431,0.01855552476011608
11,transf,avg_odds_diff,0.0008214684765688478,0.21921328048091146
12,transf,disp_imp,0.3086316314059892,0.18878948635993628
13,transf,stat_par_diff,0.01718930735289903,0.2211416802473031
14,transf,eq_opp_diff,0.04189801362777142,0.217066398290082
15,transf,theil_ind,0.26485367675120763,0.038859295109117314
16,transf,unpriv_fpr,0.33487632312718574,0.08415351680778863
17,transf,unpriv_fnr,0.4136597213893351,0.07436606661355515
18,transf,priv_fpr,0.3751313998018195,0.22647024010819505
19,transf,priv_fnr,0.4555577350171064,0.21935933700611523
20,dir,bal_acc,0.5991938741913199,0.02586173238263942
21,dir,avg_odds_diff,-0.005775897895492266,0.23622724070289866
22,dir,disp_imp,0.28723848078752523,0.17093622595555125
23,dir,stat_par_diff,0.010248981141604774,0.24077639971801687
24,dir,eq_opp_diff,0.017263960226519347,0.21420501032401448
25,dir,theil_ind,0.22925795945888874,0.04590995662464556
26,dir,unpriv_fpr,0.44729934032641944,0.1361459408598325
27,dir,unpriv_fnr,0.3444838973949121,0.10382190783131819
28,dir,priv_fpr,0.47611509634392324,0.2357692305806123
29,dir,priv_fnr,0.36174785762143136,0.18844790990693272
30,rew,bal_acc,0.6179796316629532,0.01828509235067819
31,rew,avg_odds_diff,-7.138866628829746e-05,0.22133989147774738
32,rew,disp_imp,0.3089820191752608,0.18922889368485887
33,rew,stat_par_diff,0.01648508200078635,0.22286798671169156
34,rew,eq_opp_diff,0.040112299342057144,0.22089966819312792
35,rew,theil_ind,0.26468826777782967,0.0389517806487635
36,rew,unpriv_fpr,0.33487632312718574,0.08415351680778863
37,rew,unpriv_fnr,0.4136597213893351,0.07436606661355515
38,rew,priv_fpr,0.3751313998018195,0.22647024010819505
39,rew,priv_fnr,0.45377202073139217,0.22292043638466105
40,eg,bal_acc,0.5538283106358259,0.03864705404134775
41,eg,avg_odds_diff,-0.0363172488662493,0.16894095173306964
42,eg,disp_imp,0.387354167544394,0.2361508145564823
43,eg,stat_par_diff,-0.029095833862511473,0.16137923346219185
44,eg,eq_opp_diff,-0.014817088212709328,0.2083308556023159
45,eg,theil_ind,0.4347803692950426,0.0671284383275133
46,eg,unpriv_fpr,0.16604454521839995,0.07896318113527487
47,eg,unpriv_fnr,0.7166439211460438,0.10711500927586112
48,eg,priv_fpr,0.2238619547381892,0.141890000189821
49,eg,priv_fnr,0.7018268329333345,0.2154252843508351
