,Method,Metric,Mean,Error
0,orig,bal_acc,0.5063469656829592,0.008360179046022613
1,orig,avg_odds_diff,-0.061308598023431436,0.06675993352217184
2,orig,disp_imp,0.06178585664354681,0.06724313803075234
3,orig,stat_par_diff,-0.06178585664354681,0.06724313803075234
4,orig,eq_opp_diff,-0.050768914504069985,0.0562536674603111
5,orig,theil_ind,0.07524186778712245,0.023566992487003908
6,orig,unpriv_fpr,0.928151718457207,0.07791122068196482
7,orig,unpriv_fnr,0.050768914504069985,0.05625366746031111
8,orig,priv_fpr,1.0,0.0
9,orig,priv_fnr,0.0,0.0
10,transf,bal_acc,0.5063469656829592,0.008360179046022613
11,transf,avg_odds_diff,-0.061308598023431436,0.06675993352217184
12,transf,disp_imp,0.06178585664354681,0.06724313803075234
13,transf,stat_par_diff,-0.06178585664354681,0.06724313803075234
14,transf,eq_opp_diff,-0.050768914504069985,0.0562536674603111
15,transf,theil_ind,0.07524186778712245,0.023566992487003908
16,transf,unpriv_fpr,0.928151718457207,0.07791122068196482
17,transf,unpriv_fnr,0.050768914504069985,0.05625366746031111
18,transf,priv_fpr,1.0,0.0
19,transf,priv_fnr,0.0,0.0
20,dir,bal_acc,0.5043881173802067,0.006457882409754375
21,dir,avg_odds_diff,-0.06383128144622051,0.07667205177174494
22,dir,disp_imp,0.06417908584320585,0.07708292126509766
23,dir,stat_par_diff,-0.06417908584320585,0.07708292126509766
24,dir,eq_opp_diff,-0.05551026605705935,0.06777020472879695
25,dir,theil_ind,0.07728937170969752,0.028479626203017437
26,dir,unpriv_fpr,0.9278477031646183,0.08600343149246345
27,dir,unpriv_fnr,0.05551026605705935,0.06777020472879694
28,dir,priv_fpr,1.0,0.0
29,dir,priv_fnr,0.0,0.0
30,rew,bal_acc,0.5063469656829592,0.008360179046022613
31,rew,avg_odds_diff,-0.061308598023431436,0.06675993352217184
32,rew,disp_imp,0.06178585664354681,0.06724313803075234
33,rew,stat_par_diff,-0.06178585664354681,0.06724313803075234
34,rew,eq_opp_diff,-0.050768914504069985,0.0562536674603111
35,rew,theil_ind,0.07524186778712245,0.023566992487003908
36,rew,unpriv_fpr,0.928151718457207,0.07791122068196482
37,rew,unpriv_fnr,0.050768914504069985,0.05625366746031111
38,rew,priv_fpr,1.0,0.0
39,rew,priv_fnr,0.0,0.0
40,eg,bal_acc,0.5,0.0
41,eg,avg_odds_diff,0.0,0.0
42,eg,disp_imp,0.0,0.0
43,eg,stat_par_diff,0.0,0.0
44,eg,eq_opp_diff,0.0,0.0
45,eg,theil_ind,0.05408225876511533,0.0007956775218290603
46,eg,unpriv_fpr,1.0,0.0
47,eg,unpriv_fnr,0.0,0.0
48,eg,priv_fpr,1.0,0.0
49,eg,priv_fnr,0.0,0.0
