,Method,Metric,Mean Privacy Risk,Error
0,orig,entire_dataset_mia_privacy_risk,0.5144256756756758,0.008091124341323802
1,orig,subpopulation_0.0_label_0.0_mia_privacy_risk,0.5202344485737644,0.010695760526897417
2,orig,subpopulation_0.0_label_1.0_mia_privacy_risk,0.5181284021555361,0.012336143705270388
3,orig,subpopulation_1.0_label_0.0_mia_privacy_risk,0.5285969582680918,0.024300074850443904
4,orig,subpopulation_1.0_label_1.0_mia_privacy_risk,0.5488484005423693,0.03214256622012778
5,transf,entire_dataset_mia_privacy_risk,0.5144932432432433,0.008118399703638007
6,transf,subpopulation_0.0_label_0.0_mia_privacy_risk,0.5202344485737644,0.010695760526897417
7,transf,subpopulation_0.0_label_1.0_mia_privacy_risk,0.5180351185734466,0.012361110532648446
8,transf,subpopulation_1.0_label_0.0_mia_privacy_risk,0.5285969582680918,0.024300074850443904
9,transf,subpopulation_1.0_label_1.0_mia_privacy_risk,0.5488484005423693,0.03214256622012778
10,dir,entire_dataset_mia_privacy_risk,0.5210135135135134,0.013052042407341351
11,dir,subpopulation_0.0_label_0.0_mia_privacy_risk,0.5335325671409249,0.03155349613094551
12,dir,subpopulation_0.0_label_1.0_mia_privacy_risk,0.5303275449684389,0.025619295475116627
13,dir,subpopulation_1.0_label_0.0_mia_privacy_risk,0.5421442901479053,0.03264401851995911
14,dir,subpopulation_1.0_label_1.0_mia_privacy_risk,0.5412793267378626,0.030111517743759957
15,rew,entire_dataset_mia_privacy_risk,0.5144256756756758,0.008091124341323802
16,rew,subpopulation_0.0_label_0.0_mia_privacy_risk,0.5202344485737644,0.010695760526897417
17,rew,subpopulation_0.0_label_1.0_mia_privacy_risk,0.5181284021555361,0.012336143705270388
18,rew,subpopulation_1.0_label_0.0_mia_privacy_risk,0.5285969582680918,0.024300074850443904
19,rew,subpopulation_1.0_label_1.0_mia_privacy_risk,0.5488484005423693,0.03214256622012778
20,eg,entire_dataset_mia_privacy_risk,0.5116554054054054,0.006812977341744302
21,eg,subpopulation_0.0_label_0.0_mia_privacy_risk,0.5184300677671289,0.009632962720518924
22,eg,subpopulation_0.0_label_1.0_mia_privacy_risk,0.5206698791260204,0.013037583822441221
23,eg,subpopulation_1.0_label_0.0_mia_privacy_risk,0.5304984990783275,0.029735197379461394
24,eg,subpopulation_1.0_label_1.0_mia_privacy_risk,0.5430068801765688,0.031379866094608216
