,Method,Metric,Mean,Error
0,orig,bal_acc,0.5359237934351027,0.018613888956991394
1,orig,avg_odds_diff,0.02904975112305811,0.02167674548017733
2,orig,disp_imp,0.659774823991983,0.1535946832932026
3,orig,stat_par_diff,0.03963340526075423,0.013375411957243786
4,orig,eq_opp_diff,0.04125716897297441,0.046323852547785246
5,orig,theil_ind,0.1292412180469797,0.00831915571712562
6,orig,unpriv_fpr,0.03074866310035227,0.020144148466360156
7,orig,unpriv_fnr,0.8791068242102724,0.01745328670799396
8,orig,priv_fpr,0.013906329827210472,0.0086660274586779
9,orig,priv_fnr,0.920363993183247,0.04846450589035777
10,transf,bal_acc,0.5268812985754445,0.013126128734053931
11,transf,avg_odds_diff,0.0076619693461247255,0.011908768164950808
12,transf,disp_imp,0.4793282334202358,0.2557300280106633
13,transf,stat_par_diff,0.015127659461551767,0.010204022834111703
14,transf,eq_opp_diff,0.018116076423328666,0.019093390326653727
15,transf,theil_ind,0.13169412282389997,0.004107240978458189
16,transf,unpriv_fpr,0.01180033416875522,0.019569267345800397
17,transf,unpriv_fnr,0.916614098545133,0.034600696005987044
18,transf,priv_fpr,0.014592471899834434,0.014767097585579068
19,transf,priv_fnr,0.9347301749684617,0.040271197289428594
20,dir,bal_acc,0.5256153714625214,0.017895892026587285
21,dir,avg_odds_diff,0.01577276068592518,0.022523855905089804
22,dir,disp_imp,0.614250134068728,0.1592925401644118
23,dir,stat_par_diff,0.024595835140759338,0.017531981226775503
24,dir,eq_opp_diff,0.019339143407479435,0.04186869813273649
25,dir,theil_ind,0.13200005089051203,0.005612929670276701
26,dir,unpriv_fpr,0.02543738265003278,0.021506473013320957
27,dir,unpriv_fnr,0.9187541194437747,0.05181448689895033
28,dir,priv_fpr,0.013231004685661856,0.012207754017836787
29,dir,priv_fnr,0.9380932628512539,0.04942477009016301
30,rew,bal_acc,0.5359237934351027,0.018613888956991394
31,rew,avg_odds_diff,0.02904975112305811,0.02167674548017733
32,rew,disp_imp,0.659774823991983,0.1535946832932026
33,rew,stat_par_diff,0.03963340526075423,0.013375411957243786
34,rew,eq_opp_diff,0.04125716897297441,0.046323852547785246
35,rew,theil_ind,0.1292412180469797,0.00831915571712562
36,rew,unpriv_fpr,0.03074866310035227,0.020144148466360156
37,rew,unpriv_fnr,0.8791068242102724,0.01745328670799396
38,rew,priv_fpr,0.013906329827210472,0.0086660274586779
39,rew,priv_fnr,0.920363993183247,0.04846450589035777
40,eg,bal_acc,0.5007849144238361,0.0008491115458654958
41,eg,avg_odds_diff,0.00299677660118782,0.004903562781093743
42,eg,disp_imp,0.49383900029061323,0.49243125403487725
43,eg,stat_par_diff,0.0026598322911828504,0.004307983467578779
44,eg,eq_opp_diff,0.00466450363512831,0.007779423209956716
45,eg,theil_ind,0.08729004534867214,0.06207743290952066
46,eg,unpriv_fpr,0.4014598540145985,0.5463980251191627
47,eg,unpriv_fnr,0.5943030303030303,0.5425534973812823
48,eg,priv_fpr,0.4001308044473513,0.5476032150213017
49,eg,priv_fnr,0.5989675339381586,0.5467810652659065
