,Method,Metric,Mean,Error
0,orig,bal_acc,0.5435606516623928,0.06797065610007998
1,orig,disp_imp,0.40131871671680636,0.36722892380006045
2,orig,avg_odds_diff,0.09635296591398715,0.19946678142095176
3,orig,stat_par_diff,0.1121157602589862,0.22465089802795102
4,orig,eq_opp_diff,0.098784565008334,0.18581330826720488
5,orig,theil_ind,0.0804940939052932,0.0530978954102971
6,orig,unpriv_fpr,0.506265878323466,0.4662211537211549
7,orig,unpriv_fnr,0.4118364714315419,0.43762503980470846
8,orig,priv_fpr,0.41234451150382573,0.492548609149933
9,orig,priv_fnr,0.5106210364398758,0.44342553858492445
10,transf,bal_acc,0.5000917697265027,0.0002825547146099319
11,transf,disp_imp,0.4712918660287082,0.229969696878105
12,transf,avg_odds_diff,-0.00014343353486600952,0.00044149327249773363
13,transf,stat_par_diff,-5.797109242070815e-05,0.00017843139086506378
14,transf,eq_opp_diff,-0.00025414971258799974,0.0007822906905268919
15,transf,theil_ind,0.12537020319232717,0.03655599753475315
16,transf,unpriv_fpr,0.1,0.30779350562554625
17,transf,unpriv_fnr,0.9,0.30779350562554625
18,transf,priv_fpr,0.10003271735714403,0.30778233279631545
19,transf,priv_fnr,0.899745850287412,0.3077075703997832
20,dir,bal_acc,0.5022053741970198,0.009862733240720968
21,dir,disp_imp,0.05,0.22360679774997896
22,dir,avg_odds_diff,0.05,0.22360679774997896
23,dir,stat_par_diff,0.05,0.22360679774997896
24,dir,eq_opp_diff,0.05,0.22360679774997896
25,dir,theil_ind,0.02484997946982704,0.027153564502873026
26,dir,unpriv_fpr,1.0,0.0
27,dir,unpriv_fnr,0.0,0.0
28,dir,priv_fpr,0.95,0.22360679774997896
29,dir,priv_fnr,0.05,0.22360679774997896
30,rew,bal_acc,0.5435606516623928,0.06797065610007998
31,rew,disp_imp,0.40131871671680636,0.36722892380006045
32,rew,avg_odds_diff,0.09635296591398715,0.19946678142095176
33,rew,stat_par_diff,0.1121157602589862,0.22465089802795102
34,rew,eq_opp_diff,0.098784565008334,0.18581330826720488
35,rew,theil_ind,0.0804940939052932,0.0530978954102971
36,rew,unpriv_fpr,0.506265878323466,0.4662211537211549
37,rew,unpriv_fnr,0.4118364714315419,0.43762503980470846
38,rew,priv_fpr,0.41234451150382573,0.492548609149933
39,rew,priv_fnr,0.5106210364398758,0.44342553858492445
40,eg,bal_acc,0.5019615864840773,0.0028962850312282884
41,eg,disp_imp,0.6032890318988562,0.44930468537314355
42,eg,avg_odds_diff,0.009262490082383012,0.014622161674314377
43,eg,stat_par_diff,0.007092465880421603,0.010716029056134837
44,eg,eq_opp_diff,0.017208453669549238,0.028287187830973514
45,eg,theil_ind,0.10167398540253861,0.055809847523806556
46,eg,unpriv_fpr,0.30144816999781504,0.46920423604326145
47,eg,unpriv_fnr,0.6814073548854664,0.45846015992859807
48,eg,priv_fpr,0.30013164350259824,0.47007400775758407
49,eg,priv_fnr,0.6986158085550157,0.46923561607886477
