,Method,Metric,Mean,Error
0,orig,bal_acc,0.7512978212994699,0.010782670964194876
1,orig,disp_imp,0.6841616099650409,0.07544399848396355
2,orig,avg_odds_diff,0.4034015701207026,0.0670830082542531
3,orig,stat_par_diff,0.5376085381494375,0.07545537174914983
4,orig,eq_opp_diff,0.30448763280543156,0.06071262981469257
5,orig,theil_ind,0.08433828255606149,0.0033426966057906937
6,orig,unpriv_fpr,0.6925348804143199,0.06276843839183055
7,orig,unpriv_fnr,0.024473638003415968,0.03008357372396432
8,orig,priv_fpr,0.1902193729783462,0.05101205367139417
9,orig,priv_fnr,0.3289612708088475,0.06529726592793487
10,transf,bal_acc,0.8104101308010355,0.0225442170787833
11,transf,disp_imp,0.3900304375756856,0.09268963253670642
12,transf,avg_odds_diff,0.00035834608223055955,0.06997787729327574
13,transf,stat_par_diff,0.18151718959712548,0.06429981388443204
14,transf,eq_opp_diff,-0.13297026104528226,0.08014704917632404
15,transf,theil_ind,0.06899469247696531,0.006158965948941274
16,transf,unpriv_fpr,0.33178192294972264,0.06950102045499347
17,transf,unpriv_fnr,0.28866524014613676,0.08152980385096181
18,transf,priv_fpr,0.19809496973997925,0.01061502155177493
19,transf,priv_fnr,0.15569497910085447,0.050599287882601186
20,dir,bal_acc,0.7843409191831865,0.03177197169990735
21,dir,disp_imp,0.6549688068659574,0.057250474430354484
22,dir,avg_odds_diff,0.31505726485127505,0.1017117021629759
23,dir,stat_par_diff,0.4628848535254497,0.09856871500881764
24,dir,eq_opp_diff,0.21757726388358423,0.0969579327524574
25,dir,theil_ind,0.07599157535367795,0.008054719388385713
26,dir,unpriv_fpr,0.585209967715517,0.11786407038690754
27,dir,unpriv_fnr,0.05430480842392027,0.035390221818430365
28,dir,priv_fpr,0.1726727018965512,0.009730922045628355
29,dir,priv_fnr,0.2718820723075045,0.0745133370774754
30,rew,bal_acc,0.7748096071876582,0.029290544133160692
31,rew,disp_imp,0.2685494725383296,0.13860800161991552
32,rew,avg_odds_diff,-0.040114344911507574,0.10514529051706127
33,rew,stat_par_diff,0.11479645131187391,0.08623083986051588
34,rew,eq_opp_diff,-0.14279711532213968,0.1359773662769514
35,rew,theil_ind,0.07858028953395406,0.008375887024199285
36,rew,unpriv_fpr,0.27243931666691096,0.0950613285568834
37,rew,unpriv_fnr,0.36129272087643083,0.09271836922672903
38,rew,priv_fpr,0.2098708911677865,0.018534548943098566
39,rew,priv_fnr,0.21849560555429118,0.05411578785678456
40,eg,bal_acc,0.7752849296462064,0.023112616739653338
41,eg,disp_imp,0.6744960443984063,0.14577948977061492
42,eg,avg_odds_diff,0.2647659608593214,0.248198728105884
43,eg,stat_par_diff,0.4074703072562637,0.2695317241027795
44,eg,eq_opp_diff,0.18253981774264044,0.18813234481244107
45,eg,theil_ind,0.07531467469902994,0.00592398186465001
46,eg,unpriv_fpr,0.4429244512270317,0.3158532992299421
47,eg,unpriv_fnr,0.18200179843674344,0.1312290301332127
48,eg,priv_fpr,0.09593234725102928,0.021977283127453166
49,eg,priv_fnr,0.3645416161793839,0.07691229917968027
