,Method,Metric,Mean Privacy Risk,Error
0,orig,entire_dataset_mia_privacy_risk,0.5014440186148372,0.0019647470327487115
1,orig,subpopulation_0.0_label_0.0_mia_privacy_risk,0.5,0.0
2,orig,subpopulation_0.0_label_1.0_mia_privacy_risk,0.5073966250865187,0.01817206754152661
3,orig,subpopulation_1.0_label_0.0_mia_privacy_risk,0.5,0.0
4,orig,subpopulation_1.0_label_1.0_mia_privacy_risk,0.5027346133386914,0.007306690196994064
5,transf,entire_dataset_mia_privacy_risk,0.5019093895428415,0.0018382196982120581
6,transf,subpopulation_0.0_label_0.0_mia_privacy_risk,0.5,0.0
7,transf,subpopulation_0.0_label_1.0_mia_privacy_risk,0.500853587962963,0.0026377501384989544
8,transf,subpopulation_1.0_label_0.0_mia_privacy_risk,0.5,0.0
9,transf,subpopulation_1.0_label_1.0_mia_privacy_risk,0.5001312335958005,0.0005868944822834001
10,dir,entire_dataset_mia_privacy_risk,0.5014577059950727,0.001916374732605715
11,dir,subpopulation_0.0_label_0.0_mia_privacy_risk,0.5,0.0
12,dir,subpopulation_0.0_label_1.0_mia_privacy_risk,0.5,0.0
13,dir,subpopulation_1.0_label_0.0_mia_privacy_risk,0.5,0.0
14,dir,subpopulation_1.0_label_1.0_mia_privacy_risk,0.5,0.0
15,rew,entire_dataset_mia_privacy_risk,0.5014440186148372,0.0019647470327487115
16,rew,subpopulation_0.0_label_0.0_mia_privacy_risk,0.5,0.0
17,rew,subpopulation_0.0_label_1.0_mia_privacy_risk,0.5073966250865187,0.01817206754152661
18,rew,subpopulation_1.0_label_0.0_mia_privacy_risk,0.5,0.0
19,rew,subpopulation_1.0_label_1.0_mia_privacy_risk,0.5027346133386914,0.007306690196994064
20,eg,entire_dataset_mia_privacy_risk,0.5031480974541471,0.002799448361102889
21,eg,subpopulation_0.0_label_0.0_mia_privacy_risk,0.5113633000842489,0.0175239605465291
22,eg,subpopulation_0.0_label_1.0_mia_privacy_risk,0.5169100964613543,0.0165775027374688
23,eg,subpopulation_1.0_label_0.0_mia_privacy_risk,0.5008631635810172,0.001686706492289724
24,eg,subpopulation_1.0_label_1.0_mia_privacy_risk,0.5121618412691598,0.013495932849077966
