,Method,Metric,Mean,Error
0,orig,bal_acc,0.5675740543031986,0.011925667011094742
1,orig,avg_odds_diff,0.19611664032926093,0.30692634253516843
2,orig,disp_imp,0.4572566334349825,0.32293445882421645
3,orig,stat_par_diff,0.20662729028894794,0.29878928306921065
4,orig,eq_opp_diff,0.21118039719986753,0.3322988099766281
5,orig,theil_ind,0.26221563169471446,0.09135298523663543
6,orig,unpriv_fpr,0.5016172296096923,0.20269511394371367
7,orig,unpriv_fnr,0.3698430448667935,0.18882966163446221
8,orig,priv_fpr,0.3205643461510379,0.24154814739792071
9,orig,priv_fnr,0.581023442066661,0.30647415881743517
10,transf,bal_acc,0.5674341540005722,0.011844495882541778
11,transf,avg_odds_diff,0.18054705987799802,0.3230502745436771
12,transf,disp_imp,0.4730979086902159,0.309389681528287
13,transf,stat_par_diff,0.19114139834867755,0.31551905841496497
14,transf,eq_opp_diff,0.19534092083992854,0.3465307028864601
15,transf,theil_ind,0.2685498194828532,0.08612120818318844
16,transf,unpriv_fpr,0.4863175450671056,0.19892232257583262
17,transf,unpriv_fnr,0.3847896640838753,0.18156598071641128
18,transf,priv_fpr,0.3205643461510379,0.24154814739792071
19,transf,priv_fnr,0.5801305849238039,0.3076226755809342
20,dir,bal_acc,0.56776879955239,0.01689800680494009
21,dir,avg_odds_diff,0.18253870578300818,0.35957419959490056
22,dir,disp_imp,0.47609502194120285,0.31210077388159757
23,dir,stat_par_diff,0.19634866257419523,0.3543618462465374
24,dir,eq_opp_diff,0.1789079901915278,0.3715623779248396
25,dir,theil_ind,0.22237894332552646,0.0949733535808635
26,dir,unpriv_fpr,0.5781924970052235,0.2147933189469987
27,dir,unpriv_fnr,0.29920223196817664,0.18970085851535
28,dir,priv_fpr,0.392023075630735,0.2897431188141602
29,dir,priv_fnr,0.47811022215970456,0.34999294812480947
30,rew,bal_acc,0.5675740543031986,0.011925667011094742
31,rew,avg_odds_diff,0.19611664032926093,0.30692634253516843
32,rew,disp_imp,0.4572566334349825,0.32293445882421645
33,rew,stat_par_diff,0.20662729028894794,0.29878928306921065
34,rew,eq_opp_diff,0.21118039719986753,0.3322988099766281
35,rew,theil_ind,0.26221563169471446,0.09135298523663543
36,rew,unpriv_fpr,0.5016172296096923,0.20269511394371367
37,rew,unpriv_fnr,0.3698430448667935,0.18882966163446221
38,rew,priv_fpr,0.3205643461510379,0.24154814739792071
39,rew,priv_fnr,0.581023442066661,0.30647415881743517
40,eg,bal_acc,0.5229757777756583,0.019323523964457075
41,eg,avg_odds_diff,-0.038319264848565286,0.20069619365369504
42,eg,disp_imp,0.5823133140506906,0.36885715701068694
43,eg,stat_par_diff,-0.03375082960755926,0.1957352177335865
44,eg,eq_opp_diff,-0.039320517315948086,0.224915962185554
45,eg,theil_ind,0.4497306350199356,0.19263102079088468
46,eg,unpriv_fpr,0.22125119229912965,0.3253808321463757
47,eg,unpriv_fnr,0.7309383185619395,0.33905704037061285
48,eg,priv_fpr,0.25856920468031214,0.3761509049900726
49,eg,priv_fnr,0.6916178012459915,0.41911826741203057
