,Method,Metric,Mean,Error
0,orig,bal_acc,0.5208481108578346,0.023211717880859947
1,orig,avg_odds_diff,0.10162801455923336,0.2231219602485393
2,orig,disp_imp,0.5566201740695585,0.31393162322707446
3,orig,stat_par_diff,0.10426766317591125,0.21952271928740233
4,orig,eq_opp_diff,0.10652801839887527,0.24685069526617304
5,orig,theil_ind,0.41969559764803827,0.1917224444830699
6,orig,unpriv_fpr,0.30928633579555903,0.3357847784681799
7,orig,unpriv_fnr,0.6535578943374931,0.3619158948484523
8,orig,priv_fpr,0.21255832507596756,0.24281897394543395
9,orig,priv_fnr,0.7600859127363686,0.24345692128879967
10,transf,bal_acc,0.5208481108578346,0.023211717880859947
11,transf,avg_odds_diff,0.10162801455923336,0.2231219602485393
12,transf,disp_imp,0.5566201740695585,0.31393162322707446
13,transf,stat_par_diff,0.10426766317591125,0.21952271928740233
14,transf,eq_opp_diff,0.10652801839887527,0.24685069526617304
15,transf,theil_ind,0.41969559764803827,0.1917224444830699
16,transf,unpriv_fpr,0.30928633579555903,0.3357847784681799
17,transf,unpriv_fnr,0.6535578943374931,0.3619158948484523
18,transf,priv_fpr,0.21255832507596756,0.24281897394543395
19,transf,priv_fnr,0.7600859127363686,0.24345692128879967
20,dir,bal_acc,0.5262095217229886,0.021822610278858977
21,dir,avg_odds_diff,0.08271498685219444,0.133801221489126
22,dir,disp_imp,0.27116475238653637,0.19429488480271523
23,dir,stat_par_diff,0.0894887413131095,0.13212395851789305
24,dir,eq_opp_diff,0.07682638871352579,0.1498320685653357
25,dir,theil_ind,0.30150106035456503,0.18248797707392259
26,dir,unpriv_fpr,0.5027843674918293,0.33466742006900746
27,dir,unpriv_fnr,0.4528920569116949,0.34332956722458485
28,dir,priv_fpr,0.41418078250096596,0.3070522209617753
29,dir,priv_fnr,0.5297184456252206,0.31382849317651623
30,rew,bal_acc,0.5208481108578346,0.023211717880859947
31,rew,avg_odds_diff,0.10162801455923336,0.2231219602485393
32,rew,disp_imp,0.5566201740695585,0.31393162322707446
33,rew,stat_par_diff,0.10426766317591125,0.21952271928740233
34,rew,eq_opp_diff,0.10652801839887527,0.24685069526617304
35,rew,theil_ind,0.41969559764803827,0.1917224444830699
36,rew,unpriv_fpr,0.30928633579555903,0.3357847784681799
37,rew,unpriv_fnr,0.6535578943374931,0.3619158948484523
38,rew,priv_fpr,0.21255832507596756,0.24281897394543395
39,rew,priv_fnr,0.7600859127363686,0.24345692128879967
40,eg,bal_acc,0.5284324762739367,0.024695486443388745
41,eg,avg_odds_diff,-0.0035681920092340653,0.05469615915345276
42,eg,disp_imp,0.442623115257936,0.3165962225264464
43,eg,stat_par_diff,0.002434683568850458,0.05179509370216063
44,eg,eq_opp_diff,-0.001229523070411413,0.06946613723173997
45,eg,theil_ind,0.46428976954189605,0.1803943454090785
46,eg,unpriv_fpr,0.18747536618777588,0.3327130434119681
47,eg,unpriv_fnr,0.7545703479766226,0.3237423284032652
48,eg,priv_fpr,0.19338222713583259,0.3501797015054014
49,eg,priv_fnr,0.7533408249062112,0.34515317605533735
