,Method,Metric,Mean Privacy Risk,Error
0,orig,entire_dataset_mia_privacy_risk,0.5168918918918919,0.0075939390128245575
1,orig,subpopulation_0.0_label_0.0_mia_privacy_risk,0.51251996786809,0.013125877454151738
2,orig,subpopulation_0.0_label_1.0_mia_privacy_risk,0.5238191699078368,0.015166384191822074
3,orig,subpopulation_1.0_label_0.0_mia_privacy_risk,0.5217560530606417,0.025582007338947253
4,orig,subpopulation_1.0_label_1.0_mia_privacy_risk,0.5199887578814552,0.02237355492411891
5,transf,entire_dataset_mia_privacy_risk,0.5164864864864865,0.007428875393495798
6,transf,subpopulation_0.0_label_0.0_mia_privacy_risk,0.5119548856784021,0.013280495587217118
7,transf,subpopulation_0.0_label_1.0_mia_privacy_risk,0.5237043082729508,0.015199687850818811
8,transf,subpopulation_1.0_label_0.0_mia_privacy_risk,0.5217560530606417,0.025582007338947253
9,transf,subpopulation_1.0_label_1.0_mia_privacy_risk,0.5184051999299727,0.022622604052550222
10,dir,entire_dataset_mia_privacy_risk,0.5192567567567566,0.011408824563506946
11,dir,subpopulation_0.0_label_0.0_mia_privacy_risk,0.5190727799070489,0.016219222142689213
12,dir,subpopulation_0.0_label_1.0_mia_privacy_risk,0.5226512746684105,0.02006741004089513
13,dir,subpopulation_1.0_label_0.0_mia_privacy_risk,0.5182270140085257,0.02363520852208404
14,dir,subpopulation_1.0_label_1.0_mia_privacy_risk,0.5287815648834562,0.032025573868955756
15,rew,entire_dataset_mia_privacy_risk,0.5168918918918919,0.0075939390128245575
16,rew,subpopulation_0.0_label_0.0_mia_privacy_risk,0.51251996786809,0.013125877454151738
17,rew,subpopulation_0.0_label_1.0_mia_privacy_risk,0.5238191699078368,0.015166384191822074
18,rew,subpopulation_1.0_label_0.0_mia_privacy_risk,0.5217560530606417,0.025582007338947253
19,rew,subpopulation_1.0_label_1.0_mia_privacy_risk,0.5199887578814552,0.02237355492411891
20,eg,entire_dataset_mia_privacy_risk,0.5136824324324325,0.007368713677136791
21,eg,subpopulation_0.0_label_0.0_mia_privacy_risk,0.515123033646328,0.01358278762890182
22,eg,subpopulation_0.0_label_1.0_mia_privacy_risk,0.5140030665040227,0.01336105193657576
23,eg,subpopulation_1.0_label_0.0_mia_privacy_risk,0.5247010825078694,0.02416008743692186
24,eg,subpopulation_1.0_label_1.0_mia_privacy_risk,0.5216290161937249,0.023453331760628394
