,Method,Metric,Mean,Error
0,orig,bal_acc,0.5021538564568768,0.0026129161974002037
1,orig,avg_odds_diff,-0.0006598623918577795,0.005023149889280995
2,orig,disp_imp,0.0003464656877405492,0.0005590972872549681
3,orig,stat_par_diff,-0.00020440802111663104,0.0006281802074961255
4,orig,eq_opp_diff,-0.00011428639430237642,0.0005309865462867806
5,orig,theil_ind,0.017355585058032686,0.0014710250798544325
6,orig,unpriv_fpr,0.9950009500571216,0.00789935548834845
7,orig,unpriv_fnr,0.00015072954299042611,0.0004937816476596933
8,orig,priv_fpr,0.9962063884465348,0.0068835167082890725
9,orig,priv_fnr,3.644314868804665e-05,0.00016297871556120915
10,transf,bal_acc,0.5014730720433677,0.002971129130374807
11,transf,avg_odds_diff,-0.00042853281981763134,0.0032889642753249956
12,transf,disp_imp,0.00020732758287576593,0.00042993750174111987
13,transf,stat_par_diff,-0.00013699499878399579,0.0004582744508016232
14,transf,eq_opp_diff,-0.00010141987829614396,0.0004535634842798669
15,transf,theil_ind,0.01733395344481936,0.0014892092022573032
16,transf,unpriv_fpr,0.9966291013176258,0.006969885775651534
17,transf,unpriv_fnr,0.00010141987829614604,0.0004535634842798762
18,transf,priv_fpr,0.997384747078965,0.006866495748564318
19,transf,priv_fnr,0.0,0.0
20,dir,bal_acc,0.5020382970293082,0.003659093433014516
21,dir,avg_odds_diff,4.5722075768189764e-05,0.0054756216898545216
22,dir,disp_imp,0.00029086881793377595,0.00048749743592794466
23,dir,stat_par_diff,-7.84974440006081e-05,0.0005657601652363878
24,dir,eq_opp_diff,-6.396669477554685e-05,0.000491702643718887
25,dir,theil_ind,0.01733611669682666,0.0014913419641071426
26,dir,unpriv_fpr,0.9962155965217683,0.00833802015276028
27,dir,unpriv_fnr,0.00010141987829614604,0.0004535634842798762
28,dir,priv_fpr,0.9960601856754563,0.009639839153836344
29,dir,priv_fnr,3.745318352059925e-05,0.00016749572865166964
30,rew,bal_acc,0.5017150317330613,0.0022692750200896915
31,rew,avg_odds_diff,0.0008132900514853575,0.004830370088996648
32,rew,disp_imp,0.00041885748698743954,0.000656215508861195
33,rew,stat_par_diff,-0.0002030826276043729,0.0007559402391513348
34,rew,eq_opp_diff,-0.00029400891388377536,0.0006446504681655702
35,rew,theil_ind,0.017408687910841308,0.0015105634411192378
36,rew,unpriv_fpr,0.9974227521112768,0.006347271435407255
37,rew,unpriv_fnr,0.00029400891388377303,0.0006446504681655674
38,rew,priv_fpr,0.9955021630944222,0.007188681225971322
39,rew,priv_fnr,0.0,0.0
40,eg,bal_acc,0.5460143256188501,0.016770445704976947
41,eg,avg_odds_diff,-0.011984667578379533,0.02030546258758436
42,eg,disp_imp,0.004202446491081163,0.002991684383566409
43,eg,stat_par_diff,-0.004068876011285532,0.0031258710014002654
44,eg,eq_opp_diff,-0.002255020385033535,0.0028188816528317397
45,eg,theil_ind,0.02175607883908803,0.002625531379763694
46,eg,unpriv_fpr,0.8908655806755158,0.039638728303796444
47,eg,unpriv_fnr,0.007410688887864998,0.003103630877974477
48,eg,priv_fpr,0.9125798954472412,0.04166227725939932
49,eg,priv_fnr,0.005155668502831471,0.002580758692194294
