,Method,Metric,Mean Privacy Risk,Error
0,orig,entire_dataset_mia_privacy_risk,0.5,0.0
1,orig,subpopulation_0.0_label_0.0_mia_privacy_risk,0.5053833263510683,0.012037483666054583
2,orig,subpopulation_0.0_label_1.0_mia_privacy_risk,0.5,0.0
3,orig,subpopulation_1.0_label_0.0_mia_privacy_risk,0.5124548271397773,0.01759505532607414
4,orig,subpopulation_1.0_label_1.0_mia_privacy_risk,0.5,0.0
5,transf,entire_dataset_mia_privacy_risk,0.5000801603206413,0.00017924392605209746
6,transf,subpopulation_0.0_label_0.0_mia_privacy_risk,0.5070800167574361,0.015831398751464765
7,transf,subpopulation_0.0_label_1.0_mia_privacy_risk,0.5,0.0
8,transf,subpopulation_1.0_label_0.0_mia_privacy_risk,0.5053394165330096,0.005036982985156672
9,transf,subpopulation_1.0_label_1.0_mia_privacy_risk,0.502609328991297,0.0038077903895112736
10,dir,entire_dataset_mia_privacy_risk,0.5,0.0
11,dir,subpopulation_0.0_label_0.0_mia_privacy_risk,0.5066820276497696,0.014941468052417922
12,dir,subpopulation_0.0_label_1.0_mia_privacy_risk,0.5,0.0
13,dir,subpopulation_1.0_label_0.0_mia_privacy_risk,0.5112163723513224,0.009432067886431006
14,dir,subpopulation_1.0_label_1.0_mia_privacy_risk,0.5,0.0
15,rew,entire_dataset_mia_privacy_risk,0.5,0.0
16,rew,subpopulation_0.0_label_0.0_mia_privacy_risk,0.5053833263510683,0.012037483666054583
17,rew,subpopulation_0.0_label_1.0_mia_privacy_risk,0.5,0.0
18,rew,subpopulation_1.0_label_0.0_mia_privacy_risk,0.5124548271397773,0.01759505532607414
19,rew,subpopulation_1.0_label_1.0_mia_privacy_risk,0.5,0.0
20,eg,entire_dataset_mia_privacy_risk,0.5038877755511022,0.005174843854614648
21,eg,subpopulation_0.0_label_0.0_mia_privacy_risk,0.5269823355668831,0.022915621072377452
22,eg,subpopulation_0.0_label_1.0_mia_privacy_risk,0.5018193069306931,0.004068093968966217
23,eg,subpopulation_1.0_label_0.0_mia_privacy_risk,0.514751184818607,0.008835624847604388
24,eg,subpopulation_1.0_label_1.0_mia_privacy_risk,0.5006078505593492,0.0015723081796669301
