,Method,Metric,Mean,Error
0,orig,bal_acc,0.7168726612237156,0.007809794803111533
1,orig,disp_imp,0.6724545961135019,0.01250738919741606
2,orig,avg_odds_diff,0.4076218261383002,0.013607755133793982
3,orig,stat_par_diff,0.5363385877207507,0.01701920192669155
4,orig,eq_opp_diff,0.2922132184978065,0.01760865610755068
5,orig,theil_ind,0.09312717132163055,0.0018015524621949402
6,orig,unpriv_fpr,0.7371552018554018,0.02267777752035845
7,orig,unpriv_fnr,0.08068125451942969,0.0202828715592027
8,orig,priv_fpr,0.2141247680766078,0.009720700774538434
9,orig,priv_fnr,0.3728944730172362,0.024494511783142665
10,transf,bal_acc,0.6063665034142167,0.019850949353224994
11,transf,disp_imp,0.22846790684372503,0.17960151414951556
12,transf,avg_odds_diff,0.024737799234271517,0.048355732685112014
13,transf,stat_par_diff,0.0675177272693428,0.05794335675543036
14,transf,eq_opp_diff,0.031642475498765366,0.035054550136713804
15,transf,theil_ind,0.12150473125698694,0.010834468679284332
16,transf,unpriv_fpr,0.22585913187360968,0.1110796061036202
17,transf,unpriv_fnr,0.5514118656473069,0.11300377969272302
18,transf,priv_fpr,0.208026008903832,0.1020540106351499
19,transf,priv_fnr,0.5830543411460722,0.13262292070983808
20,dir,bal_acc,0.6714516881255486,0.04487933322492787
21,dir,disp_imp,0.6625878169964265,0.12069347256287703
22,dir,avg_odds_diff,0.42525271402992565,0.14400177026769595
23,dir,stat_par_diff,0.5216366223347574,0.17211858915927217
24,dir,eq_opp_diff,0.3419552421460813,0.11671458754439966
25,dir,theil_ind,0.10569897897279538,0.011840107441175016
26,dir,unpriv_fpr,0.7157158555163806,0.15220617927734614
27,dir,unpriv_fnr,0.13690648914736275,0.1663332372433511
28,dir,priv_fpr,0.20716566960261074,0.02518702522348248
29,dir,priv_fnr,0.4788617312934441,0.058844340718501996
30,rew,bal_acc,0.7168726612237156,0.007809794803111533
31,rew,disp_imp,0.6724545961135019,0.01250738919741606
32,rew,avg_odds_diff,0.4076218261383002,0.013607755133793982
33,rew,stat_par_diff,0.5363385877207507,0.01701920192669155
34,rew,eq_opp_diff,0.2922132184978065,0.01760865610755068
35,rew,theil_ind,0.09312717132163055,0.0018015524621949402
36,rew,unpriv_fpr,0.7371552018554018,0.02267777752035845
37,rew,unpriv_fnr,0.08068125451942969,0.0202828715592027
38,rew,priv_fpr,0.2141247680766078,0.009720700774538434
39,rew,priv_fnr,0.3728944730172362,0.024494511783142665
40,eg,bal_acc,0.5136917262817937,0.0076621611649850445
41,eg,disp_imp,0.8721932773119363,0.029820478792324728
42,eg,avg_odds_diff,0.030802176057442083,0.018238158163295798
43,eg,stat_par_diff,0.030027970327537633,0.017141113311555146
44,eg,eq_opp_diff,0.04677022186942341,0.028154211578820487
45,eg,theil_ind,0.13165248094035048,0.0026249402809716306
46,eg,unpriv_fpr,0.016438036925761974,0.009605327442720574
47,eg,unpriv_fnr,0.9305900439141332,0.03958263494360479
48,eg,priv_fpr,0.0016039066803012168,0.0008568258769003156
49,eg,priv_fnr,0.9773602657835567,0.012421893151175705
