,Method,Metric,Mean,Error
0,orig,bal_acc,0.718185662383712,0.015552589555713425
1,orig,disp_imp,0.6722877526617227,0.022883698758867147
2,orig,avg_odds_diff,0.4105386521704733,0.03500944540333251
3,orig,stat_par_diff,0.5434172986132491,0.03304019785900184
4,orig,eq_opp_diff,0.28336606664854364,0.04687097159528173
5,orig,theil_ind,0.09280005057030281,0.004568737881910673
6,orig,unpriv_fpr,0.7542394686599266,0.03921895678316541
7,orig,unpriv_fnr,0.08166395275807162,0.023522400757315196
8,orig,priv_fpr,0.21652823096752347,0.01438861416027091
9,orig,priv_fnr,0.3650300194066154,0.04785450915404696
10,transf,bal_acc,0.6062685149667897,0.01765669116812653
11,transf,disp_imp,0.18458802701236726,0.1373361699143159
12,transf,avg_odds_diff,-0.010179268491056279,0.05529132577153175
13,transf,stat_par_diff,0.03529936518531838,0.05645090298273837
14,transf,eq_opp_diff,-0.010811871044303464,0.06479696511102921
15,transf,theil_ind,0.12341768293772755,0.006581091347857298
16,transf,unpriv_fpr,0.19019507786341347,0.06010711890443384
17,transf,unpriv_fnr,0.5972889138527032,0.06926783219501947
18,transf,priv_fpr,0.1997417438012226,0.059854419409217915
19,transf,priv_fnr,0.5864770428083996,0.07106437609799368
20,dir,bal_acc,0.6591837727650439,0.0396630004178074
21,dir,disp_imp,0.6550556158207835,0.07811691454132726
22,dir,avg_odds_diff,0.40038716108045624,0.11130702717634554
23,dir,stat_par_diff,0.4850998706122921,0.13845231899504182
24,dir,eq_opp_diff,0.33368700165427323,0.08123336680235056
25,dir,theil_ind,0.10847767855947674,0.010816504028193756
26,dir,unpriv_fpr,0.6794479510183409,0.15976526490106113
27,dir,unpriv_fnr,0.16401582113070284,0.14985265177470994
28,dir,priv_fpr,0.21236063051170154,0.04613673446265569
29,dir,priv_fnr,0.49770282278497613,0.09217903347141071
30,rew,bal_acc,0.718185662383712,0.015552589555713425
31,rew,disp_imp,0.6722877526617227,0.022883698758867147
32,rew,avg_odds_diff,0.4105386521704733,0.03500944540333251
33,rew,stat_par_diff,0.5434172986132491,0.03304019785900184
34,rew,eq_opp_diff,0.28336606664854364,0.04687097159528173
35,rew,theil_ind,0.09280005057030281,0.004568737881910673
36,rew,unpriv_fpr,0.7542394686599266,0.03921895678316541
37,rew,unpriv_fnr,0.08166395275807162,0.023522400757315196
38,rew,priv_fpr,0.21652823096752347,0.01438861416027091
39,rew,priv_fnr,0.3650300194066154,0.04785450915404696
40,eg,bal_acc,0.5172133135660744,0.00664701931238197
41,eg,disp_imp,0.8275260204940151,0.08007305180489227
42,eg,avg_odds_diff,0.028274916242145936,0.0175797943571514
43,eg,stat_par_diff,0.03056292716783269,0.015390199087642083
44,eg,eq_opp_diff,0.03981674803766365,0.02934283173321441
45,eg,theil_ind,0.13117915738744043,0.002470295057372693
46,eg,unpriv_fpr,0.018774512611657378,0.00921423656383325
47,eg,unpriv_fnr,0.9288442476041716,0.03635482315138344
48,eg,priv_fpr,0.002041428165029141,0.0008801930717900039
49,eg,priv_fnr,0.9686609956418353,0.011795858888236041
