,Method,Metric,Mean Privacy Risk,Error
0,orig,entire_dataset_mia_privacy_risk,0.5046505517603783,0.0015736503940395653
1,orig,entire_dataset_label_0.0_mia_privacy_risk,0.5053429745357501,0.0028937989813589277
2,orig,entire_dataset_label_1.0_mia_privacy_risk,0.5134580226599379,0.007451604177169522
3,orig,subpopulation_0.0_label_0.0_mia_privacy_risk,0.5177810711646987,0.009857802375271276
4,orig,subpopulation_0.0_label_1.0_mia_privacy_risk,0.5243515701168333,0.014734695389541369
5,orig,subpopulation_1.0_label_0.0_mia_privacy_risk,0.5056259365562672,0.0030613451484168977
6,orig,subpopulation_1.0_label_1.0_mia_privacy_risk,0.5138183236419872,0.004022076600801309
7,transf,entire_dataset_mia_privacy_risk,0.504913294797688,0.001296066755136924
8,transf,entire_dataset_label_0.0_mia_privacy_risk,0.5057053887927772,0.0021564383036934342
9,transf,entire_dataset_label_1.0_mia_privacy_risk,0.5175735711824921,0.008049106975835307
10,transf,subpopulation_0.0_label_0.0_mia_privacy_risk,0.5344771053915396,0.00622309418666193
11,transf,subpopulation_0.0_label_1.0_mia_privacy_risk,0.535504036427984,0.012830081053411818
12,transf,subpopulation_1.0_label_0.0_mia_privacy_risk,0.5047179135934314,0.0023728092818516705
13,transf,subpopulation_1.0_label_1.0_mia_privacy_risk,0.5165925527727042,0.008255871473923228
14,dir,entire_dataset_mia_privacy_risk,0.5646939043615344,0.13458275625764074
15,dir,entire_dataset_label_0.0_mia_privacy_risk,0.574392548935779,0.15399039978278597
16,dir,entire_dataset_label_1.0_mia_privacy_risk,0.5117898424623128,0.00616205429241778
17,dir,subpopulation_0.0_label_0.0_mia_privacy_risk,0.5513692432214661,0.07316402049456393
18,dir,subpopulation_0.0_label_1.0_mia_privacy_risk,0.5239291489565188,0.012878144620008013
19,dir,subpopulation_1.0_label_0.0_mia_privacy_risk,0.5768986327077769,0.1587284235899676
20,dir,subpopulation_1.0_label_1.0_mia_privacy_risk,0.512298260286381,0.008834233876040246
21,rew,entire_dataset_mia_privacy_risk,0.5046505517603783,0.0015736503940395653
22,rew,entire_dataset_label_0.0_mia_privacy_risk,0.5053429745357501,0.0028937989813589277
23,rew,entire_dataset_label_1.0_mia_privacy_risk,0.5134580226599379,0.007451604177169522
24,rew,subpopulation_0.0_label_0.0_mia_privacy_risk,0.5177810711646987,0.009857802375271276
25,rew,subpopulation_0.0_label_1.0_mia_privacy_risk,0.5243515701168333,0.014734695389541369
26,rew,subpopulation_1.0_label_0.0_mia_privacy_risk,0.5056259365562672,0.0030613451484168977
27,rew,subpopulation_1.0_label_1.0_mia_privacy_risk,0.5138183236419872,0.004022076600801309
28,eg,entire_dataset_mia_privacy_risk,0.5028113504992117,0.001201034966168084
29,eg,entire_dataset_label_0.0_mia_privacy_risk,0.5032952243479302,0.0020589242039312106
30,eg,entire_dataset_label_1.0_mia_privacy_risk,0.5154821144338804,0.0019095573018632047
31,eg,subpopulation_0.0_label_0.0_mia_privacy_risk,0.5218043311392275,0.015062940193296544
32,eg,subpopulation_0.0_label_1.0_mia_privacy_risk,0.5166734434536256,0.006646406000699952
33,eg,subpopulation_1.0_label_0.0_mia_privacy_risk,0.5033952957023151,0.0017936657695784757
34,eg,subpopulation_1.0_label_1.0_mia_privacy_risk,0.5174451989819836,0.0027995867748939946
