,Method,Metric,Mean Privacy Risk,Error
0,orig,entire_dataset_mia_privacy_risk,0.5048081975827641,0.0020476686067874804
1,orig,entire_dataset_label_0.0_mia_privacy_risk,0.5053520796054637,0.00262813255450628
2,orig,entire_dataset_label_1.0_mia_privacy_risk,0.5152979259881245,0.006068611209194235
3,orig,subpopulation_0.0_label_0.0_mia_privacy_risk,0.5216478978466941,0.01046752558677227
4,orig,subpopulation_0.0_label_1.0_mia_privacy_risk,0.5319326722003697,0.013942163091835156
5,orig,subpopulation_1.0_label_0.0_mia_privacy_risk,0.5052366762834096,0.0025236382776608226
6,orig,subpopulation_1.0_label_1.0_mia_privacy_risk,0.51457482463533,0.005385336922492905
7,transf,entire_dataset_mia_privacy_risk,0.5042925643720442,0.0017972399318474277
8,transf,entire_dataset_label_0.0_mia_privacy_risk,0.5046161351665228,0.0020548701551959276
9,transf,entire_dataset_label_1.0_mia_privacy_risk,0.5164021907354766,0.005995010906112884
10,transf,subpopulation_0.0_label_0.0_mia_privacy_risk,0.5325430979623476,0.011814748408202083
11,transf,subpopulation_0.0_label_1.0_mia_privacy_risk,0.5351648601461615,0.013894920010754602
12,transf,subpopulation_1.0_label_0.0_mia_privacy_risk,0.5038192744744385,0.0018682289932132926
13,transf,subpopulation_1.0_label_1.0_mia_privacy_risk,0.5145049626353163,0.006167282306150736
14,dir,entire_dataset_mia_privacy_risk,0.6059314240672622,0.1308234890793503
15,dir,entire_dataset_label_0.0_mia_privacy_risk,0.6212439144603864,0.1497702881701678
16,dir,entire_dataset_label_1.0_mia_privacy_risk,0.5109118514369192,0.008322409191877102
17,dir,subpopulation_0.0_label_0.0_mia_privacy_risk,0.5650316884697906,0.0641273800449817
18,dir,subpopulation_0.0_label_1.0_mia_privacy_risk,0.5258841977802282,0.019531184558848842
19,dir,subpopulation_1.0_label_0.0_mia_privacy_risk,0.6251919254707461,0.15505949447916975
20,dir,subpopulation_1.0_label_1.0_mia_privacy_risk,0.5102291310572975,0.008221413024603372
21,rew,entire_dataset_mia_privacy_risk,0.5048081975827641,0.0020476686067874804
22,rew,entire_dataset_label_0.0_mia_privacy_risk,0.5053520796054637,0.00262813255450628
23,rew,entire_dataset_label_1.0_mia_privacy_risk,0.5152979259881245,0.006068611209194235
24,rew,subpopulation_0.0_label_0.0_mia_privacy_risk,0.5216478978466941,0.01046752558677227
25,rew,subpopulation_0.0_label_1.0_mia_privacy_risk,0.5319326722003697,0.013942163091835156
26,rew,subpopulation_1.0_label_0.0_mia_privacy_risk,0.5052366762834096,0.0025236382776608226
27,rew,subpopulation_1.0_label_1.0_mia_privacy_risk,0.51457482463533,0.005385336922492905
28,eg,entire_dataset_mia_privacy_risk,0.5030264713610089,0.0015010186971458376
29,eg,entire_dataset_label_0.0_mia_privacy_risk,0.5031024280917222,0.0018278577448015555
30,eg,entire_dataset_label_1.0_mia_privacy_risk,0.5148664616716374,0.004156735755855555
31,eg,subpopulation_0.0_label_0.0_mia_privacy_risk,0.5258550298974016,0.01101093388899609
32,eg,subpopulation_0.0_label_1.0_mia_privacy_risk,0.5186847969785362,0.01029070760803976
33,eg,subpopulation_1.0_label_0.0_mia_privacy_risk,0.5031206069423163,0.0020050792659172937
34,eg,subpopulation_1.0_label_1.0_mia_privacy_risk,0.5166137283927763,0.005182599733480031
