,Method,Metric,Mean,Error
0,orig,bal_acc,0.6035560604382123,0.012535745022187085
1,orig,disp_imp,0.5311703954076589,0.15060350990684307
2,orig,avg_odds_diff,0.2918176719650589,0.09696894894499682
3,orig,stat_par_diff,0.3037825168097959,0.09561265934131036
4,orig,eq_opp_diff,0.3284124711352159,0.10149495067452678
5,orig,theil_ind,0.26361603204971884,0.03618477138166528
6,orig,unpriv_fpr,0.47414484527404727,0.08514870924495252
7,orig,unpriv_fnr,0.31920206438421367,0.06799969335691569
8,orig,priv_fpr,0.2189219724791455,0.09694730448187178
9,orig,priv_fnr,0.6476145355194296,0.11388492413921111
10,transf,bal_acc,0.6035560604382123,0.012535745022187085
11,transf,disp_imp,0.5311703954076589,0.15060350990684307
12,transf,avg_odds_diff,0.2918176719650589,0.09696894894499682
13,transf,stat_par_diff,0.3037825168097959,0.09561265934131036
14,transf,eq_opp_diff,0.3284124711352159,0.10149495067452678
15,transf,theil_ind,0.26361603204971884,0.03618477138166528
16,transf,unpriv_fpr,0.47414484527404727,0.08514870924495252
17,transf,unpriv_fnr,0.31920206438421367,0.06799969335691569
18,transf,priv_fpr,0.2189219724791455,0.09694730448187178
19,transf,priv_fnr,0.6476145355194296,0.11388492413921111
20,dir,bal_acc,0.5980154205623024,0.012184651566308227
21,dir,disp_imp,0.4993192522978254,0.18497263964038116
22,dir,avg_odds_diff,0.28441494043136334,0.12034730575423429
23,dir,stat_par_diff,0.29657964159868133,0.1195061283231488
24,dir,eq_opp_diff,0.3125347930940042,0.12377183203976881
25,dir,theil_ind,0.2583848402935153,0.030217918244278868
26,dir,unpriv_fpr,0.4967359046617205,0.08613736053496229
27,dir,unpriv_fnr,0.3130208598416697,0.06533018733104423
28,dir,priv_fpr,0.24044081689299807,0.10031809351884899
29,dir,priv_fnr,0.625555652935674,0.11332008247755723
30,rew,bal_acc,0.6035560604382123,0.012535745022187085
31,rew,disp_imp,0.5311703954076589,0.15060350990684307
32,rew,avg_odds_diff,0.2918176719650589,0.09696894894499682
33,rew,stat_par_diff,0.3037825168097959,0.09561265934131036
34,rew,eq_opp_diff,0.3284124711352159,0.10149495067452678
35,rew,theil_ind,0.26361603204971884,0.03618477138166528
36,rew,unpriv_fpr,0.47414484527404727,0.08514870924495252
37,rew,unpriv_fnr,0.31920206438421367,0.06799969335691569
38,rew,priv_fpr,0.2189219724791455,0.09694730448187178
39,rew,priv_fnr,0.6476145355194296,0.11388492413921111
40,eg,bal_acc,0.5027087474201448,0.012113886730641527
41,eg,disp_imp,0.49719133602922894,0.1637530015535827
42,eg,avg_odds_diff,0.004501785245921326,0.02013259565997139
43,eg,stat_par_diff,0.0048396318374386085,0.02164349154916988
44,eg,eq_opp_diff,0.005459895379250218,0.024417394436080965
45,eg,theil_ind,0.596004398258063,0.03810644051686614
46,eg,unpriv_fpr,0.009255725190839694,0.04139286141554954
47,eg,unpriv_fnr,0.9850806451612903,0.06672138319959049
48,eg,priv_fpr,0.005712050078247261,0.025545064531687738
49,eg,priv_fnr,0.9905405405405405,0.04230398876350953
