,Method,Metric,Mean,Error
0,orig,bal_acc,0.601832266916019,0.010018364853555527
1,orig,disp_imp,0.6273390405454002,0.24308754322463444
2,orig,avg_odds_diff,0.32770805259514757,0.1281012471894444
3,orig,stat_par_diff,0.33654980340355034,0.12157766284944228
4,orig,eq_opp_diff,0.3820082967059192,0.1537078128909899
5,orig,theil_ind,0.2580110369048639,0.04026020877323874
6,orig,unpriv_fpr,0.45260544402762604,0.08286810787141875
7,orig,unpriv_fnr,0.34895578731759735,0.07528597467306519
8,orig,priv_fpr,0.17919763554324988,0.1332335797287012
9,orig,priv_fnr,0.7309640840235165,0.178831530304318
10,transf,bal_acc,0.601832266916019,0.010018364853555527
11,transf,disp_imp,0.6273390405454002,0.24308754322463444
12,transf,avg_odds_diff,0.32770805259514757,0.1281012471894444
13,transf,stat_par_diff,0.33654980340355034,0.12157766284944228
14,transf,eq_opp_diff,0.3820082967059192,0.1537078128909899
15,transf,theil_ind,0.2580110369048639,0.04026020877323874
16,transf,unpriv_fpr,0.45260544402762604,0.08286810787141875
17,transf,unpriv_fnr,0.34895578731759735,0.07528597467306519
18,transf,priv_fpr,0.17919763554324988,0.1332335797287012
19,transf,priv_fnr,0.7309640840235165,0.178831530304318
20,dir,bal_acc,0.5950449784139198,0.009979412311675224
21,dir,disp_imp,0.6980215113327228,0.22411745025958688
22,dir,avg_odds_diff,0.35995146792513744,0.12235344676029351
23,dir,stat_par_diff,0.36807224583217124,0.11406168659806531
24,dir,eq_opp_diff,0.4093392406147191,0.1534858040420857
25,dir,theil_ind,0.26914619934251605,0.0516852521138586
26,dir,unpriv_fpr,0.45444413892026025,0.11097924198278893
27,dir,unpriv_fnr,0.3648719118005555,0.09917217946057513
28,dir,priv_fpr,0.14388044368470443,0.12547737921642912
29,dir,priv_fnr,0.7742111524152747,0.18252244050947328
30,rew,bal_acc,0.601832266916019,0.010018364853555527
31,rew,disp_imp,0.6273390405454002,0.24308754322463444
32,rew,avg_odds_diff,0.32770805259514757,0.1281012471894444
33,rew,stat_par_diff,0.33654980340355034,0.12157766284944228
34,rew,eq_opp_diff,0.3820082967059192,0.1537078128909899
35,rew,theil_ind,0.2580110369048639,0.04026020877323874
36,rew,unpriv_fpr,0.45260544402762604,0.08286810787141875
37,rew,unpriv_fnr,0.34895578731759735,0.07528597467306519
38,rew,priv_fpr,0.17919763554324988,0.1332335797287012
39,rew,priv_fnr,0.7309640840235165,0.178831530304318
40,eg,bal_acc,0.5053134828170704,0.023762617552493225
41,eg,disp_imp,0.512707552942203,0.19689362273245503
42,eg,avg_odds_diff,0.019880115926127477,0.08890658122279446
43,eg,stat_par_diff,0.01953576466615469,0.08736659557192075
44,eg,eq_opp_diff,0.025243456555748917,0.11289216969143458
45,eg,theil_ind,0.5914626479042813,0.06323958129534778
46,eg,unpriv_fpr,0.014771877337322364,0.06606184376308279
47,eg,unpriv_fnr,0.9742463393626185,0.1151738717092915
48,eg,priv_fpr,0.0002551020408163265,0.001140851008928464
49,eg,priv_fnr,0.9994897959183675,0.002281702017856931
