,Method,Metric,Mean Privacy Risk,Error
0,orig,entire_dataset_mia_privacy_risk,0.50649708360337,0.003327903454169221
1,orig,entire_dataset_label_0.0_mia_privacy_risk,0.5084773427961293,0.0038064295213211473
2,orig,entire_dataset_label_1.0_mia_privacy_risk,0.5105075559479544,0.006339781723206051
3,orig,subpopulation_0.0_label_0.0_mia_privacy_risk,0.5103495610990101,0.00465247224484656
4,orig,subpopulation_0.0_label_1.0_mia_privacy_risk,0.5107676908988686,0.007845174167866117
5,orig,subpopulation_1.0_label_0.0_mia_privacy_risk,0.5105304084290097,0.008159433236390254
6,orig,subpopulation_1.0_label_1.0_mia_privacy_risk,0.5195109319935637,0.011271883865890144
7,transf,entire_dataset_mia_privacy_risk,0.50649708360337,0.003327903454169221
8,transf,entire_dataset_label_0.0_mia_privacy_risk,0.5084773427961293,0.0038064295213211473
9,transf,entire_dataset_label_1.0_mia_privacy_risk,0.5105075559479544,0.006339781723206051
10,transf,subpopulation_0.0_label_0.0_mia_privacy_risk,0.5103495610990101,0.00465247224484656
11,transf,subpopulation_0.0_label_1.0_mia_privacy_risk,0.5107676908988686,0.007845174167866117
12,transf,subpopulation_1.0_label_0.0_mia_privacy_risk,0.5105304084290097,0.008159433236390254
13,transf,subpopulation_1.0_label_1.0_mia_privacy_risk,0.5195109319935637,0.011271883865890144
14,dir,entire_dataset_mia_privacy_risk,0.5097051198963058,0.004305642222021657
15,dir,entire_dataset_label_0.0_mia_privacy_risk,0.5124974826482498,0.007009934131065379
16,dir,entire_dataset_label_1.0_mia_privacy_risk,0.5134544239445464,0.00901281264091166
17,dir,subpopulation_0.0_label_0.0_mia_privacy_risk,0.5152263397476295,0.008718249298847654
18,dir,subpopulation_0.0_label_1.0_mia_privacy_risk,0.5145034142949845,0.010851748028886965
19,dir,subpopulation_1.0_label_0.0_mia_privacy_risk,0.515264971213109,0.013184622556265872
20,dir,subpopulation_1.0_label_1.0_mia_privacy_risk,0.5232575813631245,0.016468862994703435
21,rew,entire_dataset_mia_privacy_risk,0.50649708360337,0.003327903454169221
22,rew,entire_dataset_label_0.0_mia_privacy_risk,0.5084773427961293,0.0038064295213211473
23,rew,entire_dataset_label_1.0_mia_privacy_risk,0.5105075559479544,0.006339781723206051
24,rew,subpopulation_0.0_label_0.0_mia_privacy_risk,0.5103495610990101,0.00465247224484656
25,rew,subpopulation_0.0_label_1.0_mia_privacy_risk,0.5107676908988686,0.007845174167866117
26,rew,subpopulation_1.0_label_0.0_mia_privacy_risk,0.5105304084290097,0.008159433236390254
27,rew,subpopulation_1.0_label_1.0_mia_privacy_risk,0.5195109319935637,0.011271883865890144
28,eg,entire_dataset_mia_privacy_risk,0.5061649384316268,0.0034997371479277483
29,eg,entire_dataset_label_0.0_mia_privacy_risk,0.5075756763817536,0.004129159494333802
30,eg,entire_dataset_label_1.0_mia_privacy_risk,0.5110623451565262,0.006345146371459897
31,eg,subpopulation_0.0_label_0.0_mia_privacy_risk,0.5106890362573344,0.004771989103770811
32,eg,subpopulation_0.0_label_1.0_mia_privacy_risk,0.5104418670163847,0.007936396325455779
33,eg,subpopulation_1.0_label_0.0_mia_privacy_risk,0.511973010354593,0.01026108047232723
34,eg,subpopulation_1.0_label_1.0_mia_privacy_risk,0.5256892858454714,0.008605062303745163
