,Method,Metric,Mean,Error
0,orig,bal_acc,0.5477096883081114,0.02035550330697873
1,orig,disp_imp,0.09681855467578977,0.08478836757003493
2,orig,avg_odds_diff,-0.03472134073807187,0.058854214292036924
3,orig,stat_par_diff,-0.058258614338092894,0.06162483609192225
4,orig,eq_opp_diff,-0.07429048830419274,0.0793572002920094
5,orig,theil_ind,0.3042920857974718,0.07867456389991832
6,orig,unpriv_fpr,0.5937811282347149,0.1360693635452312
7,orig,unpriv_fnr,0.37573893317867774,0.12181304102834456
8,orig,priv_fpr,0.5889333214066659,0.12499410808098531
9,orig,priv_fnr,0.3014484448744849,0.09548562332449162
10,transf,bal_acc,0.5460823415654976,0.025882297052741324
11,transf,disp_imp,0.0874289757501981,0.06830606054167863
12,transf,avg_odds_diff,-0.009946753091607623,0.06766447645258077
13,transf,stat_par_diff,-0.03172870893721112,0.06785334027914272
14,transf,eq_opp_diff,-0.03961830927216182,0.08726950163124976
15,transf,theil_ind,0.2677662542663216,0.10340443385964032
16,transf,unpriv_fpr,0.6526695929278202,0.15588759574577957
17,transf,unpriv_fnr,0.3021934417494845,0.162386414957321
18,transf,priv_fpr,0.6329447898388738,0.16983055507786932
19,transf,priv_fnr,0.26257513247732267,0.12394602892647655
20,dir,bal_acc,0.5407957192713466,0.016979528523095234
21,dir,disp_imp,0.09272212851535136,0.08117044640286306
22,dir,avg_odds_diff,-0.03695994937422598,0.06390516244373413
23,dir,stat_par_diff,-0.05930418865029161,0.06250005756253812
24,dir,eq_opp_diff,-0.08022492558901269,0.07019704259973435
25,dir,theil_ind,0.27994737135890246,0.08596723191702342
26,dir,unpriv_fpr,0.6387902826998564,0.11679292589170982
27,dir,unpriv_fnr,0.35132353907560765,0.11195768435551298
28,dir,priv_fpr,0.6324852558592956,0.10244615486570567
29,dir,priv_fnr,0.2710986134865949,0.09964086676169367
30,rew,bal_acc,0.5477096883081114,0.02035550330697873
31,rew,disp_imp,0.09681855467578977,0.08478836757003493
32,rew,avg_odds_diff,-0.03472134073807187,0.058854214292036924
33,rew,stat_par_diff,-0.058258614338092894,0.06162483609192225
34,rew,eq_opp_diff,-0.07429048830419274,0.0793572002920094
35,rew,theil_ind,0.3042920857974718,0.07867456389991832
36,rew,unpriv_fpr,0.5937811282347149,0.1360693635452312
37,rew,unpriv_fnr,0.37573893317867774,0.12181304102834456
38,rew,priv_fpr,0.5889333214066659,0.12499410808098531
39,rew,priv_fnr,0.3014484448744849,0.09548562332449162
40,eg,bal_acc,0.5292579381889864,0.016268422909415672
41,eg,disp_imp,0.06160172198237664,0.04976496889871554
42,eg,avg_odds_diff,-0.005266598942421733,0.058358895916851096
43,eg,stat_par_diff,-0.01715409336746951,0.055088594086945795
44,eg,eq_opp_diff,-0.016655124354243885,0.07683709011937796
45,eg,theil_ind,0.3058502513236249,0.07064655868802776
46,eg,unpriv_fpr,0.6310428462532036,0.09792670584792666
47,eg,unpriv_fnr,0.3281410035689255,0.10373205612317601
48,eg,priv_fpr,0.6249209197838033,0.09992261977316422
49,eg,priv_fnr,0.3114858792146818,0.07787845967153585
