,Method,Metric,Mean Privacy Risk,Error
0,orig,entire_dataset_mia_privacy_risk,0.5414,0.011113765764747967
1,orig,entire_dataset_label_0.0_mia_privacy_risk,0.5616788223564136,0.025617316662356365
2,orig,entire_dataset_label_1.0_mia_privacy_risk,0.548344436014452,0.016214422643892265
3,orig,subpopulation_0.0_label_0.0_mia_privacy_risk,0.5877964290629981,0.03329216099605104
4,orig,subpopulation_0.0_label_1.0_mia_privacy_risk,0.570108585450524,0.03433793698482515
5,orig,subpopulation_1.0_label_0.0_mia_privacy_risk,0.560545499800476,0.029299708752700233
6,orig,subpopulation_1.0_label_1.0_mia_privacy_risk,0.547710849390963,0.017532916615972515
7,transf,entire_dataset_mia_privacy_risk,0.54335,0.014202575748600552
8,transf,entire_dataset_label_0.0_mia_privacy_risk,0.5501698501423868,0.02542218052077707
9,transf,entire_dataset_label_1.0_mia_privacy_risk,0.5482968671255697,0.01524173994284033
10,transf,subpopulation_0.0_label_0.0_mia_privacy_risk,0.5712307612023314,0.0525006264669307
11,transf,subpopulation_0.0_label_1.0_mia_privacy_risk,0.5796466571427918,0.03158212108916018
12,transf,subpopulation_1.0_label_0.0_mia_privacy_risk,0.5521200685491314,0.022541534163434872
13,transf,subpopulation_1.0_label_1.0_mia_privacy_risk,0.5474178751891018,0.01527364320874871
14,dir,entire_dataset_mia_privacy_risk,0.5485,0.011413288653790231
15,dir,entire_dataset_label_0.0_mia_privacy_risk,0.551232578436937,0.012566314147210688
16,dir,entire_dataset_label_1.0_mia_privacy_risk,0.5573525769910481,0.01878945270262267
17,dir,subpopulation_0.0_label_0.0_mia_privacy_risk,0.5856810322996127,0.03725369104894121
18,dir,subpopulation_0.0_label_1.0_mia_privacy_risk,0.5808902101024758,0.047142094851869834
19,dir,subpopulation_1.0_label_0.0_mia_privacy_risk,0.5529002407681093,0.018428715212358768
20,dir,subpopulation_1.0_label_1.0_mia_privacy_risk,0.5572435367193027,0.019487345780567305
21,rew,entire_dataset_mia_privacy_risk,0.5414,0.011113765764747967
22,rew,entire_dataset_label_0.0_mia_privacy_risk,0.5616788223564136,0.025617316662356365
23,rew,entire_dataset_label_1.0_mia_privacy_risk,0.548344436014452,0.016214422643892265
24,rew,subpopulation_0.0_label_0.0_mia_privacy_risk,0.5877964290629981,0.03329216099605104
25,rew,subpopulation_0.0_label_1.0_mia_privacy_risk,0.570108585450524,0.03433793698482515
26,rew,subpopulation_1.0_label_0.0_mia_privacy_risk,0.560545499800476,0.029299708752700233
27,rew,subpopulation_1.0_label_1.0_mia_privacy_risk,0.547710849390963,0.017532916615972515
28,eg,entire_dataset_mia_privacy_risk,0.5378000000000001,0.015378043130590947
29,eg,entire_dataset_label_0.0_mia_privacy_risk,0.55182594855985,0.03008072232941724
30,eg,entire_dataset_label_1.0_mia_privacy_risk,0.5444436783793289,0.021155451509491524
31,eg,subpopulation_0.0_label_0.0_mia_privacy_risk,0.5829830651247082,0.042860427702680844
32,eg,subpopulation_0.0_label_1.0_mia_privacy_risk,0.5859767868215812,0.03640530238892919
33,eg,subpopulation_1.0_label_0.0_mia_privacy_risk,0.5568507031605879,0.03241027323170825
34,eg,subpopulation_1.0_label_1.0_mia_privacy_risk,0.5445848193117158,0.021379181249264093
