,Method,Metric,Mean,Error
0,orig,bal_acc,0.5462734390312064,0.020600248232938958
1,orig,disp_imp,0.0708030096994347,0.04975315975269554
2,orig,avg_odds_diff,-0.022037188956941605,0.057864893638237304
3,orig,stat_par_diff,-0.029662842998402234,0.05168400278267483
4,orig,eq_opp_diff,-0.024284546691238428,0.05827032424819508
5,orig,theil_ind,0.2790279681234308,0.09069143998177066
6,orig,unpriv_fpr,0.6092200142728352,0.1362887330684708
7,orig,unpriv_fnr,0.3024627695186286,0.12711712671472075
8,orig,priv_fpr,0.6290098454954799,0.14469534143483267
9,orig,priv_fnr,0.2781782228273902,0.1083171629338666
10,transf,bal_acc,0.5522763005436304,0.023809034316883696
11,transf,disp_imp,0.1004778294867004,0.05864025544176989
12,transf,avg_odds_diff,-0.03458529276000411,0.07347610450744751
13,transf,stat_par_diff,-0.04282568391065143,0.06625875052260136
14,transf,eq_opp_diff,-0.03502989731114369,0.06013860469488688
15,transf,theil_ind,0.2984447032479259,0.10286545082462006
16,transf,unpriv_fpr,0.5655777668439361,0.14175403724894312
17,transf,unpriv_fnr,0.33271452409598423,0.1299752670859299
18,transf,priv_fpr,0.5997184550528007,0.1470583141662203
19,transf,priv_fnr,0.29768462678484064,0.12539453763952024
20,dir,bal_acc,0.5452023619096722,0.021688291599165858
21,dir,disp_imp,0.08151607844269354,0.0606050293589566
22,dir,avg_odds_diff,-0.024907417621851252,0.06155588751476359
23,dir,stat_par_diff,-0.029852958332915513,0.05931367107768476
24,dir,eq_opp_diff,-0.01749678234769763,0.07443894113610484
25,dir,theil_ind,0.29628043395595016,0.07299969382341018
26,dir,unpriv_fpr,0.5806668459133899,0.15545864871140658
27,dir,unpriv_fnr,0.32007516922375084,0.10740062140380505
28,dir,priv_fpr,0.6129848988093949,0.09840076887670816
29,dir,priv_fnr,0.3025783868760532,0.08718031574594459
30,rew,bal_acc,0.5462734390312064,0.020600248232938958
31,rew,disp_imp,0.0708030096994347,0.04975315975269554
32,rew,avg_odds_diff,-0.022037188956941605,0.057864893638237304
33,rew,stat_par_diff,-0.029662842998402234,0.05168400278267483
34,rew,eq_opp_diff,-0.024284546691238428,0.05827032424819508
35,rew,theil_ind,0.2790279681234308,0.09069143998177066
36,rew,unpriv_fpr,0.6092200142728352,0.1362887330684708
37,rew,unpriv_fnr,0.3024627695186286,0.12711712671472075
38,rew,priv_fpr,0.6290098454954799,0.14469534143483267
39,rew,priv_fnr,0.2781782228273902,0.1083171629338666
40,eg,bal_acc,0.541054419972813,0.023914188015268
41,eg,disp_imp,0.07071723254762699,0.056584754574759775
42,eg,avg_odds_diff,-0.026853220093817198,0.05172036023081856
43,eg,stat_par_diff,-0.03198024391109607,0.05224255272695381
44,eg,eq_opp_diff,-0.02199863005818185,0.06654852289583195
45,eg,theil_ind,0.2949737807176567,0.09736115215681651
46,eg,unpriv_fpr,0.5946457665737688,0.13572930874443273
47,eg,unpriv_fnr,0.3187254613825888,0.11768500144601887
48,eg,priv_fpr,0.6263535767032211,0.13503823005472787
49,eg,priv_fnr,0.296726831324407,0.1174991248192217
