,Method,Metric,Mean Privacy Risk,Error
0,orig,entire_dataset_mia_privacy_risk,0.5417500000000001,0.010077985387649863
1,orig,entire_dataset_label_0.0_mia_privacy_risk,0.5486699245843163,0.022885691384039564
2,orig,entire_dataset_label_1.0_mia_privacy_risk,0.5426155950060054,0.014941972337682423
3,orig,subpopulation_0.0_label_0.0_mia_privacy_risk,0.5537925429936876,0.02486356747429537
4,orig,subpopulation_0.0_label_1.0_mia_privacy_risk,0.5514526830212911,0.026835863516382185
5,orig,subpopulation_1.0_label_0.0_mia_privacy_risk,0.559531461925958,0.02526457895047404
6,orig,subpopulation_1.0_label_1.0_mia_privacy_risk,0.5459926804306987,0.016385701261236923
7,transf,entire_dataset_mia_privacy_risk,0.54215,0.013600599831973354
8,transf,entire_dataset_label_0.0_mia_privacy_risk,0.5565827773239606,0.026166794089927843
9,transf,entire_dataset_label_1.0_mia_privacy_risk,0.5412425477666526,0.016363775665444422
10,transf,subpopulation_0.0_label_0.0_mia_privacy_risk,0.5615691124112352,0.0338462329052603
11,transf,subpopulation_0.0_label_1.0_mia_privacy_risk,0.5629104490104732,0.028434872681816287
12,transf,subpopulation_1.0_label_0.0_mia_privacy_risk,0.5623702820189582,0.022951691515281668
13,transf,subpopulation_1.0_label_1.0_mia_privacy_risk,0.5396895769155722,0.017260694779064886
14,dir,entire_dataset_mia_privacy_risk,0.54095,0.01666220115616244
15,dir,entire_dataset_label_0.0_mia_privacy_risk,0.5426960014044255,0.028641914440083772
16,dir,entire_dataset_label_1.0_mia_privacy_risk,0.5475278306773661,0.02502381743275795
17,dir,subpopulation_0.0_label_0.0_mia_privacy_risk,0.544680826289097,0.02906878836657981
18,dir,subpopulation_0.0_label_1.0_mia_privacy_risk,0.5603340626975774,0.0349933410303659
19,dir,subpopulation_1.0_label_0.0_mia_privacy_risk,0.5521093282518211,0.032442995256507824
20,dir,subpopulation_1.0_label_1.0_mia_privacy_risk,0.5491638674293182,0.0271383964977211
21,rew,entire_dataset_mia_privacy_risk,0.5417500000000001,0.010077985387649863
22,rew,entire_dataset_label_0.0_mia_privacy_risk,0.5486699245843163,0.022885691384039564
23,rew,entire_dataset_label_1.0_mia_privacy_risk,0.5426155950060054,0.014941972337682423
24,rew,subpopulation_0.0_label_0.0_mia_privacy_risk,0.5537925429936876,0.02486356747429537
25,rew,subpopulation_0.0_label_1.0_mia_privacy_risk,0.5514526830212911,0.026835863516382185
26,rew,subpopulation_1.0_label_0.0_mia_privacy_risk,0.559531461925958,0.02526457895047404
27,rew,subpopulation_1.0_label_1.0_mia_privacy_risk,0.5459926804306987,0.016385701261236923
28,eg,entire_dataset_mia_privacy_risk,0.5397500000000001,0.01390900881859629
29,eg,entire_dataset_label_0.0_mia_privacy_risk,0.5461474984307966,0.02132244633643041
30,eg,entire_dataset_label_1.0_mia_privacy_risk,0.5487819095465768,0.016341194737343096
31,eg,subpopulation_0.0_label_0.0_mia_privacy_risk,0.5510157017419512,0.026678960563660366
32,eg,subpopulation_0.0_label_1.0_mia_privacy_risk,0.5761354668362111,0.029599600153964546
33,eg,subpopulation_1.0_label_0.0_mia_privacy_risk,0.5632460616391289,0.027126903896938177
34,eg,subpopulation_1.0_label_1.0_mia_privacy_risk,0.5490304791944444,0.0180922838305153
