,Method,Metric,Mean,Error
0,orig,bal_acc,0.5170719061383515,0.013717723305491755
1,orig,disp_imp,0.6708340448135045,0.2613567162959317
2,orig,avg_odds_diff,-0.03760933539814259,0.03841538594949685
3,orig,stat_par_diff,-0.03342426713333001,0.03399926711905583
4,orig,eq_opp_diff,-0.04984810654386847,0.05047765966351336
5,orig,theil_ind,0.33849250665040065,0.016267262177771687
6,orig,unpriv_fpr,0.020128457101401865,0.02757746377472518
7,orig,unpriv_fnr,0.9607202371928707,0.055240722488771134
8,orig,priv_fpr,0.04549902135381859,0.04022997492977093
9,orig,priv_fnr,0.9108721306490024,0.070652323808399
10,transf,bal_acc,0.5254826143930853,0.017874890982532424
11,transf,disp_imp,0.6413890282352914,0.25348736349120454
12,transf,avg_odds_diff,0.1389596506668292,0.27060105047991334
13,transf,stat_par_diff,0.13271833202914904,0.2547025151173022
14,transf,eq_opp_diff,0.1511823697704128,0.3083506184220095
15,transf,theil_ind,0.3168807058097045,0.03594435080629653
16,transf,unpriv_fpr,0.1745459063513885,0.23769640965517896
17,transf,unpriv_fnr,0.7569039372269069,0.3133307483992804
18,transf,priv_fpr,0.04780897478814297,0.03939779326611374
19,transf,priv_fnr,0.9080863069973197,0.06689943103232869
20,dir,bal_acc,0.515333099515424,0.010868748731236631
21,dir,disp_imp,0.6180029842362716,0.31335563245140996
22,dir,avg_odds_diff,-0.028076338441959465,0.03003862129171151
23,dir,stat_par_diff,-0.024591792011126802,0.025246320733200985
24,dir,eq_opp_diff,-0.038408492821585774,0.04199190648173096
25,dir,theil_ind,0.3404926890825467,0.01268109178589828
26,dir,unpriv_fpr,0.02075829177074707,0.0269079679977437
27,dir,unpriv_fnr,0.9611468802893011,0.05330342043445864
28,dir,priv_fpr,0.03850247583308024,0.02634931906260672
29,dir,priv_fnr,0.9227383874677152,0.04883767945149737
30,rew,bal_acc,0.5170719061383515,0.013717723305491755
31,rew,disp_imp,0.6708340448135045,0.2613567162959317
32,rew,avg_odds_diff,-0.03760933539814259,0.03841538594949685
33,rew,stat_par_diff,-0.03342426713333001,0.03399926711905583
34,rew,eq_opp_diff,-0.04984810654386847,0.05047765966351336
35,rew,theil_ind,0.33849250665040065,0.016267262177771687
36,rew,unpriv_fpr,0.020128457101401865,0.02757746377472518
37,rew,unpriv_fnr,0.9607202371928707,0.055240722488771134
38,rew,priv_fpr,0.04549902135381859,0.04022997492977093
39,rew,priv_fnr,0.9108721306490024,0.070652323808399
40,eg,bal_acc,0.5,0.0
41,eg,disp_imp,0.5,0.16222142113076254
42,eg,avg_odds_diff,0.0,0.0
43,eg,stat_par_diff,0.0,0.0
44,eg,eq_opp_diff,0.0,0.0
45,eg,theil_ind,0.355942697332591,0.004400144655711242
46,eg,unpriv_fpr,0.0,0.0
47,eg,unpriv_fnr,1.0,0.0
48,eg,priv_fpr,0.0,0.0
49,eg,priv_fnr,1.0,0.0
