,Method,Metric,Mean Privacy Risk,Error
0,orig,entire_dataset_mia_privacy_risk,0.500995882194969,0.0015965816373713286
1,orig,entire_dataset_label_0.0_mia_privacy_risk,0.5005947993082073,0.0005830349079155699
2,orig,entire_dataset_label_1.0_mia_privacy_risk,0.5016387996152736,0.0023392295751194637
3,orig,subpopulation_0.0_label_0.0_mia_privacy_risk,0.5005193835918319,0.0005617529490399952
4,orig,subpopulation_0.0_label_1.0_mia_privacy_risk,0.5010825386339707,0.0013354474605287794
5,orig,subpopulation_1.0_label_0.0_mia_privacy_risk,0.5007785305195573,0.0009662397076461407
6,orig,subpopulation_1.0_label_1.0_mia_privacy_risk,0.5026045438401778,0.004029628740984242
7,transf,entire_dataset_mia_privacy_risk,0.5014994181362457,0.001789790441601659
8,transf,entire_dataset_label_0.0_mia_privacy_risk,0.5011925964804196,0.001697268971047851
9,transf,entire_dataset_label_1.0_mia_privacy_risk,0.502195992687665,0.002660503879789637
10,transf,subpopulation_0.0_label_0.0_mia_privacy_risk,0.5010472021638128,0.0024647005794405817
11,transf,subpopulation_0.0_label_1.0_mia_privacy_risk,0.50170899336016,0.002112754157268915
12,transf,subpopulation_1.0_label_0.0_mia_privacy_risk,0.5009834881775478,0.0010223028843264136
13,transf,subpopulation_1.0_label_1.0_mia_privacy_risk,0.5032786390835848,0.0036868348619258444
14,dir,entire_dataset_mia_privacy_risk,0.5011122549458419,0.0017001675107344433
15,dir,entire_dataset_label_0.0_mia_privacy_risk,0.5008701531229941,0.0009221305581762953
16,dir,entire_dataset_label_1.0_mia_privacy_risk,0.5018943997431526,0.002797689040227407
17,dir,subpopulation_0.0_label_0.0_mia_privacy_risk,0.5012265540725086,0.002563069880026681
18,dir,subpopulation_0.0_label_1.0_mia_privacy_risk,0.5011123694652883,0.0013973336347049554
19,dir,subpopulation_1.0_label_0.0_mia_privacy_risk,0.5008558290383408,0.0008389357026959379
20,dir,subpopulation_1.0_label_1.0_mia_privacy_risk,0.5032263619766637,0.005098404064804156
21,rew,entire_dataset_mia_privacy_risk,0.500995882194969,0.0015965816373713286
22,rew,entire_dataset_label_0.0_mia_privacy_risk,0.5005947993082073,0.0005830349079155699
23,rew,entire_dataset_label_1.0_mia_privacy_risk,0.5016387996152736,0.0023392295751194637
24,rew,subpopulation_0.0_label_0.0_mia_privacy_risk,0.5005193835918319,0.0005617529490399952
25,rew,subpopulation_0.0_label_1.0_mia_privacy_risk,0.5010825386339707,0.0013354474605287794
26,rew,subpopulation_1.0_label_0.0_mia_privacy_risk,0.5007785305195573,0.0009662397076461407
27,rew,subpopulation_1.0_label_1.0_mia_privacy_risk,0.5026045438401778,0.004029628740984242
28,eg,entire_dataset_mia_privacy_risk,0.5010742100080565,0.0016728922702355519
29,eg,entire_dataset_label_0.0_mia_privacy_risk,0.5006716914875124,0.0006973897003379867
30,eg,entire_dataset_label_1.0_mia_privacy_risk,0.5022504389843141,0.0025017283784462547
31,eg,subpopulation_0.0_label_0.0_mia_privacy_risk,0.5005609158350368,0.0005623277651424954
32,eg,subpopulation_0.0_label_1.0_mia_privacy_risk,0.5016633947109769,0.0018566073439970866
33,eg,subpopulation_1.0_label_0.0_mia_privacy_risk,0.5009305212000147,0.0010391463476540968
34,eg,subpopulation_1.0_label_1.0_mia_privacy_risk,0.5032137151337649,0.004007290837158507
