,Method,Metric,Mean,Error
0,orig,bal_acc,0.5203030857579399,0.0132880543886803
1,orig,disp_imp,0.6232461346614131,0.2386077486987683
2,orig,avg_odds_diff,-0.047305267549198386,0.05038968736752423
3,orig,stat_par_diff,-0.044480862188728626,0.04460798549910486
4,orig,eq_opp_diff,-0.06186562825789007,0.06549633914801405
5,orig,theil_ind,0.33488287055078186,0.01577527735239938
6,orig,unpriv_fpr,0.018822463258805232,0.01803614102107209
7,orig,unpriv_fnr,0.9719892932686272,0.04764691627648955
8,orig,priv_fpr,0.05156737009931195,0.04185062717824368
9,orig,priv_fnr,0.910123665010737,0.06412255918443813
10,transf,bal_acc,0.5052570826386144,0.005787634012508482
11,transf,disp_imp,0.4605649282061801,0.24278948566586683
12,transf,avg_odds_diff,-0.0030333221197302593,0.01341328396544316
13,transf,stat_par_diff,-0.0014012310204667762,0.009931741216595938
14,transf,eq_opp_diff,-0.008127330286187461,0.019744782204881062
15,transf,theil_ind,0.35189961465179426,0.006362665271817187
16,transf,unpriv_fpr,0.011607407532119937,0.017306023438166066
17,transf,unpriv_fnr,0.9877107791614405,0.02517776955341597
18,transf,priv_fpr,0.009546721485392994,0.010606406907315685
19,transf,priv_fnr,0.979583448875253,0.022380553389357873
20,dir,bal_acc,0.5215253434963321,0.014717112866079044
21,dir,disp_imp,0.5658049870940325,0.2626373152618207
22,dir,avg_odds_diff,-0.037621495361302125,0.0719628413164689
23,dir,stat_par_diff,-0.044329139155728246,0.05823744097970165
24,dir,eq_opp_diff,-0.041830097266724514,0.09649891649113243
25,dir,theil_ind,0.33254252601382966,0.019255251156446634
26,dir,unpriv_fpr,0.026032457426991285,0.020481764344684517
27,dir,unpriv_fnr,0.9420180806900147,0.05579309377390203
28,dir,priv_fpr,0.05944535088287104,0.05239574264537573
29,dir,priv_fnr,0.90018798342329,0.07739513115162866
30,rew,bal_acc,0.5203030857579399,0.0132880543886803
31,rew,disp_imp,0.6232461346614131,0.2386077486987683
32,rew,avg_odds_diff,-0.047305267549198386,0.05038968736752423
33,rew,stat_par_diff,-0.044480862188728626,0.04460798549910486
34,rew,eq_opp_diff,-0.06186562825789007,0.06549633914801405
35,rew,theil_ind,0.33488287055078186,0.01577527735239938
36,rew,unpriv_fpr,0.018822463258805232,0.01803614102107209
37,rew,unpriv_fnr,0.9719892932686272,0.04764691627648955
38,rew,priv_fpr,0.05156737009931195,0.04185062717824368
39,rew,priv_fnr,0.910123665010737,0.06412255918443813
40,eg,bal_acc,0.5,0.0
41,eg,disp_imp,0.5,0.16222142113076254
42,eg,avg_odds_diff,0.0,0.0
43,eg,stat_par_diff,0.0,0.0
44,eg,eq_opp_diff,0.0,0.0
45,eg,theil_ind,0.3570104732781281,0.004442590397933309
46,eg,unpriv_fpr,0.0,0.0
47,eg,unpriv_fnr,1.0,0.0
48,eg,priv_fpr,0.0,0.0
49,eg,priv_fnr,1.0,0.0
