,Method,Metric,Mean Privacy Risk,Error
0,orig,entire_dataset_mia_privacy_risk,0.5017813982633605,0.0021478604588654484
1,orig,entire_dataset_label_0.0_mia_privacy_risk,0.5013221501361936,0.002452352224219621
2,orig,entire_dataset_label_1.0_mia_privacy_risk,0.5018092061989179,0.002767510145871122
3,orig,subpopulation_0.0_label_0.0_mia_privacy_risk,0.5013434692414072,0.0019682240572318124
4,orig,subpopulation_0.0_label_1.0_mia_privacy_risk,0.5044818099671616,0.007106656958883438
5,orig,subpopulation_1.0_label_0.0_mia_privacy_risk,0.501397297463522,0.002790725484326338
6,orig,subpopulation_1.0_label_1.0_mia_privacy_risk,0.5018035615463834,0.0027209815865057965
7,transf,entire_dataset_mia_privacy_risk,0.5021394682660459,0.0019685603388090423
8,transf,entire_dataset_label_0.0_mia_privacy_risk,0.5019438771658106,0.001900090015437233
9,transf,entire_dataset_label_1.0_mia_privacy_risk,0.5037406561480369,0.004425174533894803
10,transf,subpopulation_0.0_label_0.0_mia_privacy_risk,0.5038365484670934,0.003803332220053008
11,transf,subpopulation_0.0_label_1.0_mia_privacy_risk,0.5147438085723484,0.020660880998047165
12,transf,subpopulation_1.0_label_0.0_mia_privacy_risk,0.501849387819659,0.001744419417968027
13,transf,subpopulation_1.0_label_1.0_mia_privacy_risk,0.5036665362547145,0.004382668690505728
14,dir,entire_dataset_mia_privacy_risk,0.5060580968579358,0.007282712280551089
15,dir,entire_dataset_label_0.0_mia_privacy_risk,0.507095775577487,0.010274683801241566
16,dir,entire_dataset_label_1.0_mia_privacy_risk,0.5034976055573185,0.005891315126117445
17,dir,subpopulation_0.0_label_0.0_mia_privacy_risk,0.5029159178324083,0.003257102112966617
18,dir,subpopulation_0.0_label_1.0_mia_privacy_risk,0.5081441285813572,0.012207651779409254
19,dir,subpopulation_1.0_label_0.0_mia_privacy_risk,0.5078073897549408,0.011307814486193194
20,dir,subpopulation_1.0_label_1.0_mia_privacy_risk,0.5035159315044244,0.005928902091452247
21,rew,entire_dataset_mia_privacy_risk,0.5017813982633605,0.0021478604588654484
22,rew,entire_dataset_label_0.0_mia_privacy_risk,0.5013221501361936,0.002452352224219621
23,rew,entire_dataset_label_1.0_mia_privacy_risk,0.5018092061989179,0.002767510145871122
24,rew,subpopulation_0.0_label_0.0_mia_privacy_risk,0.5013434692414072,0.0019682240572318124
25,rew,subpopulation_0.0_label_1.0_mia_privacy_risk,0.5044818099671616,0.007106656958883438
26,rew,subpopulation_1.0_label_0.0_mia_privacy_risk,0.501397297463522,0.002790725484326338
27,rew,subpopulation_1.0_label_1.0_mia_privacy_risk,0.5018035615463834,0.0027209815865057965
28,eg,entire_dataset_mia_privacy_risk,0.5017478292006088,0.0020786509360953232
29,eg,entire_dataset_label_0.0_mia_privacy_risk,0.5012864809273905,0.002328970019734611
30,eg,entire_dataset_label_1.0_mia_privacy_risk,0.5018367261679325,0.0027456968486622157
31,eg,subpopulation_0.0_label_0.0_mia_privacy_risk,0.5014366369432706,0.001945250342904132
32,eg,subpopulation_0.0_label_1.0_mia_privacy_risk,0.5048916460327354,0.00707085018038345
33,eg,subpopulation_1.0_label_0.0_mia_privacy_risk,0.5013491959332554,0.0026552407501740432
34,eg,subpopulation_1.0_label_1.0_mia_privacy_risk,0.5018352092976426,0.0026935346597369678
