,Method,Metric,Mean,Error
0,orig,bal_acc,0.5021305515977205,0.0018208640018443961
1,orig,disp_imp,0.0012657226322353777,0.0021131539688045782
2,orig,avg_odds_diff,-0.000506508132603084,0.003809130838506011
3,orig,stat_par_diff,0.0009932062058394698,0.002259109163681267
4,orig,eq_opp_diff,0.0010094268192609168,0.00203778764415399
5,orig,theil_ind,0.01728032303606039,0.00040064115562066477
6,orig,unpriv_fpr,0.9953845012313408,0.004087829440855002
7,orig,unpriv_fnr,9.509007443826089e-05,0.00021390361162590478
8,orig,priv_fpr,0.9974069443158079,0.0063431500784244125
9,orig,priv_fnr,0.001104516893699178,0.0021744380743647703
10,transf,bal_acc,0.5021305515977205,0.0018208640018443961
11,transf,disp_imp,0.0012657226322353777,0.0021131539688045782
12,transf,avg_odds_diff,-0.000506508132603084,0.003809130838506011
13,transf,stat_par_diff,0.0009932062058394698,0.002259109163681267
14,transf,eq_opp_diff,0.0010094268192609168,0.00203778764415399
15,transf,theil_ind,0.01728032303606039,0.00040064115562066477
16,transf,unpriv_fpr,0.9953845012313408,0.004087829440855002
17,transf,unpriv_fnr,9.509007443826089e-05,0.00021390361162590478
18,transf,priv_fpr,0.9974069443158079,0.0063431500784244125
19,transf,priv_fnr,0.001104516893699178,0.0021744380743647703
20,dir,bal_acc,0.5015948142210359,0.0016658158600266328
21,dir,disp_imp,0.0016884429883537166,0.0014306277169866125
22,dir,avg_odds_diff,0.0008514325940656237,0.0036805982730235827
23,dir,stat_par_diff,0.0015871331605553207,0.0015462229839429068
24,dir,eq_opp_diff,0.0014937166062881757,0.0017338242021922533
25,dir,theil_ind,0.01731596944101838,0.00037644034648136163
26,dir,unpriv_fpr,0.996668769523857,0.0038080119384896987
27,dir,unpriv_fnr,9.508444820086382e-05,0.00023486016390022711
28,dir,priv_fpr,0.9964596209420138,0.007286173347576263
29,dir,priv_fnr,0.0015888010544890495,0.0018051615592997064
30,rew,bal_acc,0.5021305515977205,0.0018208640018443961
31,rew,disp_imp,0.0012657226322353777,0.0021131539688045782
32,rew,avg_odds_diff,-0.000506508132603084,0.003809130838506011
33,rew,stat_par_diff,0.0009932062058394698,0.002259109163681267
34,rew,eq_opp_diff,0.0010094268192609168,0.00203778764415399
35,rew,theil_ind,0.01728032303606039,0.00040064115562066477
36,rew,unpriv_fpr,0.9953845012313408,0.004087829440855002
37,rew,unpriv_fnr,9.509007443826089e-05,0.00021390361162590478
38,rew,priv_fpr,0.9974069443158079,0.0063431500784244125
39,rew,priv_fnr,0.001104516893699178,0.0021744380743647703
40,eg,bal_acc,0.501052262202347,0.0014612510744679622
41,eg,disp_imp,0.0009322732706213477,0.00135243714225638
42,eg,avg_odds_diff,-0.0003149501484967565,0.0018046931865365783
43,eg,stat_par_diff,0.0007811229370111861,0.0014484553518891792
44,eg,eq_opp_diff,0.000900024092568541,0.0013857319838867222
45,eg,theil_ind,0.017289549942534836,0.0003569190342293194
46,eg,unpriv_fpr,0.9976226179833194,0.0031357987922701995
47,eg,unpriv_fnr,7.39110631155625e-05,0.00014984658533672012
48,eg,priv_fpr,0.9991525423728813,0.0037899457245759048
49,eg,priv_fnr,0.0009739351556840992,0.0014590334582722268
