,Method,Metric,Mean Privacy Risk,Error
0,orig,entire_dataset_mia_privacy_risk,0.5018896047696894,0.0015928598538258053
1,orig,entire_dataset_label_0.0_mia_privacy_risk,0.5110414207039626,0.007059763596856928
2,orig,entire_dataset_label_1.0_mia_privacy_risk,0.5018837050634085,0.0014944236554100818
3,orig,subpopulation_0.0_label_0.0_mia_privacy_risk,0.5084985217002365,0.008186325808896446
4,orig,subpopulation_0.0_label_1.0_mia_privacy_risk,0.501802472752104,0.0013521167214195539
5,orig,subpopulation_1.0_label_0.0_mia_privacy_risk,0.5504214626989863,0.03970222937129381
6,orig,subpopulation_1.0_label_1.0_mia_privacy_risk,0.5090532364929976,0.008568406391289496
7,transf,entire_dataset_mia_privacy_risk,0.5018896047696894,0.0015928598538258053
8,transf,entire_dataset_label_0.0_mia_privacy_risk,0.5110414207039626,0.007059763596856928
9,transf,entire_dataset_label_1.0_mia_privacy_risk,0.5018837050634085,0.0014944236554100818
10,transf,subpopulation_0.0_label_0.0_mia_privacy_risk,0.5084985217002365,0.008186325808896446
11,transf,subpopulation_0.0_label_1.0_mia_privacy_risk,0.501802472752104,0.0013521167214195539
12,transf,subpopulation_1.0_label_0.0_mia_privacy_risk,0.5504214626989863,0.03970222937129381
13,transf,subpopulation_1.0_label_1.0_mia_privacy_risk,0.5090532364929976,0.008568406391289496
14,dir,entire_dataset_mia_privacy_risk,0.5040893355130301,0.007461906959576325
15,dir,entire_dataset_label_0.0_mia_privacy_risk,0.5106816758035813,0.007601728551779907
16,dir,entire_dataset_label_1.0_mia_privacy_risk,0.5042311506110325,0.007580873243958262
17,dir,subpopulation_0.0_label_0.0_mia_privacy_risk,0.5084794604603561,0.007529509795402974
18,dir,subpopulation_0.0_label_1.0_mia_privacy_risk,0.5038153779164029,0.007401927254993314
19,dir,subpopulation_1.0_label_0.0_mia_privacy_risk,0.5446583067448023,0.035567013566383116
20,dir,subpopulation_1.0_label_1.0_mia_privacy_risk,0.5185564811932764,0.018890673779120758
21,rew,entire_dataset_mia_privacy_risk,0.5018896047696894,0.0015928598538258053
22,rew,entire_dataset_label_0.0_mia_privacy_risk,0.5110414207039626,0.007059763596856928
23,rew,entire_dataset_label_1.0_mia_privacy_risk,0.5018837050634085,0.0014944236554100818
24,rew,subpopulation_0.0_label_0.0_mia_privacy_risk,0.5084985217002365,0.008186325808896446
25,rew,subpopulation_0.0_label_1.0_mia_privacy_risk,0.501802472752104,0.0013521167214195539
26,rew,subpopulation_1.0_label_0.0_mia_privacy_risk,0.5504214626989863,0.03970222937129381
27,rew,subpopulation_1.0_label_1.0_mia_privacy_risk,0.5090532364929976,0.008568406391289496
28,eg,entire_dataset_mia_privacy_risk,0.5018775843831136,0.0017327957185710816
29,eg,entire_dataset_label_0.0_mia_privacy_risk,0.5109505093007136,0.00851641618768381
30,eg,entire_dataset_label_1.0_mia_privacy_risk,0.5017834383732521,0.0016423340519151832
31,eg,subpopulation_0.0_label_0.0_mia_privacy_risk,0.5079625790357389,0.007558289602810162
32,eg,subpopulation_0.0_label_1.0_mia_privacy_risk,0.5015693694137383,0.0014129634793781179
33,eg,subpopulation_1.0_label_0.0_mia_privacy_risk,0.5528141105895745,0.03562283778296883
34,eg,subpopulation_1.0_label_1.0_mia_privacy_risk,0.5118826551729023,0.010317472461895441
