,Method,Metric,Mean,Error
0,orig,bal_acc,0.5023342992167584,0.002056070566283787
1,orig,disp_imp,0.0003169069838447225,0.0002690535958896343
2,orig,avg_odds_diff,-7.201018522230151e-05,0.0030468205603472916
3,orig,stat_par_diff,-0.0001541945165514258,0.00039110030318616245
4,orig,eq_opp_diff,-0.0001006734308786228,0.0002998013959510886
5,orig,theil_ind,0.0171447094039042,0.00047672885973554225
6,orig,unpriv_fpr,0.9951119738343663,0.00501751665754974
7,orig,unpriv_fnr,0.0002437813718093501,0.000322353628438133
8,orig,priv_fpr,0.9951553207739323,0.005472812122149262
9,orig,priv_fnr,0.00014310794093072668,0.0001886950466761352
10,transf,bal_acc,0.5021867429307567,0.0016146238933105231
11,transf,disp_imp,0.0003611161071775448,0.0002808626899885328
12,transf,avg_odds_diff,0.00024533885129615906,0.0032120969577069175
13,transf,stat_par_diff,-5.413131234349722e-05,0.00046152726604037657
14,transf,eq_opp_diff,-3.0335137927151034e-05,0.0003075590868331856
15,transf,theil_ind,0.017154001570355782,0.00043744640210534465
16,transf,unpriv_fpr,0.9957012311115896,0.004728873806822028
17,transf,unpriv_fnr,0.00020947502676891975,0.00025950692209937234
18,transf,priv_fpr,0.9951802182710703,0.00447794055449242
19,transf,priv_fnr,0.0001791398888417684,0.00020151969288848573
20,dir,bal_acc,0.5026562127234706,0.0019159555782464425
21,dir,disp_imp,0.00045288198702952975,0.0003527006869741172
22,dir,avg_odds_diff,-0.0009604273379644173,0.003875306681383743
23,dir,stat_par_diff,-0.00023320400637869554,0.0005318054251788234
24,dir,eq_opp_diff,-8.290256585939404e-05,0.00032028816741120253
25,dir,theil_ind,0.017178298655505568,0.0004392839570426645
26,dir,unpriv_fpr,0.9935419011180627,0.005317470866538194
27,dir,unpriv_fnr,0.0002799230050488956,0.00025968654675198626
28,dir,priv_fpr,0.9953798532281322,0.0056953107679414885
29,dir,priv_fnr,0.00019702043918950058,0.0003075343935416707
30,rew,bal_acc,0.5023342992167584,0.002056070566283787
31,rew,disp_imp,0.0003169069838447225,0.0002690535958896343
32,rew,avg_odds_diff,-7.201018522230151e-05,0.0030468205603472916
33,rew,stat_par_diff,-0.0001541945165514258,0.00039110030318616245
34,rew,eq_opp_diff,-0.0001006734308786228,0.0002998013959510886
35,rew,theil_ind,0.0171447094039042,0.00047672885973554225
36,rew,unpriv_fpr,0.9951119738343663,0.00501751665754974
37,rew,unpriv_fnr,0.0002437813718093501,0.000322353628438133
38,rew,priv_fpr,0.9951553207739323,0.005472812122149262
39,rew,priv_fnr,0.00014310794093072668,0.0001886950466761352
40,eg,bal_acc,0.5012968323697227,0.0022883244666798684
41,eg,disp_imp,0.00020678836068298566,0.0002660302963483382
42,eg,avg_odds_diff,0.00016022812044373945,0.002457869785391399
43,eg,stat_par_diff,-9.412674157398549e-05,0.0003261720982711924
44,eg,eq_opp_diff,-8.509781060734301e-05,0.0003053916251458706
45,eg,theil_ind,0.01711847400866679,0.00042031388557922607
46,eg,unpriv_fpr,0.9974722110659042,0.005067178721638
47,eg,unpriv_fnr,0.00017418904151953157,0.00030792492626947757
48,eg,priv_fpr,0.9970666570144093,0.005649577610380512
49,eg,priv_fnr,8.909123091218211e-05,0.00017829762694710657
