,Method,Metric,Mean Privacy Risk,Error
0,orig,entire_dataset_mia_privacy_risk,0.5012693528223868,0.0015280872966606707
1,orig,entire_dataset_label_0.0_mia_privacy_risk,0.5174545977000818,0.011169983316395087
2,orig,entire_dataset_label_1.0_mia_privacy_risk,0.5014014946994664,0.0012587581474106323
3,orig,subpopulation_0.0_label_0.0_mia_privacy_risk,0.5196517157218946,0.01422623413726588
4,orig,subpopulation_0.0_label_1.0_mia_privacy_risk,0.5018158079946751,0.0017143205875727243
5,orig,subpopulation_1.0_label_0.0_mia_privacy_risk,0.5208053503741686,0.012611045046650947
6,orig,subpopulation_1.0_label_1.0_mia_privacy_risk,0.5017701781708443,0.001597996501096566
7,transf,entire_dataset_mia_privacy_risk,0.50123329166266,0.0014397677843654335
8,transf,entire_dataset_label_0.0_mia_privacy_risk,0.5188890719306553,0.012411243133709952
9,transf,entire_dataset_label_1.0_mia_privacy_risk,0.5013654513844019,0.0010392911068924711
10,transf,subpopulation_0.0_label_0.0_mia_privacy_risk,0.5213293680238192,0.015991629185938848
11,transf,subpopulation_0.0_label_1.0_mia_privacy_risk,0.5018179824807751,0.0014145157140308302
12,transf,subpopulation_1.0_label_0.0_mia_privacy_risk,0.5221604796786871,0.011664503595273872
13,transf,subpopulation_1.0_label_1.0_mia_privacy_risk,0.5018216456230986,0.0011561855970910289
14,dir,entire_dataset_mia_privacy_risk,0.5013198384460044,0.0013248258207530287
15,dir,entire_dataset_label_0.0_mia_privacy_risk,0.5162520153965716,0.010793595802293944
16,dir,entire_dataset_label_1.0_mia_privacy_risk,0.5015070367727901,0.0013882337551482022
17,dir,subpopulation_0.0_label_0.0_mia_privacy_risk,0.5188890613361596,0.015283215504570829
18,dir,subpopulation_0.0_label_1.0_mia_privacy_risk,0.5022773670926817,0.002160431093866898
19,dir,subpopulation_1.0_label_0.0_mia_privacy_risk,0.5176116225507124,0.013304434358067009
20,dir,subpopulation_1.0_label_1.0_mia_privacy_risk,0.5016018657866541,0.0016468865547119116
21,rew,entire_dataset_mia_privacy_risk,0.5012693528223868,0.0015280872966606707
22,rew,entire_dataset_label_0.0_mia_privacy_risk,0.5174545977000818,0.011169983316395087
23,rew,entire_dataset_label_1.0_mia_privacy_risk,0.5014014946994664,0.0012587581474106323
24,rew,subpopulation_0.0_label_0.0_mia_privacy_risk,0.5196517157218946,0.01422623413726588
25,rew,subpopulation_0.0_label_1.0_mia_privacy_risk,0.5018158079946751,0.0017143205875727243
26,rew,subpopulation_1.0_label_0.0_mia_privacy_risk,0.5208053503741686,0.012611045046650947
27,rew,subpopulation_1.0_label_1.0_mia_privacy_risk,0.5017701781708443,0.001597996501096566
28,eg,entire_dataset_mia_privacy_risk,0.5011828060390423,0.0015560978161555394
29,eg,entire_dataset_label_0.0_mia_privacy_risk,0.5140171079132267,0.009074801141822525
30,eg,entire_dataset_label_1.0_mia_privacy_risk,0.5014913745984576,0.0013221799556428413
31,eg,subpopulation_0.0_label_0.0_mia_privacy_risk,0.5167767641087935,0.013051195067650297
32,eg,subpopulation_0.0_label_1.0_mia_privacy_risk,0.5021879734243158,0.0018867889496354902
33,eg,subpopulation_1.0_label_0.0_mia_privacy_risk,0.5197192048092147,0.010771409774703143
34,eg,subpopulation_1.0_label_1.0_mia_privacy_risk,0.5019036697699295,0.0017146291420106568
