,Method,Metric,Mean,Error
0,orig,bal_acc,0.7125265655201494,0.008592385253885695
1,orig,disp_imp,0.3964417338808062,0.04762822470716739
2,orig,avg_odds_diff,-0.07928309374850248,0.018122397389945217
3,orig,stat_par_diff,-0.14243848185221086,0.015269586046956439
4,orig,eq_opp_diff,-0.06195261683498916,0.02902366941291237
5,orig,theil_ind,0.1110467073728727,0.004993746080914089
6,orig,unpriv_fpr,0.16749886098942862,0.04630012858371485
7,orig,unpriv_fnr,0.4093707790304186,0.057571380150141314
8,orig,priv_fpr,0.26411243165144443,0.051658844897273626
9,orig,priv_fnr,0.34741816219542954,0.047134538844840014
10,transf,bal_acc,0.7050868876413754,0.005565467874550975
11,transf,disp_imp,0.36900147706858943,0.0643263910845848
12,transf,avg_odds_diff,-0.07281430701806227,0.02854430557018316
13,transf,stat_par_diff,-0.14328029348885915,0.029359744615342822
14,transf,eq_opp_diff,-0.04053526269454346,0.032695489085725345
15,transf,theil_ind,0.11008638122430203,0.006168003577967863
16,transf,unpriv_fpr,0.20059398009716434,0.07651954277812352
17,transf,unpriv_fnr,0.3770811716091571,0.07874859801175982
18,transf,priv_fpr,0.3056873314387454,0.09849318967716675
19,transf,priv_fnr,0.33654590891461367,0.08786579593382554
20,dir,bal_acc,0.7126569600465452,0.007614986693762809
21,dir,disp_imp,0.3947649139948843,0.046471437176459386
22,dir,avg_odds_diff,-0.07856016536046992,0.01752081090362787
23,dir,stat_par_diff,-0.14097952362084681,0.015018357761863563
24,dir,eq_opp_diff,-0.06252297536910212,0.028530401176740803
25,dir,theil_ind,0.11104397768872117,0.004879335357214726
26,dir,unpriv_fpr,0.16691714242034855,0.04649340757437981
27,dir,unpriv_fnr,0.4106295889605359,0.0582670204423375
28,dir,priv_fpr,0.26151449777218627,0.05260659225623101
29,dir,priv_fnr,0.34810661359143386,0.047319969882886156
30,rew,bal_acc,0.7125265655201494,0.008592385253885695
31,rew,disp_imp,0.3964417338808062,0.04762822470716739
32,rew,avg_odds_diff,-0.07928309374850248,0.018122397389945217
33,rew,stat_par_diff,-0.14243848185221086,0.015269586046956439
34,rew,eq_opp_diff,-0.06195261683498916,0.02902366941291237
35,rew,theil_ind,0.1110467073728727,0.004993746080914089
36,rew,unpriv_fpr,0.16749886098942862,0.04630012858371485
37,rew,unpriv_fnr,0.4093707790304186,0.057571380150141314
38,rew,priv_fpr,0.26411243165144443,0.051658844897273626
39,rew,priv_fnr,0.34741816219542954,0.047134538844840014
40,eg,bal_acc,0.5501819129667072,0.009606393600758878
41,eg,disp_imp,0.5474587125748227,0.0809043230069102
42,eg,avg_odds_diff,-0.01654462463267876,0.012782751597672205
43,eg,stat_par_diff,-0.025272440211133323,0.0076398687456110575
44,eg,eq_opp_diff,-0.022779528338437258,0.023740513259007612
45,eg,theil_ind,0.1689942649018324,0.006659788161200574
46,eg,unpriv_fpr,0.008832675525526917,0.001995042337722572
47,eg,unpriv_fnr,0.8995758957189007,0.02128572767926081
48,eg,priv_fpr,0.019142396452447193,0.0044917038426661345
49,eg,priv_fnr,0.8767963673804635,0.02642500373548802
