,Method,Metric,Mean Privacy Risk,Error
0,orig,entire_dataset_mia_privacy_risk,0.5056822488945041,0.0029628126460735198
1,orig,entire_dataset_label_0.0_mia_privacy_risk,0.5068948271080793,0.0023338908072542118
2,orig,entire_dataset_label_1.0_mia_privacy_risk,0.5209877843871705,0.007218580046407127
3,orig,subpopulation_0.0_label_0.0_mia_privacy_risk,0.5057104778637391,0.002710662968109653
4,orig,subpopulation_0.0_label_1.0_mia_privacy_risk,0.5253336405192799,0.01030157523866967
5,orig,subpopulation_1.0_label_0.0_mia_privacy_risk,0.5129757169852678,0.005083333564041752
6,orig,subpopulation_1.0_label_1.0_mia_privacy_risk,0.5225753622475079,0.010463112549037144
7,transf,entire_dataset_mia_privacy_risk,0.5072267845862287,0.0025884696178620514
8,transf,entire_dataset_label_0.0_mia_privacy_risk,0.5084293706706382,0.002765809030793218
9,transf,entire_dataset_label_1.0_mia_privacy_risk,0.5222593232081824,0.007788319672625099
10,transf,subpopulation_0.0_label_0.0_mia_privacy_risk,0.5066875087736862,0.00271614338392331
11,transf,subpopulation_0.0_label_1.0_mia_privacy_risk,0.5299179575780537,0.010813101782305497
12,transf,subpopulation_1.0_label_0.0_mia_privacy_risk,0.5137620735354185,0.006092855964372729
13,transf,subpopulation_1.0_label_1.0_mia_privacy_risk,0.5223305965145328,0.012213624535743263
14,dir,entire_dataset_mia_privacy_risk,0.5055432722678459,0.0027536352458894585
15,dir,entire_dataset_label_0.0_mia_privacy_risk,0.5068334214392133,0.0022721939767174184
16,dir,entire_dataset_label_1.0_mia_privacy_risk,0.5215823671348186,0.0068489913264755935
17,dir,subpopulation_0.0_label_0.0_mia_privacy_risk,0.5058291094741991,0.0026957634275997094
18,dir,subpopulation_0.0_label_1.0_mia_privacy_risk,0.5252967473470733,0.01004668431516834
19,dir,subpopulation_1.0_label_0.0_mia_privacy_risk,0.5125947081512334,0.005183327491093705
20,dir,subpopulation_1.0_label_1.0_mia_privacy_risk,0.5234322099299982,0.009851092264293525
21,rew,entire_dataset_mia_privacy_risk,0.5056822488945041,0.0029628126460735198
22,rew,entire_dataset_label_0.0_mia_privacy_risk,0.5068948271080793,0.0023338908072542118
23,rew,entire_dataset_label_1.0_mia_privacy_risk,0.5209877843871705,0.007218580046407127
24,rew,subpopulation_0.0_label_0.0_mia_privacy_risk,0.5057104778637391,0.002710662968109653
25,rew,subpopulation_0.0_label_1.0_mia_privacy_risk,0.5253336405192799,0.01030157523866967
26,rew,subpopulation_1.0_label_0.0_mia_privacy_risk,0.5129757169852678,0.005083333564041752
27,rew,subpopulation_1.0_label_1.0_mia_privacy_risk,0.5225753622475079,0.010463112549037144
28,eg,entire_dataset_mia_privacy_risk,0.5048452305748579,0.0020340215786050046
29,eg,entire_dataset_label_0.0_mia_privacy_risk,0.5057350498267362,0.0021933646084387913
30,eg,entire_dataset_label_1.0_mia_privacy_risk,0.5172654944462503,0.008161585283968122
31,eg,subpopulation_0.0_label_0.0_mia_privacy_risk,0.5048842395670511,0.0033752816132233414
32,eg,subpopulation_0.0_label_1.0_mia_privacy_risk,0.5304079191498939,0.01193820581414358
33,eg,subpopulation_1.0_label_0.0_mia_privacy_risk,0.5129896540014741,0.004669168660302559
34,eg,subpopulation_1.0_label_1.0_mia_privacy_risk,0.5172161381137073,0.012360847778281826
