,Method,Metric,Mean,Error
0,orig,bal_acc,0.6007606117355876,0.04300661527063746
1,orig,disp_imp,0.8854324340306003,0.0536786537547028
2,orig,avg_odds_diff,0.5286936751914849,0.17272626600084057
3,orig,stat_par_diff,0.5565531625642697,0.17541260308020973
4,orig,eq_opp_diff,0.5434016672368541,0.18894984022381117
5,orig,theil_ind,0.12111011605797004,0.012165265384342358
6,orig,unpriv_fpr,0.5656848712923406,0.20263011435453535
7,orig,unpriv_fnr,0.2635060075502723,0.15236025033534573
8,orig,priv_fpr,0.05169918814622478,0.02373806532846121
9,orig,priv_fnr,0.8069076747871264,0.11990011842878834
10,transf,bal_acc,0.5488378880762771,0.02682929468200082
11,transf,disp_imp,0.3862575641795543,0.26081541575259093
12,transf,avg_odds_diff,-0.047358229263124586,0.1598851028832625
13,transf,stat_par_diff,-0.022388850756651046,0.15501657132234656
14,transf,eq_opp_diff,-0.05040341160769739,0.17429876292351001
15,transf,theil_ind,0.12371656369540276,0.029729346014612214
16,transf,unpriv_fpr,0.25694069929685937,0.25254054737346465
17,transf,unpriv_fnr,0.6455546794100665,0.2581829706079171
18,transf,priv_fpr,0.30125374621541123,0.2465661751477145
19,transf,priv_fnr,0.595151267802369,0.24752115285161574
20,dir,bal_acc,0.583317837858876,0.04656969425488545
21,dir,disp_imp,0.8915400272014189,0.06191179610000386
22,dir,avg_odds_diff,0.531304283882087,0.13552883644097152
23,dir,stat_par_diff,0.5606784402948162,0.12745474325269116
24,dir,eq_opp_diff,0.519481540851797,0.165819169501402
25,dir,theil_ind,0.12649476254847147,0.013341439780765576
26,dir,unpriv_fpr,0.5976376014579927,0.13817630777496004
27,dir,unpriv_fnr,0.3150727308512977,0.15098268818277144
28,dir,priv_fpr,0.054510574545616065,0.029748938622298174
29,dir,priv_fnr,0.8345542717030948,0.12309959121334846
30,rew,bal_acc,0.6007606117355876,0.04300661527063746
31,rew,disp_imp,0.8854324340306003,0.0536786537547028
32,rew,avg_odds_diff,0.5286936751914849,0.17272626600084057
33,rew,stat_par_diff,0.5565531625642697,0.17541260308020973
34,rew,eq_opp_diff,0.5434016672368541,0.18894984022381117
35,rew,theil_ind,0.12111011605797004,0.012165265384342358
36,rew,unpriv_fpr,0.5656848712923406,0.20263011435453535
37,rew,unpriv_fnr,0.2635060075502723,0.15236025033534573
38,rew,priv_fpr,0.05169918814622478,0.02373806532846121
39,rew,priv_fnr,0.8069076747871264,0.11990011842878834
40,eg,bal_acc,0.5,0.0
41,eg,disp_imp,0.0,0.0
42,eg,avg_odds_diff,0.0,0.0
43,eg,stat_par_diff,0.0,0.0
44,eg,eq_opp_diff,0.0,0.0
45,eg,theil_ind,0.018833510658252582,0.0006307914130477697
46,eg,unpriv_fpr,1.0,0.0
47,eg,unpriv_fnr,0.0,0.0
48,eg,priv_fpr,1.0,0.0
49,eg,priv_fnr,0.0,0.0
