,Method,Metric,Mean,Error
0,orig,bal_acc,0.5407834602090464,0.04350637624808981
1,orig,disp_imp,0.30930167714622503,0.3170104389841345
2,orig,avg_odds_diff,-0.09635245687153,0.19307820269747653
3,orig,stat_par_diff,-0.09911498441079451,0.17937309391239548
4,orig,eq_opp_diff,-0.07518932915153989,0.17927174353047842
5,orig,theil_ind,0.43496037418928835,0.42736025162332036
6,orig,unpriv_fpr,0.4683053459698197,0.3714524623486381
7,orig,unpriv_fnr,0.4325341243258608,0.3473789502969279
8,orig,priv_fpr,0.5858209305613398,0.3797534532123568
9,orig,priv_fnr,0.35734479517432083,0.35658996958916545
10,transf,bal_acc,0.5342285515924029,0.03668892742329002
11,transf,disp_imp,0.2755397646605543,0.29523717435669616
12,transf,avg_odds_diff,-0.08988372695705518,0.2013801144102897
13,transf,stat_par_diff,-0.09964833023766415,0.18847004990313787
14,transf,eq_opp_diff,-0.099492214744656,0.1836809382690413
15,transf,theil_ind,0.422287483737439,0.4201626051745363
16,transf,unpriv_fpr,0.525612227684596,0.3832124046907759
17,transf,unpriv_fnr,0.4264605259758712,0.38626100537920055
18,transf,priv_fpr,0.6058874668540506,0.39852065712079005
19,transf,priv_fnr,0.3269683112312153,0.3586081718191966
20,dir,bal_acc,0.5352066327377123,0.03972946714730145
21,dir,disp_imp,0.27580918876850513,0.28548388638793987
22,dir,avg_odds_diff,-0.1283285997861487,0.20934291216958734
23,dir,stat_par_diff,-0.142052346989499,0.2016830393918869
24,dir,eq_opp_diff,-0.1371606799446194,0.19399089163309838
25,dir,theil_ind,0.3791655604456963,0.40464459627987787
26,dir,unpriv_fpr,0.5397317813765181,0.36645954392479474
27,dir,unpriv_fnr,0.4180110371299629,0.3539952119052547
28,dir,priv_fpr,0.6592283010041962,0.34358380620825685
29,dir,priv_fnr,0.2808503571853436,0.3257664606927749
30,rew,bal_acc,0.5407834602090464,0.04350637624808981
31,rew,disp_imp,0.30930167714622503,0.3170104389841345
32,rew,avg_odds_diff,-0.09635245687153,0.19307820269747653
33,rew,stat_par_diff,-0.09911498441079451,0.17937309391239548
34,rew,eq_opp_diff,-0.07518932915153989,0.17927174353047842
35,rew,theil_ind,0.43496037418928835,0.42736025162332036
36,rew,unpriv_fpr,0.4683053459698197,0.3714524623486381
37,rew,unpriv_fnr,0.4325341243258608,0.3473789502969279
38,rew,priv_fpr,0.5858209305613398,0.3797534532123568
39,rew,priv_fnr,0.35734479517432083,0.35658996958916545
40,eg,bal_acc,0.5069819151188019,0.016954188274357327
41,eg,disp_imp,0.26897485567036955,0.40502633209997546
42,eg,avg_odds_diff,0.001745067802032868,0.033239191922325786
43,eg,stat_par_diff,0.0031084530217070916,0.0320741361863001
44,eg,eq_opp_diff,0.010609687878416763,0.03681681475476583
45,eg,theil_ind,0.4394381365821241,0.579336150100686
46,eg,unpriv_fpr,0.6685576923076924,0.4532269823434344
47,eg,unpriv_fnr,0.30628565677478725,0.4508512939854032
48,eg,priv_fpr,0.6756772445820434,0.4590658591139778
49,eg,priv_fnr,0.31689534465320396,0.46017399138255866
