,Method,Metric,Mean,Error
0,orig,bal_acc,0.5,0.0
1,orig,disp_imp,0.0,0.0
2,orig,avg_odds_diff,0.0,0.0
3,orig,stat_par_diff,0.0,0.0
4,orig,eq_opp_diff,0.0,0.0
5,orig,theil_ind,0.017875678103211737,0.001492081912400303
6,orig,unpriv_fpr,1.0,0.0
7,orig,unpriv_fnr,0.0,0.0
8,orig,priv_fpr,1.0,0.0
9,orig,priv_fnr,0.0,0.0
10,transf,bal_acc,0.5,0.0
11,transf,disp_imp,0.0,0.0
12,transf,avg_odds_diff,0.0,0.0
13,transf,stat_par_diff,0.0,0.0
14,transf,eq_opp_diff,0.0,0.0
15,transf,theil_ind,0.017875678103211737,0.001492081912400303
16,transf,unpriv_fpr,1.0,0.0
17,transf,unpriv_fnr,0.0,0.0
18,transf,priv_fpr,1.0,0.0
19,transf,priv_fnr,0.0,0.0
20,dir,bal_acc,0.5,0.0
21,dir,disp_imp,0.0,0.0
22,dir,avg_odds_diff,0.0,0.0
23,dir,stat_par_diff,0.0,0.0
24,dir,eq_opp_diff,0.0,0.0
25,dir,theil_ind,0.017875678103211737,0.001492081912400303
26,dir,unpriv_fpr,1.0,0.0
27,dir,unpriv_fnr,0.0,0.0
28,dir,priv_fpr,1.0,0.0
29,dir,priv_fnr,0.0,0.0
30,rew,bal_acc,0.5,0.0
31,rew,disp_imp,0.0,0.0
32,rew,avg_odds_diff,0.0,0.0
33,rew,stat_par_diff,0.0,0.0
34,rew,eq_opp_diff,0.0,0.0
35,rew,theil_ind,0.017875678103211737,0.001492081912400303
36,rew,unpriv_fpr,1.0,0.0
37,rew,unpriv_fnr,0.0,0.0
38,rew,priv_fpr,1.0,0.0
39,rew,priv_fnr,0.0,0.0
40,eg,bal_acc,0.5007694664534845,0.0026205770284531056
41,eg,disp_imp,0.00021706347689094961,0.0008182108508898266
42,eg,avg_odds_diff,-0.0007062328190586443,0.0057766902770527186
43,eg,stat_par_diff,-0.00014558384858501806,0.0008347186369444821
44,eg,eq_opp_diff,-4.816955684007751e-05,0.00021542080708090655
45,eg,theil_ind,0.017871702782894697,0.0014992080151543714
46,eg,unpriv_fpr,0.9976923076923077,0.01032031374230671
47,eg,unpriv_fnr,4.816955684007707e-05,0.0002154208070809046
48,eg,priv_fpr,0.999056603773585,0.004218996183961867
49,eg,priv_fnr,0.0,0.0
