,Method,Metric,Mean,Error
0,orig,bal_acc,0.5802994744974712,0.022061924811878443
1,orig,disp_imp,0.5437395839916668,0.32409085704065227
2,orig,avg_odds_diff,0.1343202537670231,0.24149799225880034
3,orig,stat_par_diff,0.14180747258332904,0.2341684305203897
4,orig,eq_opp_diff,0.1761653604936962,0.27810957338753195
5,orig,theil_ind,0.31275210395252345,0.09470430773726707
6,orig,unpriv_fpr,0.3623647616106266,0.18442012391009371
7,orig,unpriv_fnr,0.47106875818878124,0.17674047531238185
8,orig,priv_fpr,0.2698896145702766,0.2334794135926073
9,orig,priv_fnr,0.6472341186824775,0.2966068938141607
10,transf,bal_acc,0.5810074436604993,0.02216982301130556
11,transf,disp_imp,0.5381619604533258,0.32912676627701765
12,transf,avg_odds_diff,0.13833802897416128,0.2362150890682803
13,transf,stat_par_diff,0.14596687717139256,0.22877555781258277
14,transf,eq_opp_diff,0.17991472500818526,0.2726415695960732
15,transf,theil_ind,0.3128941630054473,0.0946938947151967
16,transf,unpriv_fpr,0.361418389370879,0.18467077676690163
17,transf,unpriv_fnr,0.4708908222457208,0.17668331235119406
18,transf,priv_fpr,0.2646570564307417,0.22946338735591748
19,transf,priv_fnr,0.650805547253906,0.2924253020278129
20,dir,bal_acc,0.5707620077466437,0.019546267763963673
21,dir,disp_imp,0.5133482035370504,0.3589008931059138
22,dir,avg_odds_diff,0.11717987271735616,0.2215081731122666
23,dir,stat_par_diff,0.12477697426602867,0.21855172656865193
24,dir,eq_opp_diff,0.14711038549790045,0.23756077259405944
25,dir,theil_ind,0.3039569527033212,0.1055357180919262
26,dir,unpriv_fpr,0.3963083330848952,0.19194254222371226
27,dir,unpriv_fnr,0.4580964171574151,0.19349619931149947
28,dir,priv_fpr,0.3090589731480834,0.27051276271567
29,dir,priv_fnr,0.6052068026553157,0.31435548190150303
30,rew,bal_acc,0.5802994744974712,0.022061924811878443
31,rew,disp_imp,0.5437395839916668,0.32409085704065227
32,rew,avg_odds_diff,0.1343202537670231,0.24149799225880034
33,rew,stat_par_diff,0.14180747258332904,0.2341684305203897
34,rew,eq_opp_diff,0.1761653604936962,0.27810957338753195
35,rew,theil_ind,0.31275210395252345,0.09470430773726707
36,rew,unpriv_fpr,0.3623647616106266,0.18442012391009371
37,rew,unpriv_fnr,0.47106875818878124,0.17674047531238185
38,rew,priv_fpr,0.2698896145702766,0.2334794135926073
39,rew,priv_fnr,0.6472341186824775,0.2966068938141607
40,eg,bal_acc,0.548377550530644,0.032614066527768444
41,eg,disp_imp,0.642748398665425,0.2742282287296979
42,eg,avg_odds_diff,0.050258319298412325,0.1906844305464821
43,eg,stat_par_diff,0.05142448512845438,0.19205420183791572
44,eg,eq_opp_diff,0.08971339380005847,0.20491727312983202
45,eg,theil_ind,0.45092257686688964,0.12057015131388239
46,eg,unpriv_fpr,0.17151055227081852,0.16564123413467105
47,eg,unpriv_fnr,0.7220525300535398,0.2079824359327099
48,eg,priv_fpr,0.16070730747405232,0.2843045796922782
49,eg,priv_fnr,0.8117659238535981,0.2598140533542021
