,Method,Metric,Mean,Error
0,orig,bal_acc,0.5359630062065591,0.03990871802793018
1,orig,disp_imp,0.12792331949270672,0.1706240401733638
2,orig,avg_odds_diff,-0.021405205864011873,0.07869447755331606
3,orig,stat_par_diff,-0.03300723156149458,0.07980207576300921
4,orig,eq_opp_diff,-0.025102110197105298,0.11372720470207905
5,orig,theil_ind,0.2558910523582155,0.2981337451055925
6,orig,unpriv_fpr,0.6890366577866577,0.3175064171876764
7,orig,unpriv_fnr,0.24810478736949332,0.2979333426267307
8,orig,priv_fpr,0.7067449593175762,0.30090924351552095
9,orig,priv_fnr,0.22300267717238795,0.2807054031756263
10,transf,bal_acc,0.5105431372227696,0.013706736147519426
11,transf,disp_imp,0.17559057309960596,0.323324096062476
12,transf,avg_odds_diff,-0.014537028495369511,0.09034606376871814
13,transf,stat_par_diff,-0.022787132692537196,0.08390597141233543
14,transf,eq_opp_diff,-0.029577906227056704,0.07914900506490184
15,transf,theil_ind,0.2362058609245734,0.3391316060549315
16,transf,unpriv_fpr,0.7861721611721613,0.3639232075966505
17,transf,unpriv_fnr,0.2142734593837535,0.37038441340049966
18,transf,priv_fpr,0.7856683119358434,0.36389719068925414
19,transf,priv_fnr,0.18469555315669678,0.33674696014584826
20,dir,bal_acc,0.524520285562673,0.03306460295875214
21,dir,disp_imp,0.1385985394593002,0.2575995866033161
22,dir,avg_odds_diff,-0.04146615083573881,0.07495600229296773
23,dir,stat_par_diff,-0.04695345785444137,0.07711320215801266
24,dir,eq_opp_diff,-0.03888300140325052,0.10472143280085833
25,dir,theil_ind,0.18427734953004976,0.2434278201573819
26,dir,unpriv_fpr,0.7706224331224331,0.31033356546908647
27,dir,unpriv_fnr,0.18436974789915966,0.30170162918881466
28,dir,priv_fpr,0.8146717333906602,0.27817698751757713
29,dir,priv_fnr,0.14548674649590912,0.2551194098107454
30,rew,bal_acc,0.5359630062065591,0.03990871802793018
31,rew,disp_imp,0.12792331949270672,0.1706240401733638
32,rew,avg_odds_diff,-0.021405205864011873,0.07869447755331606
33,rew,stat_par_diff,-0.03300723156149458,0.07980207576300921
34,rew,eq_opp_diff,-0.025102110197105298,0.11372720470207905
35,rew,theil_ind,0.2558910523582155,0.2981337451055925
36,rew,unpriv_fpr,0.6890366577866577,0.3175064171876764
37,rew,unpriv_fnr,0.24810478736949332,0.2979333426267307
38,rew,priv_fpr,0.7067449593175762,0.30090924351552095
39,rew,priv_fnr,0.22300267717238795,0.2807054031756263
40,eg,bal_acc,0.5069633812938676,0.012465217643162491
41,eg,disp_imp,0.018990520044215576,0.030110103038601226
42,eg,avg_odds_diff,-0.014099640336300345,0.0319448331792812
43,eg,stat_par_diff,-0.017169927941240292,0.03001916712818001
44,eg,eq_opp_diff,-0.005629742930649157,0.04253986504319786
45,eg,theil_ind,0.07110840237034147,0.019520176744885022
46,eg,unpriv_fpr,0.9495677933177934,0.07559332624950511
47,eg,unpriv_fnr,0.024417249417249414,0.046095247322568554
48,eg,priv_fpr,0.9721373310597448,0.04668199551715058
49,eg,priv_fnr,0.018787506486600252,0.027962182098313804
