,Method,Metric,Mean,Error
0,orig,bal_acc,0.503625978819014,0.006508439452928593
1,orig,disp_imp,0.3266082661706976,0.4315327089641632
2,orig,avg_odds_diff,-0.05341338444471694,0.09056524465428109
3,orig,stat_par_diff,-0.051378453848186664,0.08680757915432546
4,orig,eq_opp_diff,-0.05860982644955308,0.10035563757826466
5,orig,theil_ind,0.15949240673023243,0.1502953426445479
6,orig,unpriv_fpr,0.6053545351159884,0.4959109027665082
7,orig,unpriv_fnr,0.3937558419490406,0.4948195652983994
8,orig,priv_fpr,0.6535714775558692,0.43880400113578905
9,orig,priv_fnr,0.3351460154994875,0.42687842013059857
10,transf,bal_acc,0.5063104126960436,0.007858059303834467
11,transf,disp_imp,0.36577277396481067,0.46636328584834164
12,transf,avg_odds_diff,0.1725953530389645,0.4009290522210505
13,transf,stat_par_diff,0.17169936824902518,0.39342245233605144
14,transf,eq_opp_diff,0.1745932728021741,0.41972558536451443
15,transf,theil_ind,0.15682899075899354,0.13512627805233593
16,transf,unpriv_fpr,0.7368331490490843,0.42960989992936033
17,transf,unpriv_fnr,0.24727280663257262,0.4356034554443786
18,transf,priv_fpr,0.5662357157733294,0.4808775674093721
19,transf,priv_fnr,0.4218660794347467,0.48090299314249585
20,dir,bal_acc,0.5014233690607639,0.0029035421736728273
21,dir,disp_imp,0.17194450918773654,0.3481157375382498
22,dir,avg_odds_diff,-0.02946601655923483,0.06936919532088875
23,dir,stat_par_diff,-0.028130410793531922,0.06746100832585174
24,dir,eq_opp_diff,-0.03278963823768287,0.0744282381653482
25,dir,theil_ind,0.1149304016450015,0.13283469953984747
26,dir,unpriv_fpr,0.7545366011672046,0.4362226982254279
27,dir,unpriv_fnr,0.2465926811535088,0.4382341909541948
28,dir,priv_fpr,0.7806789960479914,0.39231480312181943
29,dir,priv_fnr,0.2138030429158259,0.3828391776513638
30,rew,bal_acc,0.503625978819014,0.006508439452928593
31,rew,disp_imp,0.3266082661706976,0.4315327089641632
32,rew,avg_odds_diff,-0.05341338444471694,0.09056524465428109
33,rew,stat_par_diff,-0.051378453848186664,0.08680757915432546
34,rew,eq_opp_diff,-0.05860982644955308,0.10035563757826466
35,rew,theil_ind,0.15949240673023243,0.1502953426445479
36,rew,unpriv_fpr,0.6053545351159884,0.4959109027665082
37,rew,unpriv_fnr,0.3937558419490406,0.4948195652983994
38,rew,priv_fpr,0.6535714775558692,0.43880400113578905
39,rew,priv_fnr,0.3351460154994875,0.42687842013059857
40,eg,bal_acc,0.5,0.0
41,eg,disp_imp,0.0,0.0
42,eg,avg_odds_diff,0.0,0.0
43,eg,stat_par_diff,0.0,0.0
44,eg,eq_opp_diff,0.0,0.0
45,eg,theil_ind,0.04016011283277114,0.0009682497954346835
46,eg,unpriv_fpr,1.0,0.0
47,eg,unpriv_fnr,0.0,0.0
48,eg,priv_fpr,1.0,0.0
49,eg,priv_fnr,0.0,0.0
