,Method,Metric,Mean,Error
0,orig,bal_acc,0.7432173211316153,0.0015524361345479157
1,orig,avg_odds_diff,-0.05790913835473407,0.010245845103931703
2,orig,disp_imp,0.28401712618650754,0.0213274988546282
3,orig,stat_par_diff,-0.12109600929593094,0.008087392702962855
4,orig,eq_opp_diff,-0.03616320821180269,0.01187683994358493
5,orig,theil_ind,0.10648117178199952,0.0014415830696971753
6,orig,unpriv_fpr,0.22673038073038074,0.010556603753915091
7,orig,unpriv_fnr,0.25288766709935223,0.017070300042309274
8,orig,priv_fpr,0.3063854492280463,0.0019417534896366165
9,orig,priv_fnr,0.2167244588875498,0.0051934600987243364
10,cpp,bal_acc,0.7432146313688525,0.0015644651193103877
11,cpp,avg_odds_diff,-0.057892044337640045,0.01016939833547017
12,cpp,disp_imp,0.2839477174880527,0.021017093718678447
13,cpp,stat_par_diff,-0.12106720745261297,0.00795858694389029
14,cpp,eq_opp_diff,-0.03616320821180269,0.01187683994358493
15,cpp,theil_ind,0.10648163435981994,0.0014436517805999215
16,cpp,unpriv_fpr,0.2267645687645688,0.010403710216992027
17,cpp,unpriv_fnr,0.25288766709935223,0.017070300042309274
18,cpp,priv_fpr,0.3063854492280463,0.0019417534896366165
19,cpp,priv_fnr,0.2167244588875498,0.0051934600987243364
