,Method,Metric,Mean,Error
0,orig,bal_acc,0.6422342026491641,0.0013103639937993143
1,orig,avg_odds_diff,0.11892967114058706,0.0014901019583127202
2,orig,disp_imp,0.2636776591091976,0.007394084740977403
3,orig,stat_par_diff,0.13431008962191843,0.002148764607279792
4,orig,eq_opp_diff,0.1731608963368322,0.0002003817605210179
5,orig,theil_ind,0.23938869195770315,0.004682710155621115
6,orig,unpriv_fpr,0.3599291272929405,0.004351962265678982
7,orig,unpriv_fnr,0.3286799587700562,0.008032172550939017
8,orig,priv_fpr,0.2952306813485986,0.007131784421783405
9,orig,priv_fnr,0.5018408551068884,0.008232554311460036
10,cpp,bal_acc,0.640857804006018,0.00046756761906207835
11,cpp,avg_odds_diff,0.11712903417748481,1.1099551472118982e-06
12,cpp,disp_imp,0.2625804092623203,0.004610067231637798
13,cpp,stat_par_diff,0.1329317705908696,0.0004992412556236917
14,cpp,eq_opp_diff,0.16720397666071074,0.0008848866987427843
15,cpp,theil_ind,0.24162546364887194,0.004318566091889698
16,cpp,unpriv_fpr,0.35934546970539183,0.006962158348363565
17,cpp,unpriv_fnr,0.3346368784461777,0.0073476676127172515
18,cpp,priv_fpr,0.2922913780111329,0.006079491559915205
19,cpp,priv_fnr,0.5018408551068884,0.008232554311460036
