,Method,Metric,Mean,Error
0,orig,bal_acc,0.6422342026491641,0.0013103639937993143
1,orig,avg_odds_diff,0.08946281880687773,0.00019933993626213394
2,orig,disp_imp,0.2805686213726996,0.0046611228866245726
3,orig,stat_par_diff,0.13746236185405808,0.0041672888651951906
4,orig,eq_opp_diff,0.04571649261718115,0.015358991733422563
5,orig,theil_ind,0.23938869195770315,0.004682710155621115
6,orig,unpriv_fpr,0.365483392488213,0.009027032208790278
7,orig,unpriv_fnr,0.3732080468955935,0.006031795217110177
8,orig,priv_fpr,0.23227424749163883,0.006730639397156553
9,orig,priv_fnr,0.418924539512775,0.021390786950532738
10,cpp,bal_acc,0.640857804006018,0.00046756761906207835
11,cpp,avg_odds_diff,0.08088380224820155,0.0010464532574187588
12,cpp,disp_imp,0.26291935031155206,0.006788984276777913
13,cpp,stat_par_diff,0.1276467164083986,0.005140109605298861
14,cpp,eq_opp_diff,0.04081772735038086,0.015924092448659825
15,cpp,theil_ind,0.24162546364887194,0.004318566091889698
16,cpp,unpriv_fpr,0.3612953152866805,0.010778186431779718
17,cpp,unpriv_fnr,0.37810681216239417,0.005466694501872925
18,cpp,priv_fpr,0.24034543814065823,0.0072388125317176255
19,cpp,priv_fnr,0.418924539512775,0.021390786950532738
