,Method,Metric,Mean,Error
0,orig,bal_acc,0.6231565299618941,0.0002582915768778199
1,orig,avg_odds_diff,0.04675089381869559,0.02744166105630894
2,orig,disp_imp,0.011507371346833616,0.031008916339642506
3,orig,stat_par_diff,-0.008613885693601048,0.02303942582488537
4,orig,eq_opp_diff,-0.05959585546025192,0.01250779322482282
5,orig,theil_ind,0.1832385219305387,0.008183591084824967
6,orig,unpriv_fpr,0.6803703703703701,0.03809597294999642
7,orig,unpriv_fnr,0.22071864678210398,0.01888941420288081
8,orig,priv_fpr,0.5272727272727273,0.004279555937798638
9,orig,priv_fnr,0.16112279132185187,0.006381620978057998
10,cpp,bal_acc,0.6136821838854357,0.0052868870594772795
11,cpp,avg_odds_diff,0.012398037891737212,0.005677266271629553
12,cpp,disp_imp,0.04283793866406467,0.008775447650538117
13,cpp,stat_par_diff,-0.03282225769998693,0.005854726963039743
14,cpp,eq_opp_diff,-0.07095729121989255,0.00020886498395993118
15,cpp,theil_ind,0.18407767182606674,0.0076454912062643215
16,cpp,unpriv_fpr,0.660185185185185,0.028986066374997253
17,cpp,unpriv_fnr,0.22905615053548195,0.010071370131867733
18,cpp,priv_fpr,0.564431818181818,0.01784039881569808
19,cpp,priv_fnr,0.15809885931558942,0.00986250514790782
