,Method,Metric,Mean,Error
0,orig,bal_acc,0.5922485709753582,0.002233907348478056
1,orig,avg_odds_diff,-0.4799491967181281,0.027850643400126447
2,orig,disp_imp,0.9120624151998953,0.0008935229810754246
3,orig,stat_par_diff,-0.4965691615447553,0.017468780492076428
4,orig,eq_opp_diff,-0.5043619948461467,0.038009466245004155
5,orig,theil_ind,0.17637416497272435,0.0049645897579869884
6,orig,unpriv_fpr,0.041206004984347525,0.0028178425715194343
7,orig,unpriv_fnr,0.8597773654916516,0.023397817055841957
8,orig,priv_fpr,0.49674240357445665,0.020509663126768208
9,orig,priv_fnr,0.3554153706455044,0.014611649189162183
10,cpp,bal_acc,0.5919044592399457,0.002167990362620606
11,cpp,avg_odds_diff,-0.4797000811742751,0.02775663606912454
12,cpp,disp_imp,0.9119496030642417,0.00045949860384742115
13,cpp,stat_par_diff,-0.4964164162286626,0.017217689622849683
14,cpp,eq_opp_diff,-0.5037931325706978,0.03814336253108196
15,cpp,theil_ind,0.17656870612564501,0.005010641557789114
16,cpp,unpriv_fpr,0.041270855827408484,0.0031078643584843877
17,cpp,unpriv_fnr,0.8597773654916516,0.023397817055841957
18,cpp,priv_fpr,0.4968778856052607,0.020477773965651553
19,cpp,priv_fnr,0.3559842329209533,0.014745545475240018
