,Method,Metric,Mean,Error
0,orig,bal_acc,0.5750227163969834,0.0016493534754432957
1,orig,avg_odds_diff,0.14337885407867096,0.01804935354493987
2,orig,disp_imp,0.0860192685160531,0.008753969464475876
3,orig,stat_par_diff,0.0839565452080155,0.008505337686153174
4,orig,eq_opp_diff,0.052829778181213746,0.005805243393795289
5,orig,theil_ind,0.03433419271525279,0.0009535674981893198
6,orig,unpriv_fpr,0.8549805615550754,0.0010899465144389065
7,orig,unpriv_fnr,0.0178263018498662,0.0007209651069689401
8,orig,priv_fpr,0.6210526315789472,0.03138341021052336
9,orig,priv_fnr,0.07065608003108001,0.0065262085007642455
10,cpp,bal_acc,0.5766717869084139,0.0026807565410518555
11,cpp,avg_odds_diff,0.12979292666139214,0.014232152030183964
12,cpp,disp_imp,0.07944390495682292,0.006974238120397383
13,cpp,stat_par_diff,0.0774976563944881,0.006773129680491082
14,cpp,eq_opp_diff,0.04810860729194048,0.004471924194024821
15,cpp,theil_ind,0.03435776015876672,0.0005716111601306369
16,cpp,unpriv_fpr,0.8491965442764581,0.003468104067864846
17,cpp,unpriv_fnr,0.0181064276730945,0.00041458799456738
18,cpp,priv_fpr,0.6377192982456141,0.027460483934207955
19,cpp,priv_fnr,0.06621503496503496,0.0048865121885921965
