,Method,Metric,Mean,Error
0,orig,bal_acc,0.7406361241702937,0.0031534608715449446
1,orig,avg_odds_diff,-0.08972087463752483,0.03706801327192268
2,orig,disp_imp,0.3409713401590626,0.06302800069883997
3,orig,stat_par_diff,-0.14828018034158874,0.0285426727322714
4,orig,eq_opp_diff,-0.0721852154149202,0.04970778355008077
5,orig,theil_ind,0.10703587442761768,0.0039679092819029016
6,orig,unpriv_fpr,0.20869970040370908,0.028517931962783745
7,orig,unpriv_fnr,0.28542673668416935,0.052240804570438795
8,orig,priv_fpr,0.3159562342638385,0.024245385316965642
9,orig,priv_fnr,0.21324152126924917,0.021047318920090725
10,transf,bal_acc,0.7385305708586734,0.0036746711892089623
11,transf,avg_odds_diff,-0.07334997030973738,0.031219846198592104
12,transf,disp_imp,0.2875424932637406,0.06030381608415549
13,transf,stat_par_diff,-0.12558789442491364,0.027637812169426505
14,transf,eq_opp_diff,-0.06484776286568845,0.03899166347450043
15,transf,theil_ind,0.1070622765848183,0.004353117440161444
16,transf,unpriv_fpr,0.23583814226862992,0.028447924025135483
17,transf,unpriv_fnr,0.2771730826503241,0.045513022085563695
18,transf,priv_fpr,0.3176903200224162,0.02480715116385972
19,transf,priv_fnr,0.21232531978463554,0.02240383461847902
20,dir,bal_acc,0.7406334344075308,0.003157086028171257
21,dir,avg_odds_diff,-0.0897037806204308,0.03706240346169798
22,dir,disp_imp,0.34090193146060777,0.06298973921580447
23,dir,stat_par_diff,-0.14825137849827077,0.02853534083936493
24,dir,eq_opp_diff,-0.0721852154149202,0.04970778355008077
25,dir,theil_ind,0.1070363370054381,0.003968593275975392
26,dir,unpriv_fpr,0.20873388843789714,0.028484478258611022
27,dir,unpriv_fnr,0.28542673668416935,0.052240804570438795
28,dir,priv_fpr,0.3159562342638385,0.024245385316965642
29,dir,priv_fnr,0.21324152126924917,0.021047318920090725
30,rew,bal_acc,0.7418687605954699,0.0025435260412472096
31,rew,avg_odds_diff,-0.037177286419658354,0.007187712086054065
32,rew,disp_imp,0.238028006914163,0.02003798187965845
33,rew,stat_par_diff,-0.10258020763854667,0.008744627641676458
34,rew,eq_opp_diff,-0.01023998505424174,0.011657625050425323
35,rew,theil_ind,0.10612223439296779,0.0013458199724937754
36,rew,unpriv_fpr,0.24691680700055368,0.01173306576623004
37,rew,unpriv_fnr,0.22483708395972765,0.01203581411846949
38,rew,priv_fpr,0.3110313947856287,0.008862292113918731
39,rew,priv_fnr,0.21459709890548595,0.006569547468152902
40,eg,bal_acc,0.6703391829491401,0.007246338651956748
41,eg,avg_odds_diff,0.0572448694057728,0.07733030981663776
42,eg,disp_imp,0.174752065963174,0.14435915939625596
43,eg,stat_par_diff,0.0005651110625672986,0.0590844199201609
44,eg,eq_opp_diff,0.09137063808262524,0.10619289045113281
45,eg,theil_ind,0.17195827112829856,0.004789314907593052
46,eg,unpriv_fpr,0.09941298944932436,0.048817123393399574
47,eg,unpriv_fnr,0.4965146294678733,0.10184333188664266
48,eg,priv_fpr,0.076293888720404,0.008406023884122541
49,eg,priv_fnr,0.5878852675504984,0.02235233227914503
